dst,duration_s,episode,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h4,10,1,,,5002,tcp,h2,9.08,2026-05-10T21:31:50.760314Z
h5,10,1,0.16,0.41,6001,udp,h1,,2026-05-10T21:31:50.761200Z
h4,10,1,0.116,1.1,6002,udp,h2,,2026-05-10T21:31:50.761780Z
h5,10,1,,,5001,tcp,h1,4.88,2026-05-10T21:31:50.761944Z
h4,10,2,0.111,0.23,6002,udp,h2,,2026-05-10T21:32:00.918931Z
h5,10,2,0.109,0.37,6001,udp,h1,,2026-05-10T21:32:01.133368Z
h4,10,2,,,5002,tcp,h2,4.85,2026-05-10T21:32:02.026806Z
h5,10,2,,,5001,tcp,h1,4.68,2026-05-10T21:32:02.436695Z
h5,10,3,0.102,0.31,6001,udp,h1,,2026-05-10T21:32:12.606790Z
h4,10,3,0.108,0.41,6002,udp,h2,,2026-05-10T21:32:13.025066Z
h4,10,3,,,5002,tcp,h2,5.08,2026-05-10T21:32:14.254965Z
h5,10,3,,,5001,tcp,h1,5.47,2026-05-10T21:32:14.255309Z
h5,10,4,,,5001,tcp,h1,8.99,2026-05-10T21:32:27.126220Z
h5,10,4,0.114,1.4,6001,udp,h1,,2026-05-10T21:32:27.126757Z
h4,10,4,,,5002,tcp,h2,8.75,2026-05-10T21:32:27.836056Z
h4,10,4,0.115,1.5,6002,udp,h2,,2026-05-10T21:32:27.836315Z
h5,10,5,,,5001,tcp,h1,11.3,2026-05-10T21:32:41.251855Z
h4,10,5,,,5002,tcp,h2,11.4,2026-05-10T21:32:41.897301Z
h5,10,5,0.116,1.5,6001,udp,h1,,2026-05-10T21:32:41.897642Z
h4,10,5,0.115,1.6,6002,udp,h2,,2026-05-10T21:32:41.897923Z
h4,10,6,,,5002,tcp,h2,7.67,2026-05-10T21:32:54.642810Z
h4,10,6,0.115,1.3,6002,udp,h2,,2026-05-10T21:32:54.643686Z
h5,10,6,0.121,0.47,6001,udp,h1,,2026-05-10T21:32:54.644114Z
h5,10,6,,,5001,tcp,h1,5.29,2026-05-10T21:32:54.644472Z
h4,10,7,0.103,0.42,6002,udp,h2,,2026-05-10T21:33:04.812584Z
h5,10,7,0.114,0.2,6001,udp,h1,,2026-05-10T21:33:05.179613Z
h4,10,7,,,5002,tcp,h2,5.71,2026-05-10T21:33:06.231124Z
h5,10,7,,,5001,tcp,h1,5.6,2026-05-10T21:33:06.359632Z
h5,10,8,,,5001,tcp,h1,7.9,2026-05-10T21:33:18.314919Z
h5,10,8,0.113,0.94,6001,udp,h1,,2026-05-10T21:33:18.315325Z
h4,10,8,0.109,0.21,6002,udp,h2,,2026-05-10T21:33:18.315617Z
h4,10,8,,,5002,tcp,h2,4.74,2026-05-10T21:33:18.315875Z
h4,10,9,,,5002,tcp,h2,12.3,2026-05-10T21:33:31.851113Z
h5,10,9,,,5001,tcp,h1,12.0,2026-05-10T21:33:32.039738Z
h4,10,9,0.114,1.6,6002,udp,h2,,2026-05-10T21:33:32.040441Z
h5,10,9,0.114,1.5,6001,udp,h1,,2026-05-10T21:33:32.041095Z
h5,10,10,,,5001,tcp,h1,6.55,2026-05-10T21:33:43.939234Z
h5,10,10,0.115,0.9,6001,udp,h1,,2026-05-10T21:33:43.940018Z
h4,10,10,,,5002,tcp,h2,8.69,2026-05-10T21:33:45.296838Z
h4,10,10,0.115,1.5,6002,udp,h2,,2026-05-10T21:33:45.297337Z
