dst,duration_s,episode,flow_id,jitter_ms,loss_pct,port,protocol,src,throughput_mbps,timestamp
h11,10,1,e1-h2-h11-g1,,,5002,tcp,h2,9.63,2026-05-11T09:55:38.243599Z
h12,10,1,e1-h1-h12-g0,0.141,0.27,6001,udp,h1,,2026-05-11T09:55:38.244052Z
h11,10,1,e1-h2-h11-g1,0.112,1.1,6002,udp,h2,,2026-05-11T09:55:38.244357Z
h12,10,1,e1-h1-h12-g0,,,5001,tcp,h1,5.23,2026-05-11T09:55:38.244479Z
h11,10,2,e2-h2-h11-g1,0.105,0.23,6002,udp,h2,,2026-05-11T09:55:48.391348Z
h12,10,2,e2-h1-h12-g0,0.106,0.2,6001,udp,h1,,2026-05-11T09:55:48.607919Z
h11,10,2,e2-h2-h11-g1,,,5002,tcp,h2,5.29,2026-05-11T09:55:49.208457Z
h12,10,2,e2-h1-h12-g0,,,5001,tcp,h1,5.07,2026-05-11T09:55:49.389884Z
h12,10,3,e3-h1-h12-g0,0.1,0.27,6001,udp,h1,,2026-05-11T09:55:59.552248Z
h11,10,3,e3-h2-h11-g1,0.107,0.31,6002,udp,h2,,2026-05-11T09:55:59.961611Z
h11,10,3,e3-h2-h11-g1,,,5002,tcp,h2,5.07,2026-05-11T09:56:00.684293Z
h12,10,3,e3-h1-h12-g0,,,5001,tcp,h1,6.33,2026-05-11T09:56:00.859517Z
