timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-26T13:06:56.680932Z,1,h2,h11,e1-h2-h11-g1,tcp,5002,60,95.5,,,489.169,
2026-05-26T13:07:58.524721Z,1,h4,h9,e1-h4-h9-g2,udp,6003,60,,0.01,0.0,16.092,
2026-05-26T13:09:00.365107Z,1,h1,h12,e1-h1-h12-g0,udp,6001,60,,0.008,0.0,16.589,
2026-05-26T13:10:02.202339Z,1,h2,h11,e1-h2-h11-g1,udp,6002,60,,0.008,0.0,15.34,
2026-05-26T13:11:05.322463Z,1,h1,h12,e1-h1-h12-g0,tcp,5001,60,95.5,,,491.543,
2026-05-26T13:12:08.438617Z,1,h4,h9,e1-h4-h9-g2,tcp,5003,60,95.5,,,481.456,
2026-05-26T13:13:09.285104Z,2,h1,h12,e2-h1-h12-g0,udp,6001,60,,0.009,0.0,16.491,
2026-05-26T13:14:11.123814Z,2,h4,h9,e2-h4-h9-g2,udp,6003,60,,0.009,0.0,13.771,
2026-05-26T13:15:14.134445Z,2,h1,h12,e2-h1-h12-g0,tcp,5001,60,95.6,,,488.218,
2026-05-26T13:16:17.019023Z,2,h2,h11,e2-h2-h11-g1,tcp,5002,60,95.6,,,487.396,
2026-05-26T13:17:18.858762Z,2,h2,h11,e2-h2-h11-g1,udp,6002,60,,0.009,0.0,15.012,
2026-05-26T13:18:21.849543Z,2,h4,h9,e2-h4-h9-g2,tcp,5003,60,95.6,,,488.594,
2026-05-26T13:19:23.879637Z,3,h1,h12,e3-h1-h12-g0,tcp,5001,60,95.6,,,489.311,
2026-05-26T13:20:25.712651Z,3,h4,h9,e3-h4-h9-g2,udp,6003,60,,0.011,0.0,17.946,
2026-05-26T13:21:27.558274Z,3,h1,h12,e3-h1-h12-g0,udp,6001,60,,0.009,0.0,15.647,
2026-05-26T13:22:30.615412Z,3,h4,h9,e3-h4-h9-g2,tcp,5003,60,95.6,,,490.374,
2026-05-26T13:23:32.458807Z,3,h2,h11,e3-h2-h11-g1,udp,6002,60,,0.013,0.0,15.829,
2026-05-26T13:24:35.545525Z,3,h2,h11,e3-h2-h11-g1,tcp,5002,60,95.5,,,480.996,
2026-05-26T13:25:36.385705Z,4,h4,h9,e4-h4-h9-g2,udp,6003,60,,0.007,0.0,14.305,
2026-05-26T13:26:39.419832Z,4,h2,h11,e4-h2-h11-g1,tcp,5002,60,95.5,,,489.327,
2026-05-26T13:27:42.204347Z,4,h1,h12,e4-h1-h12-g0,tcp,5001,60,95.5,,,488.692,
2026-05-26T13:28:44.984473Z,4,h4,h9,e4-h4-h9-g2,tcp,5003,60,95.5,,,490.549,
2026-05-26T13:29:46.824200Z,4,h2,h11,e4-h2-h11-g1,udp,6002,60,,0.016,0.0,15.189,
2026-05-26T13:30:48.661937Z,4,h1,h12,e4-h1-h12-g0,udp,6001,60,,0.009,0.0,13.636,
2026-05-26T13:31:50.688962Z,5,h1,h12,e5-h1-h12-g0,tcp,5001,60,95.6,,,491.657,
2026-05-26T13:32:53.838591Z,5,h4,h9,e5-h4-h9-g2,tcp,5003,60,95.6,,,494.404,
2026-05-26T13:33:55.678632Z,5,h4,h9,e5-h4-h9-g2,udp,6003,60,,0.01,0.0,14.833,
2026-05-26T13:34:57.515397Z,5,h2,h11,e5-h2-h11-g1,udp,6002,60,,0.009,0.0,14.321,
2026-05-26T13:36:00.465137Z,5,h2,h11,e5-h2-h11-g1,tcp,5002,60,95.6,,,486.99,
2026-05-26T13:37:02.302651Z,5,h1,h12,e5-h1-h12-g0,udp,6001,60,,0.009,0.0,15.513,
2026-05-26T13:38:04.302899Z,6,h2,h11,e6-h2-h11-g1,tcp,5002,60,95.5,,,480.945,
2026-05-26T13:39:07.156030Z,6,h4,h9,e6-h4-h9-g2,tcp,5003,60,95.6,,,479.059,
2026-05-26T13:40:09.005139Z,6,h4,h9,e6-h4-h9-g2,udp,6003,60,,0.01,0.0,13.897,
2026-05-26T13:41:12.035118Z,6,h1,h12,e6-h1-h12-g0,tcp,5001,60,95.5,,,487.988,
2026-05-26T13:42:13.870636Z,6,h1,h12,e6-h1-h12-g0,udp,6001,60,,0.01,0.0,16.422,
2026-05-26T13:43:15.709304Z,6,h2,h11,e6-h2-h11-g1,udp,6002,60,,0.009,0.0,14.096,
2026-05-26T13:44:16.552418Z,7,h1,h12,e7-h1-h12-g0,udp,6001,60,,0.011,0.0,15.5,
2026-05-26T13:45:19.690152Z,7,h1,h12,e7-h1-h12-g0,tcp,5001,60,95.5,,,490.76,
2026-05-26T13:46:21.534349Z,7,h4,h9,e7-h4-h9-g2,udp,6003,60,,0.009,0.0,14.978,
2026-05-26T13:47:24.696396Z,7,h2,h11,e7-h2-h11-g1,tcp,5002,60,95.6,,,490.784,
2026-05-26T13:48:27.695796Z,7,h4,h9,e7-h4-h9-g2,tcp,5003,60,95.6,,,489.106,
2026-05-26T13:49:29.536948Z,7,h2,h11,e7-h2-h11-g1,udp,6002,60,,0.009,0.0,16.105,
2026-05-26T13:50:30.371023Z,8,h4,h9,e8-h4-h9-g2,udp,6003,60,,0.009,0.0,15.416,
2026-05-26T13:51:33.341357Z,8,h1,h12,e8-h1-h12-g0,tcp,5001,60,95.6,,,487.03,
2026-05-26T13:52:35.172371Z,8,h1,h12,e8-h1-h12-g0,udp,6001,60,,0.01,0.0,15.262,
2026-05-26T13:53:38.176672Z,8,h4,h9,e8-h4-h9-g2,tcp,5003,60,95.6,,,487.148,
2026-05-26T13:54:40.018351Z,8,h2,h11,e8-h2-h11-g1,udp,6002,60,,0.01,0.0,14.321,
2026-05-26T13:55:43.157984Z,8,h2,h11,e8-h2-h11-g1,tcp,5002,60,95.6,,,490.913,
2026-05-26T13:56:43.999580Z,9,h4,h9,e9-h4-h9-g2,udp,6003,60,,0.01,0.0,15.068,
2026-05-26T13:57:45.840503Z,9,h2,h11,e9-h2-h11-g1,udp,6002,60,,0.008,0.0,14.692,
2026-05-26T13:58:48.881376Z,9,h1,h12,e9-h1-h12-g0,tcp,5001,60,95.6,,,490.401,
2026-05-26T13:59:51.892499Z,9,h4,h9,e9-h4-h9-g2,tcp,5003,60,95.6,,,487.868,
2026-05-26T14:00:53.734874Z,9,h1,h12,e9-h1-h12-g0,udp,6001,60,,0.009,0.0,15.479,
2026-05-26T14:01:56.516323Z,9,h2,h11,e9-h2-h11-g1,tcp,5002,60,95.6,,,492.09,
2026-05-26T14:02:57.353099Z,10,h2,h11,e10-h2-h11-g1,udp,6002,60,,0.01,0.0,15.587,
2026-05-26T14:03:59.188262Z,10,h4,h9,e10-h4-h9-g2,udp,6003,60,,0.009,0.0,13.392,
2026-05-26T14:05:02.018854Z,10,h4,h9,e10-h4-h9-g2,tcp,5003,60,95.6,,,492.133,
2026-05-26T14:06:05.017890Z,10,h1,h12,e10-h1-h12-g0,tcp,5001,60,95.6,,,491.406,
2026-05-26T14:07:06.853945Z,10,h1,h12,e10-h1-h12-g0,udp,6001,60,,0.011,0.0,15.208,
2026-05-26T14:08:09.707652Z,10,h2,h11,e10-h2-h11-g1,tcp,5002,60,95.6,,,489.365,
2026-05-26T14:09:11.462921Z,11,h1,h12,e11-h1-h12-g0,tcp,5001,60,95.6,,,492.828,
2026-05-26T14:10:13.309809Z,11,h1,h12,e11-h1-h12-g0,udp,6001,60,,0.009,0.0,15.575,
2026-05-26T14:11:15.156250Z,11,h2,h11,e11-h2-h11-g1,udp,6002,60,,0.009,0.0,15.243,
2026-05-26T14:12:18.188721Z,11,h2,h11,e11-h2-h11-g1,tcp,5002,60,95.6,,,488.034,
2026-05-26T14:13:21.247162Z,11,h4,h9,e11-h4-h9-g2,tcp,5003,60,95.6,,,490.668,
2026-05-26T14:14:23.085626Z,11,h4,h9,e11-h4-h9-g2,udp,6003,60,,0.009,0.0,13.57,
2026-05-26T14:15:24.954886Z,12,h1,h12,e12-h1-h12-g0,tcp,5001,60,95.6,,,487.351,
2026-05-26T14:16:26.797538Z,12,h1,h12,e12-h1-h12-g0,udp,6001,60,,0.011,0.0,14.719,
2026-05-26T14:17:28.628011Z,12,h4,h9,e12-h4-h9-g2,udp,6003,60,,0.008,0.0,15.174,
2026-05-26T14:18:31.570435Z,12,h2,h11,e12-h2-h11-g1,tcp,5002,60,95.6,,,494.821,
2026-05-26T14:19:34.632677Z,12,h4,h9,e12-h4-h9-g2,tcp,5003,60,95.5,,,489.879,
2026-05-26T14:20:36.474955Z,12,h2,h11,e12-h2-h11-g1,udp,6002,60,,0.012,0.0,15.36,
2026-05-26T14:21:37.312755Z,13,h1,h12,e13-h1-h12-g0,udp,6001,60,,0.011,0.0,16.122,
2026-05-26T14:22:40.096165Z,13,h4,h9,e13-h4-h9-g2,tcp,5003,60,95.5,,,490.08,
2026-05-26T14:23:43.097390Z,13,h2,h11,e13-h2-h11-g1,tcp,5002,60,95.6,,,488.24,
2026-05-26T14:24:44.934561Z,13,h2,h11,e13-h2-h11-g1,udp,6002,60,,0.007,0.0,13.53,
2026-05-26T14:25:46.762524Z,13,h4,h9,e13-h4-h9-g2,udp,6003,60,,0.01,0.0,13.445,
2026-05-26T14:26:49.689952Z,13,h1,h12,e13-h1-h12-g0,tcp,5001,60,95.6,,,489.693,
2026-05-26T14:27:51.533716Z,14,h1,h12,e14-h1-h12-g0,tcp,5001,60,95.6,,,490.979,
2026-05-26T14:28:54.461073Z,14,h2,h11,e14-h2-h11-g1,tcp,5002,60,95.6,,,490.658,
2026-05-26T14:29:57.623149Z,14,h4,h9,e14-h4-h9-g2,tcp,5003,60,95.6,,,494.112,
2026-05-26T14:30:59.455650Z,14,h4,h9,e14-h4-h9-g2,udp,6003,60,,0.012,0.0,16.063,
2026-05-26T14:32:01.295060Z,14,h1,h12,e14-h1-h12-g0,udp,6001,60,,0.011,0.0,15.486,
2026-05-26T14:33:03.124683Z,14,h2,h11,e14-h2-h11-g1,udp,6002,60,,0.011,0.0,14.192,
2026-05-26T14:33:39.877138Z,15,h2,h11,e15-h2-h11-g1,udp,6002,60,,,,15.257,
2026-05-26T14:33:41.685469Z,15,h1,h12,e15-h1-h12-g0,tcp,5001,60,,,,,/proc/1934117/ns/net: No such file or directory
2026-05-26T14:33:43.491408Z,15,h2,h11,e15-h2-h11-g1,tcp,5002,60,,,,,/proc/1934119/ns/net: No such file or directory
2026-05-26T14:33:45.297367Z,15,h1,h12,e15-h1-h12-g0,udp,6001,60,,,,,/proc/1934117/ns/net: No such file or directory
2026-05-26T14:33:47.108721Z,15,h4,h9,e15-h4-h9-g2,udp,6003,60,,,,,/proc/1934123/ns/net: No such file or directory
2026-05-26T14:33:48.918765Z,15,h4,h9,e15-h4-h9-g2,tcp,5003,60,,,,,/proc/1934123/ns/net: No such file or directory
2026-05-26T14:33:49.728051Z,16,h2,h11,e16-h2-h11-g1,tcp,5002,60,,,,,/proc/1934119/ns/net: No such file or directory
2026-05-26T14:33:51.537544Z,16,h1,h12,e16-h1-h12-g0,udp,6001,60,,,,,/proc/1934117/ns/net: No such file or directory
2026-05-26T14:33:53.347883Z,16,h4,h9,e16-h4-h9-g2,tcp,5003,60,,,,,/proc/1934123/ns/net: No such file or directory
2026-05-26T14:33:55.155656Z,16,h1,h12,e16-h1-h12-g0,tcp,5001,60,,,,,/proc/1934117/ns/net: No such file or directory
2026-05-26T14:33:56.964858Z,16,h2,h11,e16-h2-h11-g1,udp,6002,60,,,,,/proc/1934119/ns/net: No such file or directory
