timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-26T14:35:38.777914Z,1,h2,h11,e1-h2-h11-g1,tcp,5002,60,33.5,,,21.587,
2026-05-26T14:35:38.780331Z,1,h1,h12,e1-h1-h12-g0,tcp,5001,60,30.2,,,20.948,
2026-05-26T14:35:38.781383Z,1,h1,h12,e1-h1-h12-g0,udp,6001,60,,0.149,0.025,20.55,
2026-05-26T14:35:38.782754Z,1,h4,h9,e1-h4-h9-g2,udp,6003,60,,0.409,0.013,238.706,
2026-05-26T14:35:39.353072Z,1,h4,h9,e1-h4-h9-g2,tcp,5003,60,70.3,,,238.836,
2026-05-26T14:35:39.354672Z,1,h2,h11,e1-h2-h11-g1,udp,6002,60,,0.172,0.028,19.983,
2026-05-26T14:36:40.445439Z,2,h4,h9,e2-h4-h9-g2,udp,6003,60,,0.402,0.024,235.078,
2026-05-26T14:36:40.794262Z,2,h1,h12,e2-h1-h12-g0,tcp,5001,60,29.6,,,19.243,
2026-05-26T14:36:40.795001Z,2,h2,h11,e2-h2-h11-g1,tcp,5002,60,34.1,,,18.985,
2026-05-26T14:36:40.795658Z,2,h2,h11,e2-h2-h11-g1,udp,6002,60,,0.149,0.029,18.149,
2026-05-26T14:36:42.582706Z,2,h4,h9,e2-h4-h9-g2,tcp,5003,60,70.4,,,234.137,
2026-05-26T14:36:42.583600Z,2,h1,h12,e2-h1-h12-g0,udp,6001,60,,0.131,0.061,17.596,
2026-05-26T14:37:43.509077Z,3,h1,h12,e3-h1-h12-g0,udp,6001,60,,0.144,0.031,20.166,
2026-05-26T14:37:44.799310Z,3,h4,h9,e3-h4-h9-g2,tcp,5003,60,70.4,,,235.047,
2026-05-26T14:37:44.800590Z,3,h4,h9,e3-h4-h9-g2,udp,6003,60,,0.401,0.013,234.505,
2026-05-26T14:37:44.801580Z,3,h2,h11,e3-h2-h11-g1,tcp,5002,60,39.7,,,19.101,
2026-05-26T14:37:44.802501Z,3,h2,h11,e3-h2-h11-g1,udp,6002,60,,0.162,0.036,18.545,
2026-05-26T14:37:44.803407Z,3,h1,h12,e3-h1-h12-g0,tcp,5001,60,24.0,,,17.646,
2026-05-26T14:38:46.350426Z,4,h2,h11,e4-h2-h11-g1,tcp,5002,60,36.3,,,19.966,
2026-05-26T14:38:46.351206Z,4,h4,h9,e4-h4-h9-g2,udp,6003,60,,0.403,0.012,233.387,
2026-05-26T14:38:46.351689Z,4,h1,h12,e4-h1-h12-g0,udp,6001,60,,0.127,0.034,18.607,
2026-05-26T14:38:46.352104Z,4,h2,h11,e4-h2-h11-g1,udp,6002,60,,0.16,0.019,18.565,
2026-05-26T14:38:46.352741Z,4,h1,h12,e4-h1-h12-g0,tcp,5001,60,27.4,,,17.836,
2026-05-26T14:38:46.892039Z,4,h4,h9,e4-h4-h9-g2,tcp,5003,60,70.3,,,232.319,
2026-05-26T14:39:47.853426Z,5,h1,h12,e5-h1-h12-g0,udp,6001,60,,0.124,0.02,135.698,
2026-05-26T14:39:48.446537Z,5,h2,h11,e5-h2-h11-g1,tcp,5002,60,38.2,,,134.711,
2026-05-26T14:39:48.448060Z,5,h2,h11,e5-h2-h11-g1,udp,6002,60,,0.139,0.031,134.224,
2026-05-26T14:39:48.449146Z,5,h4,h9,e5-h4-h9-g2,udp,6003,60,,0.411,0.006,234.703,
2026-05-26T14:39:48.450092Z,5,h1,h12,e5-h1-h12-g0,tcp,5001,60,25.6,,,133.697,
2026-05-26T14:39:48.995691Z,5,h4,h9,e5-h4-h9-g2,tcp,5003,60,70.3,,,233.965,
2026-05-26T14:40:49.942832Z,6,h2,h11,e6-h2-h11-g1,udp,6002,60,,0.149,0.017,22.173,
2026-05-26T14:40:50.544079Z,6,h2,h11,e6-h2-h11-g1,tcp,5002,60,37.3,,,21.306,
2026-05-26T14:40:51.294600Z,6,h4,h9,e6-h4-h9-g2,tcp,5003,60,70.4,,,238.853,
2026-05-26T14:40:51.296294Z,6,h1,h12,e6-h1-h12-g0,tcp,5001,60,26.4,,,20.616,
2026-05-26T14:40:51.297515Z,6,h4,h9,e6-h4-h9-g2,udp,6003,60,,0.403,0.01,238.039,
2026-05-26T14:40:51.298654Z,6,h1,h12,e6-h1-h12-g0,udp,6001,60,,0.156,0.028,19.906,
2026-05-26T14:41:52.396248Z,7,h4,h9,e7-h4-h9-g2,udp,6003,60,,0.399,0.006,239.936,
2026-05-26T14:41:52.690142Z,7,h1,h12,e7-h1-h12-g0,tcp,5001,60,29.0,,,22.57,
2026-05-26T14:41:52.712363Z,7,h2,h11,e7-h2-h11-g1,tcp,5002,60,34.6,,,21.437,
