timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-26T17:41:03.181505Z,1,h4,h9,e1-h4-h9-g2,udp,6003,60,,0.409,0.011,239.535,
2026-05-26T17:41:03.182823Z,1,h1,h12,e1-h1-h12-g0,udp,6001,60,,0.165,0.0097,24.809,
2026-05-26T17:41:03.609910Z,1,h1,h12,e1-h1-h12-g0,tcp,5001,60,33.9,,,23.996,
2026-05-26T17:41:04.160587Z,1,h4,h9,e1-h4-h9-g2,tcp,5003,60,70.3,,,238.319,
2026-05-26T17:41:04.161716Z,1,h2,h11,e1-h2-h11-g1,tcp,5002,60,29.8,,,23.281,
2026-05-26T17:41:04.162620Z,1,h2,h11,e1-h2-h11-g1,udp,6002,60,,0.176,0.039,22.824,
2026-05-26T17:42:04.662814Z,2,h4,h9,e2-h4-h9-g2,udp,6003,60,,0.395,0.0022,237.756,
2026-05-26T17:42:05.583899Z,2,h4,h9,e2-h4-h9-g2,tcp,5003,60,70.3,,,236.708,
2026-05-26T17:42:05.585650Z,2,h1,h12,e2-h1-h12-g0,udp,6001,60,,0.137,0.029,18.03,
2026-05-26T17:42:05.586951Z,2,h2,h11,e2-h2-h11-g1,udp,6002,60,,0.125,0.028,17.289,
2026-05-26T17:42:05.587972Z,2,h2,h11,e2-h2-h11-g1,tcp,5002,60,28.1,,,17.078,
2026-05-26T17:42:05.588976Z,2,h1,h12,e2-h1-h12-g0,tcp,5001,60,35.5,,,16.941,
2026-05-26T17:43:05.941190Z,3,h2,h11,e3-h2-h11-g1,udp,6002,60,,0.119,0.034,27.526,
2026-05-26T17:43:06.458179Z,3,h1,h12,e3-h1-h12-g0,tcp,5001,60,38.0,,,26.745,
2026-05-26T17:43:06.459723Z,3,h2,h11,e3-h2-h11-g1,tcp,5002,60,25.7,,,26.433,
2026-05-26T17:43:06.462418Z,3,h1,h12,e3-h1-h12-g0,udp,6001,60,,0.181,0.032,25.872,
2026-05-26T17:43:06.965147Z,3,h4,h9,e3-h4-h9-g2,tcp,5003,60,70.2,,,249.242,
2026-05-26T17:43:06.965910Z,3,h4,h9,e3-h4-h9-g2,udp,6003,60,,0.466,0.009,248.471,
2026-05-26T17:44:07.980434Z,4,h1,h12,e4-h1-h12-g0,tcp,5001,60,42.2,,,15.917,
2026-05-26T17:44:07.981950Z,4,h2,h11,e4-h2-h11-g1,tcp,5002,60,21.6,,,15.353,
2026-05-26T17:44:07.983005Z,4,h2,h11,e4-h2-h11-g1,udp,6002,60,,0.14,0.032,15.013,
2026-05-26T17:44:07.984014Z,4,h1,h12,e4-h1-h12-g0,udp,6001,60,,0.164,0.034,14.603,
2026-05-26T17:44:08.638701Z,4,h4,h9,e4-h4-h9-g2,tcp,5003,60,70.4,,,231.959,
2026-05-26T17:44:08.639983Z,4,h4,h9,e4-h4-h9-g2,udp,6003,60,,0.401,0.003,231.55,
2026-05-26T17:45:09.852581Z,5,h2,h11,e5-h2-h11-g1,udp,6002,60,,0.119,0.047,137.871,
2026-05-26T17:45:10.094350Z,5,h4,h9,e5-h4-h9-g2,tcp,5003,60,70.3,,,236.387,
2026-05-26T17:45:10.096257Z,5,h1,h12,e5-h1-h12-g0,tcp,5001,60,39.1,,,140.727,
2026-05-26T17:45:10.097892Z,5,h4,h9,e5-h4-h9-g2,udp,6003,60,,0.402,0.011,235.951,
2026-05-26T17:45:10.099360Z,5,h2,h11,e5-h2-h11-g1,tcp,5002,60,24.7,,,139.174,
2026-05-26T17:45:10.100278Z,5,h1,h12,e5-h1-h12-g0,udp,6001,60,,0.163,0.033,137.485,
2026-05-26T17:46:10.596508Z,6,h4,h9,e6-h4-h9-g2,udp,6003,60,,0.4,0.006,232.841,
2026-05-26T17:46:10.597485Z,6,h1,h12,e6-h1-h12-g0,udp,6001,60,,0.154,0.036,17.372,
2026-05-26T17:46:10.598304Z,6,h2,h11,e6-h2-h11-g1,udp,6002,60,,0.184,0.05,17.065,
2026-05-26T17:46:10.922231Z,6,h2,h11,e6-h2-h11-g1,tcp,5002,60,41.3,,,16.888,
2026-05-26T17:46:11.795862Z,6,h4,h9,e6-h4-h9-g2,tcp,5003,60,70.4,,,231.909,
2026-05-26T17:46:11.797315Z,6,h1,h12,e6-h1-h12-g0,tcp,5001,60,22.4,,,16.027,
2026-05-26T17:47:12.173326Z,7,h1,h12,e7-h1-h12-g0,udp,6001,60,,0.12,0.034,23.311,
2026-05-26T17:47:12.173812Z,7,h2,h11,e7-h2-h11-g1,udp,6002,60,,0.13,0.027,22.479,
2026-05-26T17:47:12.733476Z,7,h2,h11,e7-h2-h11-g1,tcp,5002,60,28.4,,,22.258,
2026-05-26T17:47:13.189145Z,7,h4,h9,e7-h4-h9-g2,tcp,5003,60,70.2,,,245.242,
2026-05-26T17:47:13.190478Z,7,h4,h9,e7-h4-h9-g2,udp,6003,60,,0.446,0.009,244.688,
2026-05-26T17:47:13.191543Z,7,h1,h12,e7-h1-h12-g0,tcp,5001,60,35.3,,,20.849,
