timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-26T20:24:22.147531Z,1,h1,h12,e1-h1-h12-g0,tcp,5001,60,33.1,,,17.236,
2026-05-26T20:24:22.150402Z,1,h4,h9,e1-h4-h9-g2,udp,6003,60,,0.337,0.078,17.041,
2026-05-26T20:24:22.152118Z,1,h1,h12,e1-h1-h12-g0,udp,6001,60,,0.167,0.12,16.695,
2026-05-26T20:24:22.364562Z,1,h4,h9,e1-h4-h9-g2,tcp,5003,60,64.4,,,15.588,
2026-05-26T20:24:22.365876Z,1,h2,h11,e1-h2-h11-g1,udp,6002,60,,0.167,0.023,15.813,
2026-05-26T20:24:22.366906Z,1,h2,h11,e1-h2-h11-g1,tcp,5002,60,19.3,,,16.028,
2026-05-26T20:25:24.582616Z,2,h4,h9,e2-h4-h9-g2,tcp,5003,60,64.4,,,15.048,
2026-05-26T20:25:24.583944Z,2,h2,h11,e2-h2-h11-g1,tcp,5002,60,27.1,,,15.143,
2026-05-26T20:25:24.584840Z,2,h4,h9,e2-h4-h9-g2,udp,6003,60,,0.324,0.13,13.928,
2026-05-26T20:25:24.585717Z,2,h1,h12,e2-h1-h12-g0,tcp,5001,60,25.1,,,14.195,
2026-05-26T20:25:24.586509Z,2,h2,h11,e2-h2-h11-g1,udp,6002,60,,0.111,0.12,14.208,
2026-05-26T20:25:24.587296Z,2,h1,h12,e2-h1-h12-g0,udp,6001,60,,0.11,0.0093,12.86,
2026-05-26T20:26:25.591252Z,3,h2,h11,e3-h2-h11-g1,udp,6002,60,,0.171,0.031,18.337,
2026-05-26T20:26:26.789375Z,3,h2,h11,e3-h2-h11-g1,tcp,5002,60,27.7,,,17.69,
2026-05-26T20:26:26.790700Z,3,h4,h9,e3-h4-h9-g2,tcp,5003,60,64.4,,,17.068,
2026-05-26T20:26:26.791732Z,3,h1,h12,e3-h1-h12-g0,tcp,5001,60,24.8,,,17.018,
2026-05-26T20:26:26.792690Z,3,h4,h9,e3-h4-h9-g2,udp,6003,60,,0.336,0.13,17.035,
2026-05-26T20:26:26.793654Z,3,h1,h12,e3-h1-h12-g0,udp,6001,60,,0.182,0.13,16.624,
2026-05-26T20:27:29.356408Z,4,h4,h9,e4-h4-h9-g2,tcp,5003,60,64.5,,,282.064,
2026-05-26T20:27:29.357811Z,4,h2,h11,e4-h2-h11-g1,udp,6002,60,,0.104,0.022,192.505,
2026-05-26T20:27:29.358815Z,4,h1,h12,e4-h1-h12-g0,tcp,5001,60,26.2,,,191.485,
2026-05-26T20:27:29.359994Z,4,h4,h9,e4-h4-h9-g2,udp,6003,60,,0.354,0.12,280.409,
2026-05-26T20:27:29.360907Z,4,h1,h12,e4-h1-h12-g0,udp,6001,60,,0.117,0.031,190.262,
2026-05-26T20:27:29.361762Z,4,h2,h11,e4-h2-h11-g1,tcp,5002,60,25.9,,,189.697,
2026-05-26T20:28:30.625429Z,5,h1,h12,e5-h1-h12-g0,udp,6001,60,,0.337,0.11,16.939,
2026-05-26T20:28:30.627013Z,5,h4,h9,e5-h4-h9-g2,udp,6003,60,,0.329,0.089,15.707,
2026-05-26T20:28:30.628358Z,5,h2,h11,e5-h2-h11-g1,udp,6002,60,,0.336,0.098,15.644,
2026-05-26T20:28:31.707040Z,5,h1,h12,e5-h1-h12-g0,tcp,5001,60,64.4,,,15.479,
2026-05-26T20:28:31.707591Z,5,h2,h11,e5-h2-h11-g1,tcp,5002,60,64.4,,,14.823,
2026-05-26T20:28:31.799899Z,5,h4,h9,e5-h4-h9-g2,tcp,5003,60,64.4,,,14.4,
2026-05-26T20:29:33.831624Z,6,h4,h9,e6-h4-h9-g2,tcp,5003,60,64.3,,,14.609,
2026-05-26T20:29:33.833160Z,6,h1,h12,e6-h1-h12-g0,udp,6001,60,,0.322,0.11,283.864,
2026-05-26T20:29:34.131478Z,6,h1,h12,e6-h1-h12-g0,tcp,5001,60,64.4,,,271.57,
2026-05-26T20:29:34.132943Z,6,h2,h11,e6-h2-h11-g1,tcp,5002,60,64.4,,,271.354,
2026-05-26T20:29:34.134626Z,6,h4,h9,e6-h4-h9-g2,udp,6003,60,,0.339,0.17,13.726,
2026-05-26T20:29:34.135679Z,6,h2,h11,e6-h2-h11-g1,udp,6002,60,,0.326,0.11,281.586,
2026-05-26T20:30:36.387487Z,7,h4,h9,e7-h4-h9-g2,tcp,5003,60,64.4,,,16.902,
2026-05-26T20:30:36.388705Z,7,h1,h12,e7-h1-h12-g0,udp,6001,60,,0.335,0.095,16.444,
2026-05-26T20:30:36.461827Z,7,h1,h12,e7-h1-h12-g0,tcp,5001,60,64.4,,,16.452,
2026-05-26T20:30:36.463103Z,7,h2,h11,e7-h2-h11-g1,udp,6002,60,,0.331,0.1,15.925,
2026-05-26T20:30:36.464129Z,7,h4,h9,e7-h4-h9-g2,udp,6003,60,,0.335,0.11,15.817,
2026-05-26T20:30:37.367622Z,7,h2,h11,e7-h2-h11-g1,tcp,5002,60,63.3,,,15.452,
2026-05-26T20:31:39.704550Z,8,h1,h12,e8-h1-h12-g0,tcp,5001,60,64.4,,,284.965,
2026-05-26T20:31:39.705653Z,8,h4,h9,e8-h4-h9-g2,tcp,5003,60,64.4,,,14.056,
2026-05-26T20:31:39.706456Z,8,h2,h11,e8-h2-h11-g1,tcp,5002,60,64.4,,,272.152,
2026-05-26T20:31:39.707211Z,8,h1,h12,e8-h1-h12-g0,udp,6001,60,,0.327,0.1,283.269,
2026-05-26T20:31:39.707963Z,8,h4,h9,e8-h4-h9-g2,udp,6003,60,,0.327,0.1,13.549,
