timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T01:17:24.245242Z,1,h2,h11,e1-h2-h11-g1,tcp,5002,60,64.3,,,336.024,
2026-05-27T01:17:24.246461Z,1,h2,h11,e1-h2-h11-g1,udp,6002,60,,0.327,0.012,335.606,
2026-05-27T01:17:24.247274Z,1,h4,h9,e1-h4-h9-g2,udp,6003,60,,0.328,0.02,285.441,
2026-05-27T01:17:24.448136Z,1,h1,h12,e1-h1-h12-g0,tcp,5001,60,64.4,,,336.58,
2026-05-27T01:17:24.680596Z,1,h4,h9,e1-h4-h9-g2,tcp,5003,60,64.4,,,284.7,
2026-05-27T01:17:24.683184Z,1,h1,h12,e1-h1-h12-g0,udp,6001,60,,0.34,0.0047,336.188,
2026-05-27T01:18:26.887172Z,2,h1,h12,e2-h1-h12-g0,tcp,5001,60,64.4,,,288.166,
2026-05-27T01:18:26.889248Z,2,h1,h12,e2-h1-h12-g0,udp,6001,60,,0.334,0.0,286.728,
2026-05-27T01:18:27.083193Z,2,h2,h11,e2-h2-h11-g1,tcp,5002,60,64.4,,,341.033,
2026-05-27T01:18:27.084617Z,2,h4,h9,e2-h4-h9-g2,tcp,5003,60,64.4,,,286.335,
2026-05-27T01:18:27.085740Z,2,h4,h9,e2-h4-h9-g2,udp,6003,60,,0.345,0.0016,285.463,
2026-05-27T01:18:27.086788Z,2,h2,h11,e2-h2-h11-g1,udp,6002,60,,0.354,0.0031,339.355,
2026-05-27T01:19:29.311428Z,3,h2,h11,e3-h2-h11-g1,tcp,5002,60,64.3,,,339.624,
2026-05-27T01:19:29.313516Z,3,h4,h9,e3-h4-h9-g2,udp,6003,60,,0.333,0.0078,337.001,
2026-05-27T01:19:29.315015Z,3,h4,h9,e3-h4-h9-g2,tcp,5003,60,64.3,,,336.107,
2026-05-27T01:19:29.316425Z,3,h2,h11,e3-h2-h11-g1,udp,6002,60,,0.337,0.0031,338.844,
2026-05-27T01:19:29.732268Z,3,h1,h12,e3-h1-h12-g0,tcp,5001,60,64.4,,,337.141,
2026-05-27T01:19:29.733230Z,3,h1,h12,e3-h1-h12-g0,udp,6001,60,,0.339,0.0047,335.858,
