timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T04:50:53.341905Z,1,h1,h5,e1-h1-h5-g0,udp,6001,60,,0.525,0.12,28.704,
2026-05-27T04:50:53.343793Z,1,h2,h4,e1-h2-h4-g1,udp,6002,60,,0.26,0.056,27.866,
2026-05-27T04:50:54.673574Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,60,47.3,,,27.669,
2026-05-27T04:50:54.868538Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,60,36.4,,,25.893,
2026-05-27T04:50:54.870488Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,60,89.4,,,26.895,
2026-05-27T04:50:54.871714Z,1,h1,h4,e1-h1-h4-g2,udp,6003,60,,0.25,0.059,25.623,
2026-05-27T04:51:55.912257Z,2,h1,h5,e2-h1-h5-g0,udp,6001,60,,0.282,0.019,23.229,
2026-05-27T04:51:56.589073Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,60,23.5,,,22.565,
2026-05-27T04:51:56.589545Z,2,h1,h4,e2-h1-h4-g2,udp,6003,60,,0.289,0.075,189.445,
2026-05-27T04:51:56.589926Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,60,34.1,,,189.435,
2026-05-27T04:51:56.746579Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,60,19.8,,,190.48,
2026-05-27T04:51:56.747817Z,2,h2,h4,e2-h2-h4-g1,udp,6002,60,,0.219,0.084,190.929,
2026-05-27T04:52:57.819860Z,3,h2,h4,e3-h2-h4-g1,udp,6002,60,,0.318,0.087,24.801,
2026-05-27T04:52:58.030652Z,3,h1,h4,e3-h1-h4-g2,udp,6003,60,,0.527,0.1,394.383,
2026-05-27T04:52:58.031136Z,3,h1,h5,e3-h1-h5-g0,udp,6001,60,,0.359,0.04,22.845,
2026-05-27T04:52:59.053133Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,60,43.2,,,22.483,
2026-05-27T04:52:59.362828Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,60,40.5,,,22.882,
2026-05-27T04:52:59.363701Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,60,89.5,,,392.661,
2026-05-27T04:54:00.469309Z,4,h2,h4,e4-h2-h4-g1,udp,6002,60,,0.342,0.022,239.623,
2026-05-27T04:54:02.079816Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,60,45.4,,,238.771,
2026-05-27T04:54:02.081490Z,4,h1,h5,e4-h1-h5-g0,udp,6001,60,,0.57,0.17,404.538,
2026-05-27T04:54:02.082985Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,60,89.5,,,403.89,
2026-05-27T04:54:02.084212Z,4,h1,h4,e4-h1-h4-g2,udp,6003,60,,0.356,0.062,237.782,
2026-05-27T04:54:02.085432Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,60,38.2,,,237.488,
2026-05-27T04:55:03.221285Z,5,h2,h4,e5-h2-h4-g1,udp,6002,60,,0.484,0.078,27.527,
2026-05-27T04:55:04.295232Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,60,76.4,,,26.99,
2026-05-27T04:55:04.296996Z,5,h1,h4,e5-h1-h4-g2,udp,6003,60,,0.451,0.04,308.342,
2026-05-27T04:55:04.298120Z,5,h1,h5,e5-h1-h5-g0,udp,6001,60,,0.568,0.25,25.494,
2026-05-27T04:55:04.299224Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,60,76.4,,,307.561,
2026-05-27T04:55:04.670977Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,60,7.52,,,25.237,
