timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T05:01:48.116495Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,91.3,,,24.146,
2026-05-27T05:01:48.117664Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.297,0.0093,23.038,
2026-05-27T05:01:48.734400Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,44.9,,,22.777,
2026-05-27T05:01:48.734785Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,42.7,,,22.407,
2026-05-27T05:01:48.735069Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.289,0.13,22.634,
2026-05-27T05:01:48.735381Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.602,0.13,23.305,
2026-05-27T05:02:20.932033Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,34.8,,,188.495,
2026-05-27T05:02:20.932682Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,25.2,,,23.0,
2026-05-27T05:02:20.933166Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,24.0,,,186.864,
2026-05-27T05:02:20.933651Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.294,0.037,186.567,
2026-05-27T05:02:20.934131Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.3,0.065,23.314,
2026-05-27T05:02:20.934647Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.255,0.093,186.794,
2026-05-27T05:02:52.091553Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.37,0.14,24.918,
2026-05-27T05:02:53.942728Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,45.9,,,23.958,
2026-05-27T05:02:53.943337Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,42.1,,,23.719,
2026-05-27T05:02:53.943928Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.399,0.065,23.625,
2026-05-27T05:02:53.944464Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.578,0.14,387.055,
2026-05-27T05:02:53.945042Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,91.4,,,386.529,
2026-05-27T05:03:25.160646Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.691,0.17,425.715,
2026-05-27T05:03:25.161606Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.428,0.084,253.45,
2026-05-27T05:03:26.087622Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,91.5,,,424.088,
2026-05-27T05:03:26.088305Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.405,0.075,253.365,
2026-05-27T05:03:26.799848Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,46.1,,,252.681,
2026-05-27T05:03:26.800926Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,41.9,,,252.487,
2026-05-27T05:03:58.193540Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.715,0.21,25.663,
2026-05-27T05:03:58.634154Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,91.4,,,24.504,
2026-05-27T05:03:59.279073Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,54.5,,,260.295,
2026-05-27T05:03:59.356399Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,33.2,,,24.052,
2026-05-27T05:03:59.357857Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.382,0.084,259.134,
2026-05-27T05:03:59.359085Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.383,0.065,22.287,
2026-05-27T05:04:31.655461Z,6,h1,h4,e6-h1-h4-g2,udp,6003,30,,0.588,0.1,401.306,
2026-05-27T05:04:31.656164Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,91.4,,,24.186,
2026-05-27T05:04:31.656676Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.606,0.18,395.615,
2026-05-27T05:04:31.657145Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,91.5,,,394.787,
2026-05-27T05:04:31.657609Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.702,0.2,23.149,
