timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T10:52:42.558980Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,95.3,,,490.95,
2026-05-27T10:53:14.806861Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.023,0.0,28.441,
2026-05-27T10:53:46.953801Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.044,0.0,30.817,
2026-05-27T10:54:20.661731Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,95.4,,,505.97,
2026-05-27T10:54:54.665726Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,95.4,,,502.87,
2026-05-27T10:55:26.090201Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.047,0.0,35.226,
2026-05-27T10:55:56.327708Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.017,0.0,27.333,
2026-05-27T10:56:28.966290Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.03,0.0,29.312,
2026-05-27T10:57:01.623405Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,95.4,,,494.468,
2026-05-27T10:57:35.670152Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,95.4,,,506.032,
2026-05-27T10:58:08.088640Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.042,0.0,32.773,
2026-05-27T10:58:40.738885Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,95.3,,,501.809,
2026-05-27T10:59:10.978371Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.015,0.0,26.3,
2026-05-27T10:59:44.104738Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.04,0.0,32.024,
2026-05-27T11:00:16.117282Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.029,0.0,30.617,
2026-05-27T11:00:49.092500Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,95.3,,,501.569,
2026-05-27T11:01:22.478510Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,95.4,,,506.914,
2026-05-27T11:01:55.093632Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,95.4,,,506.163,
2026-05-27T11:02:25.330069Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.029,0.0,29.23,
2026-05-27T11:02:58.562048Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,95.3,,,501.383,
2026-05-27T11:03:32.173860Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,95.4,,,494.116,
2026-05-27T11:04:05.921275Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,95.3,,,496.343,
2026-05-27T11:04:39.069157Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.061,0.0,35.043,
2026-05-27T11:05:12.161936Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.039,0.0,30.817,
2026-05-27T11:05:43.441913Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,95.4,,,500.543,
2026-05-27T11:06:14.928953Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.056,0.0,35.069,
2026-05-27T11:06:46.848832Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.045,0.0,33.572,
2026-05-27T11:07:20.704544Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,95.3,,,500.68,
2026-05-27T11:07:54.588371Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,95.3,,,501.412,
2026-05-27T11:08:27.704572Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.024,0.0,27.306,
2026-05-27T11:08:58.980930Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,93.0,,,460.391,
