timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T18:47:57.226474Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,95.1,,,25.738,
2026-05-27T18:48:29.454660Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.021,0.03,28.225,
2026-05-27T18:49:01.588463Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.017,0.02,27.333,
2026-05-27T18:49:34.508421Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,95.3,,,25.58,
2026-05-27T18:50:07.634332Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,95.4,,,24.321,
2026-05-27T18:50:39.070885Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.048,0.044,35.253,
2026-05-27T18:51:09.320976Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.023,0.012,26.665,
2026-05-27T18:51:41.953500Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.053,0.044,31.537,
2026-05-27T18:52:14.106856Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,95.4,,,24.595,
2026-05-27T18:52:47.299938Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,95.3,,,23.968,
2026-05-27T18:53:19.711023Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.017,0.018,26.344,
2026-05-27T18:53:51.441916Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,95.3,,,24.344,
2026-05-27T18:54:21.685118Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.019,0.025,28.128,
2026-05-27T18:54:54.818996Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.023,0.028,28.389,
2026-05-27T18:55:26.833108Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.059,0.064,36.954,
2026-05-27T18:55:58.841611Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,95.3,,,23.556,
2026-05-27T18:56:31.189737Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,95.4,,,45.466,
2026-05-27T18:57:02.830557Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,95.3,,,26.69,
2026-05-27T18:57:33.068899Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.031,0.043,33.018,
2026-05-27T18:58:05.353417Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,95.3,,,24.796,
2026-05-27T18:58:38.282524Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,95.4,,,24.661,
2026-05-27T18:59:11.364785Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,95.3,,,23.955,
2026-05-27T18:59:44.517662Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.015,0.013,26.248,
2026-05-27T19:00:17.619790Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.024,0.031,27.986,
2026-05-27T19:00:48.178306Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,95.3,,,24.736,
2026-05-27T19:01:19.662537Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.041,0.039,31.809,
2026-05-27T19:01:51.565277Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.031,0.047,29.646,
2026-05-27T19:02:24.603620Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,95.3,,,23.68,
2026-05-27T19:02:57.594607Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,95.4,,,46.856,
2026-05-27T19:03:30.714162Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.022,0.012,25.704,
2026-05-27T19:04:01.357476Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,95.3,,,24.784,
2026-05-27T19:04:34.061597Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,95.4,,,23.886,
2026-05-27T19:05:07.070658Z,6,h1,h4,e6-h1-h4-g2,udp,6003,30,,0.019,0.019,27.437,
2026-05-27T19:05:40.016750Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.036,0.032,31.686,
2026-05-27T19:06:12.636278Z,6,h1,h4,e6-h1-h4-g2,tcp,5003,30,95.4,,,24.518,
2026-05-27T19:06:45.047734Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.041,0.049,31.684,
2026-05-27T19:07:15.293424Z,7,h1,h4,e7-h1-h4-g2,udp,6003,30,,0.038,0.037,31.99,
2026-05-27T19:07:47.742754Z,7,h1,h4,e7-h1-h4-g2,tcp,5003,30,95.3,,,24.253,
2026-05-27T19:08:19.666039Z,7,h2,h4,e7-h2-h4-g1,tcp,5002,30,95.4,,,23.756,
2026-05-27T19:08:52.010280Z,7,h1,h5,e7-h1-h5-g0,udp,6001,30,,0.024,0.039,24.253,
2026-05-27T19:09:24.647781Z,7,h2,h4,e7-h2-h4-g1,udp,6002,30,,0.029,0.036,29.881,
2026-05-27T19:09:57.496239Z,7,h1,h5,e7-h1-h5-g0,tcp,5001,30,95.4,,,50.926,
2026-05-27T19:10:27.741848Z,8,h1,h5,e8-h1-h5-g0,udp,6001,30,,0.048,0.045,34.174,
2026-05-27T19:11:00.866344Z,8,h1,h4,e8-h1-h4-g2,tcp,5003,30,95.3,,,24.967,
2026-05-27T19:11:33.157288Z,8,h1,h4,e8-h1-h4-g2,udp,6003,30,,0.025,0.032,28.717,
2026-05-27T19:12:05.189985Z,8,h2,h4,e8-h2-h4-g1,udp,6002,30,,0.018,0.027,27.765,
2026-05-27T19:12:37.790430Z,8,h1,h5,e8-h1-h5-g0,tcp,5001,30,95.3,,,24.528,
2026-05-27T19:13:09.341107Z,8,h2,h4,e8-h2-h4-g1,tcp,5002,30,95.4,,,23.49,
2026-05-27T19:13:39.576219Z,9,h1,h5,e9-h1-h5-g0,udp,6001,30,,0.027,0.013,26.765,
