timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-27T19:18:25.873014Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,95.3,,,24.834,
2026-05-27T19:18:58.112309Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.029,0.033,34.043,
2026-05-27T19:19:30.242524Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.029,0.036,29.188,
2026-05-27T19:20:03.095762Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,95.3,,,25.779,
2026-05-27T19:20:36.292400Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,95.4,,,23.229,
2026-05-27T19:21:07.719470Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.04,0.039,32.592,
2026-05-27T19:21:38.934685Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.026,0.032,31.573,
2026-05-27T19:22:11.562003Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.039,0.047,30.986,
2026-05-27T19:22:43.713975Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,95.4,,,26.529,
2026-05-27T19:23:16.833171Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,95.3,,,23.556,
2026-05-27T19:23:49.251633Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.027,0.038,30.33,
2026-05-27T19:24:21.019714Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,95.3,,,24.202,
2026-05-27T19:24:51.254110Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.026,0.034,28.901,
2026-05-27T19:25:24.373385Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.028,0.029,29.872,
2026-05-27T19:25:56.379217Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.014,0.016,26.431,
2026-05-27T19:26:28.370365Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,95.3,,,23.727,
2026-05-27T19:27:00.713961Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,95.4,,,48.727,
2026-05-27T19:27:32.383556Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,95.4,,,45.586,
2026-05-27T19:28:02.622394Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.034,0.039,30.871,
2026-05-27T19:28:34.842351Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,95.3,,,24.643,
2026-05-27T19:29:07.710033Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,95.4,,,24.683,
2026-05-27T19:29:40.826000Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,95.3,,,24.077,
2026-05-27T19:30:13.969663Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.026,0.036,29.446,
2026-05-27T19:30:47.070921Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.036,0.038,32.242,
2026-05-27T19:31:17.637505Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,95.3,,,24.788,
2026-05-27T19:31:49.129813Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.021,0.02,28.593,
2026-05-27T19:32:21.032125Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.026,0.04,28.756,
2026-05-27T19:32:54.091695Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,95.3,,,23.84,
2026-05-27T19:33:27.091285Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,95.4,,,48.235,
2026-05-27T19:34:00.211782Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.034,0.036,31.925,
2026-05-27T19:34:30.763336Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,95.3,,,23.792,
2026-05-27T19:35:03.417290Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,95.4,,,23.811,
2026-05-27T19:35:36.422651Z,6,h1,h4,e6-h1-h4-g2,udp,6003,30,,0.023,0.03,29.702,
2026-05-27T19:36:09.357949Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.029,0.033,30.976,
2026-05-27T19:36:41.941626Z,6,h1,h4,e6-h1-h4-g2,tcp,5003,30,95.3,,,24.503,
2026-05-27T19:37:14.362805Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.026,0.039,30.038,
2026-05-27T19:37:44.595724Z,7,h1,h4,e7-h1-h4-g2,udp,6003,30,,0.031,0.045,29.768,
2026-05-27T19:38:17.020154Z,7,h1,h4,e7-h1-h4-g2,tcp,5003,30,95.4,,,43.825,
2026-05-27T19:38:48.921322Z,7,h2,h4,e7-h2-h4-g1,tcp,5002,30,95.3,,,24.708,
2026-05-27T19:39:21.258125Z,7,h1,h5,e7-h1-h5-g0,udp,6001,30,,0.026,0.028,30.145,
2026-05-27T19:39:53.917064Z,7,h2,h4,e7-h2-h4-g1,udp,6002,30,,0.022,0.025,31.065,
2026-05-27T19:40:26.818817Z,7,h1,h5,e7-h1-h5-g0,tcp,5001,30,95.3,,,23.997,
2026-05-27T19:40:58.036346Z,8,h1,h5,e8-h1-h5-g0,udp,6001,30,,0.029,0.039,31.431,
2026-05-27T19:41:31.199235Z,8,h1,h4,e8-h1-h4-g2,tcp,5003,30,95.4,,,49.565,
2026-05-27T19:42:03.470083Z,8,h1,h4,e8-h1-h4-g2,udp,6003,30,,0.019,0.028,27.433,
2026-05-27T19:42:35.494923Z,8,h2,h4,e8-h2-h4-g1,udp,6002,30,,0.018,0.027,27.31,
2026-05-27T19:43:08.078896Z,8,h1,h5,e8-h1-h5-g0,tcp,5001,30,95.3,,,24.924,
2026-05-27T19:43:39.690207Z,8,h2,h4,e8-h2-h4-g1,tcp,5002,30,95.4,,,24.074,
2026-05-27T19:44:09.929134Z,9,h1,h5,e9-h1-h5-g0,udp,6001,30,,0.037,0.037,32.242,
2026-05-27T19:44:41.509479Z,9,h1,h4,e9-h1-h4-g2,udp,6003,30,,0.027,0.034,30.08,
2026-05-27T19:45:13.490408Z,9,h1,h4,e9-h1-h4-g2,tcp,5003,30,95.3,,,24.368,
2026-05-27T19:45:44.742784Z,9,h2,h4,e9-h2-h4-g1,udp,6002,30,,0.013,0.012,26.008,
2026-05-27T19:46:16.649151Z,9,h2,h4,e9-h2-h4-g1,tcp,5002,30,95.4,,,25.35,
