timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-28T00:01:35.816266Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,1.4,,,24.178,
2026-05-28T00:01:35.817437Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.092,60.0,41.373,
2026-05-28T00:01:35.818222Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.098,36.0,26.339,
2026-05-28T00:01:36.193244Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,5.22,,,23.842,
2026-05-28T00:01:36.266308Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,2.59,,,22.717,
2026-05-28T00:01:36.266960Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.116,0.96,22.781,
2026-05-28T00:02:06.811339Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.129,0.5,29.117,
2026-05-28T00:02:07.193929Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.09,36.0,28.768,
2026-05-28T00:02:08.418057Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,0.417,,,20.452,
2026-05-28T00:02:08.495838Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,0.318,,,24.258,
2026-05-28T00:02:08.496428Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.054,59.0,27.565,
2026-05-28T00:02:08.496959Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,3.63,,,23.551,
2026-05-28T00:02:39.043536Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.108,0.58,23.488,
2026-05-28T00:02:39.546077Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.077,52.0,29.78,
2026-05-28T00:02:39.693420Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.076,45.0,25.3,
2026-05-28T00:02:40.995760Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,0.463,,,23.142,
2026-05-28T00:02:40.996665Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,3.62,,,20.77,
2026-05-28T00:02:41.246478Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,0.053,,,19.958,
2026-05-28T00:03:11.820851Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.078,36.0,28.661,
2026-05-28T00:03:15.746469Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,8.96,,,20.911,
2026-05-28T00:03:15.747196Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,0.4,,,22.779,
2026-05-28T00:03:15.747769Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,0.459,,,23.743,
2026-05-28T00:03:15.748318Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.063,57.0,22.697,
2026-05-28T00:03:15.748866Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.113,1.3,24.418,
2026-05-28T00:03:54.380262Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,2.54,,,20.683,
2026-05-28T00:03:54.380921Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.093,49.0,27.013,
2026-05-28T00:03:54.381444Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.099,60.0,29.073,
2026-05-28T00:03:54.381939Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,0.786,,,23.041,
2026-05-28T00:03:54.382436Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,0.248,,,20.624,
2026-05-28T00:03:54.382920Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.077,35.0,26.341,
2026-05-28T00:04:28.103506Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,7.19,,,23.366,
2026-05-28T00:04:28.170198Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,8.15,,,20.27,
2026-05-28T00:04:28.170845Z,6,h1,h4,e6-h1-h4-g2,udp,6003,30,,0.118,0.63,26.563,
2026-05-28T00:04:28.171323Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.119,0.71,28.889,
2026-05-28T00:04:28.171745Z,6,h1,h4,e6-h1-h4-g2,tcp,5003,30,3.63,,,23.88,
2026-05-28T00:04:28.172140Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.116,0.88,23.181,
2026-05-28T00:04:58.700440Z,7,h1,h4,e7-h1-h4-g2,udp,6003,30,,0.124,0.69,27.845,
2026-05-28T00:04:59.241880Z,7,h1,h4,e7-h1-h4-g2,tcp,5003,30,3.49,,,22.868,
2026-05-28T00:05:01.015476Z,7,h2,h4,e7-h2-h4-g1,tcp,5002,30,6.23,,,22.587,
2026-05-28T00:05:01.016449Z,7,h1,h5,e7-h1-h5-g0,udp,6001,30,,0.118,0.69,23.339,
2026-05-28T00:05:01.017174Z,7,h2,h4,e7-h2-h4-g1,udp,6002,30,,0.116,1.2,23.11,
2026-05-28T00:05:01.017868Z,7,h1,h5,e7-h1-h5-g0,tcp,5001,30,3.63,,,22.928,
2026-05-28T00:05:31.557694Z,8,h1,h5,e8-h1-h5-g0,udp,6001,30,,0.151,0.59,31.995,
2026-05-28T00:05:33.373011Z,8,h1,h4,e8-h1-h4-g2,tcp,5003,30,4.85,,,22.508,
2026-05-28T00:05:33.374120Z,8,h1,h4,e8-h1-h4-g2,udp,6003,30,,0.117,1.1,23.56,
2026-05-28T00:05:33.374926Z,8,h2,h4,e8-h2-h4-g1,udp,6002,30,,0.12,0.65,23.498,
2026-05-28T00:05:33.375724Z,8,h1,h5,e8-h1-h5-g0,tcp,5001,30,3.6,,,20.108,
2026-05-28T00:05:33.376478Z,8,h2,h4,e8-h2-h4-g1,tcp,5002,30,3.52,,,19.428,
2026-05-28T00:06:03.918534Z,9,h1,h5,e9-h1-h5-g0,udp,6001,30,,0.141,0.66,144.57,
2026-05-28T00:06:04.000804Z,9,h1,h4,e9-h1-h4-g2,udp,6003,30,,1.918,0.71,134.914,
2026-05-28T00:06:05.767184Z,9,h1,h4,e9-h1-h4-g2,tcp,5003,30,3.96,,,133.775,
2026-05-28T00:06:05.768114Z,9,h2,h4,e9-h2-h4-g1,udp,6002,30,,2.267,0.95,133.323,
2026-05-28T00:06:05.768705Z,9,h2,h4,e9-h2-h4-g1,tcp,5002,30,4.42,,,122.402,
2026-05-28T00:06:05.769267Z,9,h1,h5,e9-h1-h5-g0,tcp,5001,30,4.51,,,86.984,
2026-05-28T00:06:39.535599Z,10,h1,h5,e10-h1-h5-g0,tcp,5001,30,7.22,,,23.58,
2026-05-28T00:06:39.536685Z,10,h1,h4,e10-h1-h4-g2,udp,6003,30,,0.0,0.0,28.049,
2026-05-28T00:06:39.537002Z,10,h2,h4,e10-h2-h4-g1,tcp,5002,30,4.79,,,25.01,
2026-05-28T00:06:39.537284Z,10,h2,h4,e10-h2-h4-g1,udp,6002,30,,0.118,1.2,22.197,
2026-05-28T00:06:39.537632Z,10,h1,h5,e10-h1-h5-g0,udp,6001,30,,0.115,0.81,25.141,
2026-05-28T00:06:39.538067Z,10,h1,h4,e10-h1-h4-g2,tcp,5003,30,3.62,,,22.902,
2026-05-28T00:07:10.083789Z,11,h1,h5,e11-h1-h5-g0,udp,6001,30,,0.133,0.64,31.102,
2026-05-28T00:07:13.551658Z,11,h1,h4,e11-h1-h4-g2,tcp,5003,30,6.8,,,23.229,
2026-05-28T00:07:13.552050Z,11,h2,h4,e11-h2-h4-g1,tcp,5002,30,4.69,,,23.192,
2026-05-28T00:07:13.552347Z,11,h2,h4,e11-h2-h4-g1,udp,6002,30,,0.122,1.1,23.425,
2026-05-28T00:07:13.552616Z,11,h1,h5,e11-h1-h5-g0,tcp,5001,30,3.75,,,28.126,
2026-05-28T00:07:13.552921Z,11,h1,h4,e11-h1-h4-g2,udp,6003,30,,0.117,0.89,24.84,
2026-05-28T00:07:46.730524Z,12,h1,h5,e12-h1-h5-g0,tcp,5001,30,5.73,,,19.784,
2026-05-28T00:07:46.730968Z,12,h2,h4,e12-h2-h4-g1,udp,6002,30,,0.12,0.69,22.634,
2026-05-28T00:07:46.731243Z,12,h2,h4,e12-h2-h4-g1,tcp,5002,30,3.55,,,21.035,
2026-05-28T00:07:46.731515Z,12,h1,h5,e12-h1-h5-g0,udp,6001,30,,0.115,0.93,23.806,
2026-05-28T00:07:46.731788Z,12,h1,h4,e12-h1-h4-g2,udp,6003,30,,0.121,0.53,27.315,
2026-05-28T00:07:46.732077Z,12,h1,h4,e12-h1-h4-g2,tcp,5003,30,3.41,,,24.321,
2026-05-28T00:08:17.271869Z,13,h1,h5,e13-h1-h5-g0,udp,6001,30,,0.124,0.63,32.341,
2026-05-28T00:08:17.946150Z,13,h1,h5,e13-h1-h5-g0,tcp,5001,30,3.46,,,23.688,
2026-05-28T00:08:18.002946Z,13,h1,h4,e13-h1-h4-g2,udp,6003,30,,0.122,0.9,29.477,
2026-05-28T00:08:18.279025Z,13,h2,h4,e13-h2-h4-g1,udp,6002,30,,0.121,0.72,23.801,
2026-05-28T00:08:18.709715Z,13,h2,h4,e13-h2-h4-g1,tcp,5002,30,3.49,,,20.45,
2026-05-28T00:08:18.710282Z,13,h1,h4,e13-h1-h4-g2,tcp,5003,30,3.79,,,23.122,
2026-05-28T00:08:49.246766Z,14,h1,h5,e14-h1-h5-g0,udp,6001,30,,0.127,0.66,152.684,
