timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-28T08:49:49.879958Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,6.11,,,26.473,
2026-05-28T08:49:49.881098Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.124,1.6,28.101,
2026-05-28T08:49:49.881642Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.087,32.0,24.797,
2026-05-28T08:49:50.564945Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,0.287,,,22.256,
2026-05-28T08:49:52.629508Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,0.043,,,21.277,
2026-05-28T08:49:52.630764Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.07,60.0,23.838,
2026-05-28T08:50:23.173210Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.126,36.0,32.317,
2026-05-28T08:50:24.855661Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.074,59.0,27.805,
2026-05-28T08:50:26.905717Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,8.03,,,23.168,
2026-05-28T08:50:37.376124Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,0.027,,,21.467,
2026-05-28T08:50:37.377699Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.118,1.0,23.769,
2026-05-28T08:50:37.378796Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,6.35,,,21.671,
2026-05-28T08:51:07.915472Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.124,0.55,29.472,
2026-05-28T08:51:08.856571Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.112,0.97,23.802,
2026-05-28T08:51:09.247423Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.114,0.72,22.812,
2026-05-28T08:51:09.639772Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,3.93,,,21.627,
2026-05-28T08:51:10.007719Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,4.01,,,20.165,
2026-05-28T08:51:10.034408Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,3.71,,,20.114,
2026-05-28T08:51:40.578935Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.129,0.74,30.15,
2026-05-28T08:51:45.894338Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,12.6,,,22.316,
2026-05-28T08:51:45.895575Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,8.93,,,23.406,
2026-05-28T08:51:45.896456Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,4.84,,,21.269,
2026-05-28T08:51:45.897215Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.117,1.1,23.4,
2026-05-28T08:51:45.897977Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.116,0.99,22.057,
2026-05-28T08:52:20.487346Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,11.6,,,20.986,
2026-05-28T08:52:20.488675Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.144,0.78,21.824,
2026-05-28T08:52:20.489482Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.113,0.97,22.097,
2026-05-28T08:52:20.490243Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,3.88,,,21.223,
2026-05-28T08:52:20.491006Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,4.6,,,21.482,
2026-05-28T08:52:20.491726Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.118,0.96,23.512,
2026-05-28T08:52:55.120777Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,10.2,,,24.685,
2026-05-28T08:52:55.482473Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,11.6,,,24.267,
2026-05-28T08:52:55.483545Z,6,h1,h4,e6-h1-h4-g2,udp,6003,30,,0.117,0.76,25.109,
2026-05-28T08:52:55.484350Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.12,0.99,27.578,
2026-05-28T08:52:55.485053Z,6,h1,h4,e6-h1-h4-g2,tcp,5003,30,4.26,,,20.764,
2026-05-28T08:52:55.485755Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.116,0.98,21.81,
