timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-28T13:55:26.262513Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,64.6,,,26.128,
2026-05-28T13:55:26.421651Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.328,0.23,28.225,
2026-05-28T13:55:26.872748Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.137,0.43,24.092,
2026-05-28T13:55:27.888195Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,18.8,,,24.787,
2026-05-28T13:55:28.453839Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,16.9,,,22.692,
2026-05-28T13:55:28.454621Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.133,0.15,23.512,
2026-05-28T13:55:59.006400Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.318,0.08,26.464,
2026-05-28T13:55:59.694524Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.32,0.052,27.704,
2026-05-28T13:56:00.378099Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,65.9,,,25.21,
2026-05-28T13:56:00.902301Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,65.4,,,25.79,
2026-05-28T13:56:01.373768Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.32,0.15,22.94,
2026-05-28T13:56:01.662754Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,66.1,,,24.146,
2026-05-28T13:56:32.202928Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.128,0.54,22.554,
2026-05-28T13:56:33.180342Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.121,0.11,22.131,
2026-05-28T13:56:33.534665Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.325,0.083,23.463,
2026-05-28T13:56:33.943754Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,18.6,,,22.586,
2026-05-28T13:56:34.292520Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,16.1,,,21.337,
2026-05-28T13:56:34.340074Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,64.5,,,20.99,
2026-05-28T13:57:04.876810Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.315,0.06,23.181,
2026-05-28T13:57:05.620224Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,67.4,,,25.776,
2026-05-28T13:57:06.329056Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,65.6,,,26.091,
2026-05-28T13:57:06.771631Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,66.4,,,21.438,
2026-05-28T13:57:07.621762Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.313,0.13,24.963,
2026-05-28T13:57:08.567029Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.299,0.14,27.023,
2026-05-28T13:57:40.554238Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,21.0,,,23.351,
2026-05-28T13:57:40.555642Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.319,0.067,29.7,
2026-05-28T13:57:40.556681Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.136,0.36,26.578,
2026-05-28T13:57:40.557603Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,65.2,,,26.829,
2026-05-28T13:57:41.185901Z,5,h1,h4,e5-h1-h4-g2,tcp,5003,30,17.5,,,23.128,
2026-05-28T13:57:41.952827Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.12,0.23,23.629,
2026-05-28T13:58:13.042713Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,66.3,,,22.965,
2026-05-28T13:58:13.467813Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,67.1,,,23.63,
