timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-28T21:05:44.530310Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,19.5,,,17.549,
2026-05-28T21:05:44.991396Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.129,0.42,17.307,
2026-05-28T21:05:44.991986Z,1,h1,h4,e1-h1-h4-g2,udp,6003,30,,0.128,0.16,18.21,
2026-05-28T21:05:45.535167Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,64.9,,,19.784,
2026-05-28T21:05:46.021372Z,1,h1,h4,e1-h1-h4-g2,tcp,5003,30,17.8,,,17.316,
2026-05-28T21:05:46.022880Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.323,0.096,20.426,
2026-05-28T21:06:16.556398Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.306,0.032,19.196,
2026-05-28T21:06:17.261596Z,2,h1,h4,e2-h1-h4-g2,udp,6003,30,,0.129,0.49,18.29,
2026-05-28T21:06:17.821561Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,18.8,,,17.529,
2026-05-28T21:06:18.447078Z,2,h1,h4,e2-h1-h4-g2,tcp,5003,30,16.9,,,17.756,
2026-05-28T21:06:18.923889Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.133,0.14,17.283,
2026-05-28T21:06:19.140567Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,66.9,,,19.503,
2026-05-28T21:06:49.683573Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.311,0.05,19.452,
2026-05-28T21:06:50.613760Z,3,h1,h4,e3-h1-h4-g2,udp,6003,30,,0.121,0.47,17.611,
2026-05-28T21:06:51.003164Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.134,0.18,18.043,
2026-05-28T21:06:51.442136Z,3,h1,h4,e3-h1-h4-g2,tcp,5003,30,17.5,,,17.284,
2026-05-28T21:06:51.777898Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,66.6,,,19.668,
2026-05-28T21:06:51.779289Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,17.0,,,17.584,
2026-05-28T21:07:22.305337Z,4,h1,h4,e4-h1-h4-g2,udp,6003,30,,0.124,0.28,17.062,
2026-05-28T21:07:23.072363Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,67.6,,,21.602,
2026-05-28T21:07:23.648389Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,19.6,,,17.019,
2026-05-28T21:07:24.236744Z,4,h1,h4,e4-h1-h4-g2,tcp,5003,30,16.8,,,17.628,
2026-05-28T21:07:25.075068Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.12,0.14,17.508,
2026-05-28T21:07:26.000334Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.299,0.097,20.014,
2026-05-28T21:07:57.963101Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,20.1,,,17.999,
2026-05-28T21:07:57.964758Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.319,0.075,19.536,
2026-05-28T21:07:57.965972Z,5,h1,h4,e5-h1-h4-g2,udp,6003,30,,0.136,0.52,18.777,
2026-05-28T21:07:57.967094Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,65.3,,,19.916,
