timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-29T23:02:46.619839Z,1,h1,h4,e1-h1-h4-g10,tcp,5011,30,0.93,,,27.949,
2026-05-29T23:02:46.621484Z,1,h2,h4,e1-h2-h4-g5,udp,6006,30,,0.009,57.0,17.194,
2026-05-29T23:02:46.622571Z,1,h1,h4,e1-h1-h4-g11,udp,6012,30,,0.015,26.0,28.025,
2026-05-29T23:02:46.623282Z,1,h1,h4,e1-h1-h4-g8,udp,6009,30,,0.015,27.0,27.782,
2026-05-29T23:02:46.623960Z,1,h1,h4,e1-h1-h4-g10,udp,6011,30,,0.015,24.0,27.413,
2026-05-29T23:02:46.624610Z,1,h2,h4,e1-h2-h4-g6,udp,6007,30,,0.007,59.0,17.207,
2026-05-29T23:02:46.625263Z,1,h1,h5,e1-h1-h5-g2,udp,6003,30,,0.02,23.0,29.342,
2026-05-29T23:02:46.720460Z,1,h2,h4,e1-h2-h4-g5,tcp,5006,30,0.306,,,16.867,
2026-05-29T23:02:46.721897Z,1,h2,h4,e1-h2-h4-g4,udp,6005,30,,0.008,58.0,16.456,
2026-05-29T23:02:46.723052Z,1,h1,h5,e1-h1-h5-g3,tcp,5004,30,0.323,,,29.171,
2026-05-29T23:02:48.837825Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,62.7,,,27.781,
2026-05-29T23:02:48.839115Z,1,h1,h5,e1-h1-h5-g3,udp,6004,30,,0.014,25.0,28.027,
2026-05-29T23:02:48.840013Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.014,23.0,28.027,
2026-05-29T23:02:48.840810Z,1,h1,h4,e1-h1-h4-g9,udp,6010,30,,0.015,27.0,28.01,
2026-05-29T23:02:48.841577Z,1,h1,h4,e1-h1-h4-g8,tcp,5009,30,0.346,,,28.042,
2026-05-29T23:02:53.641045Z,1,h2,h4,e1-h2-h4-g6,tcp,5007,30,0.077,,,17.36,
2026-05-29T23:02:53.642349Z,1,h1,h4,e1-h1-h4-g11,tcp,5012,30,0.369,,,27.949,
2026-05-29T23:02:53.643331Z,1,h2,h4,e1-h2-h4-g7,tcp,5008,30,0.148,,,17.566,
2026-05-29T23:02:53.644192Z,1,h2,h4,e1-h2-h4-g7,udp,6008,30,,0.009,56.0,17.611,
2026-05-29T23:02:53.645003Z,1,h1,h5,e1-h1-h5-g1,udp,6002,30,,0.015,23.0,28.458,
2026-05-29T23:02:53.645806Z,1,h2,h4,e1-h2-h4-g4,tcp,5005,30,0.07,,,17.984,
2026-05-29T23:02:53.646619Z,1,h1,h5,e1-h1-h5-g1,tcp,5002,30,0.221,,,28.668,
2026-05-29T23:02:53.647425Z,1,h1,h4,e1-h1-h4-g9,tcp,5010,30,0.326,,,28.636,
2026-05-29T23:02:53.647914Z,1,h1,h5,e1-h1-h5-g2,tcp,5003,30,0.342,,,29.192,
2026-05-29T23:03:25.186114Z,2,h1,h4,e2-h1-h4-g8,tcp,5009,30,1.41,,,27.635,
2026-05-29T23:03:25.187426Z,2,h2,h4,e2-h2-h4-g7,udp,6008,30,,0.009,61.0,16.654,
2026-05-29T23:03:25.188311Z,2,h1,h5,e2-h1-h5-g2,tcp,5003,30,0.81,,,27.863,
2026-05-29T23:03:25.189084Z,2,h2,h4,e2-h2-h4-g4,udp,6005,30,,0.01,60.0,17.126,
2026-05-29T23:03:25.189848Z,2,h1,h5,e2-h1-h5-g2,udp,6003,30,,0.016,24.0,27.771,
2026-05-29T23:03:25.190555Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.015,23.0,28.022,
2026-05-29T23:03:25.191338Z,2,h1,h5,e2-h1-h5-g1,tcp,5002,30,0.547,,,27.671,
2026-05-29T23:03:25.191998Z,2,h2,h4,e2-h2-h4-g7,tcp,5008,30,0.416,,,17.182,
2026-05-29T23:03:25.192657Z,2,h1,h4,e2-h1-h4-g9,udp,6010,30,,0.016,24.0,26.871,
2026-05-29T23:03:25.193282Z,2,h1,h4,e2-h1-h4-g11,udp,6012,30,,0.015,24.0,28.073,
