decision_index,episode,flow_id,rows,avg_tcp_throughput_mbps,avg_rtt_ms,avg_udp_jitter_ms,avg_udp_loss_pct,weighted_qos_reward
1,1,e1-h4-h13-g3,2,9.950000,16.727000,0.111000,0.440000,-0.100000
2,1,e1-h2-h15-g1,2,17.600000,14.582000,0.186000,0.170000,0.250000
3,1,e1-h3-h14-g2,2,23.200000,16.408000,0.114000,2.200000,-0.011385
4,1,e1-h1-h16-g0,2,7.900000,14.540000,0.111000,0.320000,-0.011084
5,2,e2-h2-h15-g1,2,18.900000,16.803500,0.112000,1.500000,-0.112694
6,2,e2-h4-h13-g3,2,7.470000,16.019000,0.130000,0.210000,-0.236980
7,2,e2-h3-h14-g2,2,19.300000,16.860500,0.133000,0.200000,-0.045390
8,2,e2-h1-h16-g0,2,6.970000,15.898500,0.127000,0.220000,-0.211325
9,3,e3-h2-h15-g1,2,20.200000,16.839000,0.111000,1.700000,-0.084212
10,3,e3-h4-h13-g3,2,9.360000,14.767000,0.144000,0.250000,-0.042355
11,3,e3-h1-h16-g0,2,15.500000,15.855500,0.142000,0.230000,-0.026277
12,3,e3-h3-h14-g2,2,34.100000,16.589500,0.114000,3.700000,-0.020964
13,4,e4-h2-h15-g1,2,6.050000,16.981000,0.135000,0.250000,-0.351399
14,4,e4-h4-h13-g3,2,13.000000,16.674500,0.169000,0.230000,-0.281772
15,4,e4-h1-h16-g0,2,8.230000,16.731500,0.111000,0.340000,-0.245473
16,4,e4-h3-h14-g2,2,10.100000,16.761000,0.111000,0.560000,-0.231780
17,5,e5-h3-h14-g2,2,18.400000,16.508500,0.112000,0.950000,-0.100960
18,5,e5-h1-h16-g0,2,17.600000,15.844000,0.111000,1.000000,-0.030825
19,5,e5-h4-h13-g3,2,10.200000,16.460500,0.111000,0.460000,-0.189173
20,5,e5-h2-h15-g1,2,22.600000,14.711000,0.132000,0.190000,0.172141
21,6,e6-h4-h13-g3,2,8.560000,16.495500,0.112000,0.490000,-0.220136
22,6,e6-h1-h16-g0,2,5.980000,16.642500,0.149000,0.200000,-0.357101
23,6,e6-h3-h14-g2,2,23.000000,15.696500,0.112000,1.600000,0.037128
24,6,e6-h2-h15-g1,2,13.800000,16.843000,0.113000,1.100000,-0.214586
25,7,e7-h3-h14-g2,2,5.950000,16.907500,0.134000,0.220000,-0.351051
26,7,e7-h2-h15-g1,2,15.400000,16.029500,0.114000,0.310000,-0.052857
27,7,e7-h1-h16-g0,2,29.800000,16.811500,0.113000,2.200000,-0.029770
28,7,e7-h4-h13-g3,2,19.600000,17.051500,0.114000,1.600000,-0.174054
29,8,e8-h2-h15-g1,2,5.690000,16.709000,0.234000,0.220000,-0.407381
30,8,e8-h3-h14-g2,2,10.600000,16.673000,0.124000,0.260000,-0.201199
31,8,e8-h4-h13-g3,2,5.720000,14.630500,0.164000,0.220000,-0.065494
32,8,e8-h1-h16-g0,2,10.700000,17.018000,0.123000,0.310000,-0.236319
33,9,e9-h4-h13-g3,2,8.920000,15.803500,0.138000,0.280000,-0.131409
34,9,e9-h2-h15-g1,2,16.100000,16.498500,0.137000,0.240000,-0.094205
35,9,e9-h3-h14-g2,2,9.050000,16.642500,0.111000,0.420000,-0.210738
36,9,e9-h1-h16-g0,2,26.700000,16.801000,0.113000,2.000000,-0.057904
37,10,e10-h2-h15-g1,2,12.200000,17.082500,0.194000,0.220000,-0.295453
38,10,e10-h3-h14-g2,2,27.000000,15.722500,0.113000,1.900000,0.089890
39,10,e10-h4-h13-g3,2,11.600000,14.932500,0.136000,0.210000,0.029121
40,10,e10-h1-h16-g0,2,25.900000,16.073000,0.115000,2.400000,0.003930
41,11,e11-h1-h16-g0,2,9.390000,16.958000,0.111000,0.430000,-0.239064
42,11,e11-h2-h15-g1,2,12.100000,16.870000,0.566000,0.290000,-0.323134
43,11,e11-h4-h13-g3,2,18.200000,16.864000,0.144000,0.210000,-0.076597
44,11,e11-h3-h14-g2,2,32.300000,16.794500,0.114000,3.500000,-0.015752
45,12,e12-h1-h16-g0,2,7.370000,16.488000,0.153000,0.190000,-0.215856
46,12,e12-h3-h14-g2,2,6.290000,16.643500,0.148000,0.210000,-0.250374
47,12,e12-h4-h13-g3,2,27.300000,15.825000,0.112000,2.800000,0.060087
48,12,e12-h2-h15-g1,2,14.200000,16.101000,0.146000,0.220000,-0.064890
49,13,e13-h4-h13-g3,2,7.490000,14.837500,0.112000,0.250000,-0.001738
50,13,e13-h3-h14-g2,2,10.200000,17.203500,0.133000,0.200000,-0.240287
51,13,e13-h2-h15-g1,2,19.000000,16.631000,0.136000,0.220000,-0.041547
52,13,e13-h1-h16-g0,2,14.300000,17.131500,0.112000,1.200000,-0.213787
53,14,e14-h4-h13-g3,2,13.500000,16.150000,0.115000,0.720000,-0.080876
54,14,e14-h1-h16-g0,2,21.500000,16.760000,0.115000,1.600000,-0.075072
55,14,e14-h2-h15-g1,2,17.800000,16.237000,0.115000,1.100000,-0.043000
56,14,e14-h3-h14-g2,2,5.720000,16.859500,0.283000,0.180000,-0.313085
57,15,e15-h2-h15-g1,2,6.000000,16.521000,0.594000,0.180000,-0.359248
58,15,e15-h4-h13-g3,2,5.690000,16.911000,0.224000,0.200000,-0.298909
59,15,e15-h3-h14-g2,2,17.500000,16.162000,0.114000,1.100000,-0.032912
60,15,e15-h1-h16-g0,2,17.600000,17.258500,0.323000,0.210000,-0.188163
61,16,e16-h4-h13-g3,2,6.280000,16.480500,0.399000,0.180000,-0.284040
