episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,reward_rolling_mean
1,95.0,157.56125,2.9515000000000002,0.0,-0.21249999999999997,-0.21249999999999997
2,95.05,142.52875,1.7855,0.0,0.1697764369282929,-0.02136178153585354
3,95.05,158.055,2.625,0.0,-0.0942614475627769,-0.045661670211494663
4,95.05,142.59199999999998,1.35,0.0,0.05292457712447854,0.042813188829998176
5,95.0,149.0115,2.3615,0.0,-0.22954698854171698,-0.09029461966000511
6,95.1,133.604,1.047,0.0,0.30266311474015706,0.04201356777430621
7,95.05,139.00775,1.6825,0.0,0.029599762128522132,0.03423862944232075
8,95.05,141.18525,1.5459999999999998,0.0,0.023715710581563687,0.11865952915008098
9,95.05,133.52125,1.1105,0.0,0.08296383315534878,0.04542643528847821
10,95.1,147.02925,1.8395000000000001,0.0,0.1801607577167434,0.0956134338178853
