episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward,decision
1,e1-h1-h16-g0,h1,h16,2.4,2840.371,12.89,73.0,-0.4876594736842105,1
1,e1-h2-h15-g1,h2,h15,59.5,2674.2185,0.55,48.0,-0.42659736842105256,2
1,e1-h3-h14-g2,h3,h14,86.8,3144.1724999999997,20.307,26.0,-0.4743736315789474,3
1,e1-h4-h13-g3,h4,h13,52.6,3036.1000000000004,0.207,0.71,-0.2891236315789473,4
2,e2-h1-h16-g0,h1,h16,280.0,4498.279500000001,51.624,25.0,-0.4821052631578947,5
2,e2-h2-h15-g1,h2,h15,55.3,5860.231,6.28,0.85,-0.3083057894736842,6
2,e2-h3-h14-g2,h3,h14,26.0,5513.4255,36.281,18.0,-0.5478956315789473,7
2,e2-h4-h13-g3,h4,h13,924.0,1270.933,36.953,75.0,-0.17180636842105257,8
3,e3-h1-h16-g0,h1,h16,57.1,5172.2155,18.469,19.0,-0.4813648947368421,9
3,e3-h2-h15-g1,h2,h15,40.0,5682.102,1.329,0.29,-0.29149489473684215,10
3,e3-h3-h14-g2,h3,h14,479.0,3026.265,24.696,28.0,-0.3224037894736842,11
3,e3-h4-h13-g3,h4,h13,0.078,907.1935,29.637,80.0,-0.5388781578947368,12
4,e4-h1-h16-g0,h1,h16,26.9,10135.5865,27.5,24.0,-0.5211736842105263,13
4,e4-h2-h15-g1,h2,h15,0.059,4983.586,32.992,82.0,-0.5489511578947368,14
4,e4-h3-h14-g2,h3,h14,0.117,5238.952,16.562,57.0,-0.4996367368421053,15
4,e4-h4-h13-g3,h4,h13,0.058,10798.0505,0.0,0.0,-0.2999755789473684,16
5,e5-h1-h16-g0,h1,h16,941.0,13542.905,4.124,41.0,-0.06616147368421046,17
5,e5-h2-h15-g1,h2,h15,21.9,6660.275,53.547,53.0,-0.5907789473684211,18
5,e5-h3-h14-g2,h3,h14,950.0,7060.9005,22.021,0.92,0.020137000000000037,19
5,e5-h4-h13-g3,h4,h13,108.0,7280.4735,73.682,44.0,-0.5545263157894736,20
6,e6-h1-h16-g0,h1,h16,21.8,3156.6175000000003,0.478,47.0,-0.44225505263157894,21
6,e6-h2-h15-g1,h2,h15,0.045,2486.2055,3.451,46.0,-0.4603340526315789,22
6,e6-h3-h14-g2,h3,h14,128.0,4446.673,98.305,40.0,-0.5461052631578948,23
6,e6-h4-h13-g3,h4,h13,32.4,4125.554,22.349,1.2,-0.37140489473684213,24
7,e7-h1-h16-g0,h1,h16,34.6,13496.9295,0.98,0.49,-0.29572157894736845,25
7,e7-h2-h15-g1,h2,h15,947.0,11821.577000000001,73.936,46.0,-0.2012631578947368,26
7,e7-h3-h14-g2,h3,h14,62.4,7022.99,59.706,51.0,-0.5737263157894736,27
7,e7-h4-h13-g3,h4,h13,43.1,12950.428,121.196,90.0,-0.5818526315789474,28
8,e8-h3-h14-g2,h3,h14,27.4,4359.825,2.101,1.9,-0.3232661578947368,29
8,e8-h4-h13-g3,h4,h13,182.0,3872.2235,15.637,2.0,-0.3002794210526315,30
9,e9-h3-h14-g2,h3,h14,442.0,12991.0295,45.49,50.0,-0.4003647368421053,31
9,e9-h4-h13-g3,h4,h13,509.0,12741.4225,4.644,42.0,-0.24961621052631575,32
10,e10-h1-h16-g0,h1,h16,4.27,8440.9365,75.328,49.0,-0.5982021052631579,33
10,e10-h2-h15-g1,h2,h15,38.8,1353.125,1.91,0.4,-0.29539315789473686,34
10,e10-h3-h14-g2,h3,h14,9.76,9702.5785,57.38,28.0,-0.5958905263157894,35
10,e10-h4-h13-g3,h4,h13,56.7,10221.769,1.023,67.0,-0.4291953157894737,36
11,e11-h2-h15-g1,h2,h15,69.6,21150.622,113.605,0.22,-0.42399473684210526,37
11,e11-h3-h14-g2,h3,h14,317.0,7393.5285,56.525,1.1,-0.33302631578947367,38
11,e11-h4-h13-g3,h4,h13,33.0,8349.401,0.641,0.76,-0.2994282631578948,39
12,e12-h3-h14-g2,h3,h14,8.7,10730.356,60.44,42.0,-0.5963368421052632,40
12,e12-h4-h13-g3,h4,h13,0.925,13038.5655,5.012,38.0,-0.4646465263157894,41
14,e14-h3-h14-g2,h3,h14,5.2,9321.4585,38.524,41.0,-0.5633825263157894,42
14,e14-h4-h13-g3,h4,h13,6.04,9871.9795,2.036,39.0,-0.45356484210526316,43
15,e15-h1-h16-g0,h1,h16,41.7,5764.915,6.315,2.4,-0.33738710526315785,44
15,e15-h2-h15-g1,h2,h15,38.2,18662.287,97.013,14.0,-0.5839157894736842,45
15,e15-h3-h14-g2,h3,h14,950.0,16011.58,67.749,8.8,-0.18199999999999997,46
15,e15-h4-h13-g3,h4,h13,73.4,23.088,104.255,85.0,-0.2829475368421053,47
16,e16-h2-h15-g1,h2,h15,71.2,23.807,0.197,3.5,-0.03739625263157894,48
16,e16-h3-h14-g2,h3,h14,74.0,21.842,98.957,95.0,-0.2819473052631579,49
17,e17-h2-h15-g1,h2,h15,44.2,26469.947,75.271,1.3,-0.45088947368421056,50
17,e17-h3-h14-g2,h3,h14,2.26,11610.1485,58.065,45.0,-0.5990484210526316,51
17,e17-h4-h13-g3,h4,h13,945.0,10645.284,5.386,40.0,-0.06826326315789469,52
19,e19-h1-h16-g0,h1,h16,103.0,969.4705,1.296,2.0,-0.29051957894736846,53
19,e19-h2-h15-g1,h2,h15,35.5,949.7345,0.0,0.0,-0.28505263157894734,54
19,e19-h3-h14-g2,h3,h14,2.18,2054.5820000000003,15.599,46.0,-0.4958791052631578,55
19,e19-h4-h13-g3,h4,h13,30.7,1696.187,0.626,45.0,-0.4389516842105263,56
20,e20-h3-h14-g2,h3,h14,30.6,10468.728,31.762,49.0,-0.5324017894736842,57
20,e20-h4-h13-g3,h4,h13,5.92,10102.5115,0.738,47.0,-0.4497213684210526,58
21,e21-h2-h15-g1,h2,h15,0.089,2409.546,2.665,43.0,-0.45795752631578945,59
22,e22-h3-h14-g2,h3,h14,950.0,10926.9995,88.304,17.0,-0.19999999999999996,60
22,e22-h4-h13-g3,h4,h13,28.9,11375.9565,3.479,2.2,-0.3312685789473684,61
23,e23-h1-h16-g0,h1,h16,16.6,25.341,43.173,50.0,-0.28773412631578943,62
23,e23-h4-h13-g3,h4,h13,143.0,22527.635,147.627,99.0,-0.5397894736842105,63
24,e24-h1-h16-g0,h1,h16,115.0,7460.009999999999,145.845,62.0,-0.5515789473684211,64
24,e24-h2-h15-g1,h2,h15,111.0,49.118,31.843,2.3,-0.11276295789473684,65
