episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
1,e1-h1-h16-g0,h1,h16,7.46,82.5475,0.135,0.098,-0.034825722222222216
1,e1-h2-h15-g1,h2,h15,14.5,80.912,0.165,0.11,-0.018469977777777775
2,e2-h1-h16-g0,h1,h16,8.4,90.34800000000001,0.224,0.14,-0.03831413333333333
2,e2-h2-h15-g1,h2,h15,7.48,81.07300000000001,0.111,0.12,-0.03415457777777778
3,e3-h1-h16-g0,h1,h16,10.2,82.786,0.142,0.12,-0.029230933333333327
3,e3-h2-h15-g1,h2,h15,22.4,88.0445,0.085,0.92,-0.017103922222222213
4,e4-h1-h16-g0,h1,h16,17.3,88.865,0.0,0.0,-0.01487455555555555
4,e4-h2-h15-g1,h2,h15,14.1,89.1625,0.083,0.58,-0.031113166666666657
5,e5-h1-h16-g0,h1,h16,13.2,83.739,0.112,0.08,-0.022446066666666663
5,e5-h2-h15-g1,h2,h15,7.41,81.1935,0.11,0.11,-0.03422943333333332
6,e6-h1-h16-g0,h1,h16,7.6,83.25200000000001,0.125,0.12,-0.035237311111111114
6,e6-h2-h15-g1,h2,h15,7.56,80.9045,0.104,0.12,-0.0338547
7,e7-h1-h16-g0,h1,h16,15.5,79.69550000000001,0.161,0.087,-0.015160855555555564
7,e7-h2-h15-g1,h2,h15,7.94,80.2575,0.121,0.1,-0.03237305555555555
8,e8-h1-h16-g0,h1,h16,22.1,89.705,0.081,1.0,-0.019954888888888876
8,e8-h2-h15-g1,h2,h15,21.0,87.811,0.083,0.84,-0.018868933333333324
9,e9-h1-h16-g0,h1,h16,21.2,95.997,0.093,0.89,-0.024116088888888877
9,e9-h2-h15-g1,h2,h15,10.6,83.595,0.12,0.1,-0.028461444444444442
10,e10-h1-h16-g0,h1,h16,13.6,83.26650000000001,0.079,0.46,-0.02687467777777778
10,e10-h2-h15-g1,h2,h15,7.56,81.672,0.124,0.11,-0.03422519999999999
11,e11-h1-h16-g0,h1,h16,7.93,83.74199999999999,0.134,0.12,-0.03482497777777777
11,e11-h2-h15-g1,h2,h15,25.0,87.89949999999999,0.0,0.0,0.002815855555555566
12,e12-h1-h16-g0,h1,h16,10.6,78.8425,0.0,0.0,-0.023749944444444435
12,e12-h2-h15-g1,h2,h15,11.0,87.408,0.132,0.12,-0.030196355555555554
