state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.209,0.0,-0.209,0.0,0.0,1,1
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.209,0.0,-0.209,0.0,0.0,1,2
"('h3', 'h10', 'util2', 'active1', 'rtt2', 'loss1')",3,-0.232,0.0,-0.232,0.0,0.0,1,3
"('h10', 'h3', 'util2', 'active1', 'rtt2', 'loss1')",3,-0.232,0.0,-0.232,0.0,0.0,1,4
"('h2', 'h11', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.215,0.0,-0.215,0.0,0.0,1,5
"('h11', 'h2', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.215,0.0,-0.215,0.0,0.0,1,6
"('h1', 'h12', 'util2', 'active1', 'rtt2', 'loss2')",2,-0.213,0.0,-0.213,0.0,0.0,1,7
"('h12', 'h1', 'util2', 'active1', 'rtt2', 'loss2')",2,-0.213,0.0,-0.213,0.0,0.0,1,8
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.166,0.0,-0.166,0.0,0.0,3,9
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.166,0.0,-0.166,0.0,0.0,3,10
"('h1', 'h12', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.219,0.0,-0.219,0.0,0.0,1,11
"('h12', 'h1', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.219,0.0,-0.219,0.0,0.0,1,12
"('h2', 'h11', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.23,0.0,-0.23,0.0,0.0,1,13
"('h11', 'h2', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.23,0.0,-0.23,0.0,0.0,1,14
"('h3', 'h10', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.194,0.0,-0.194,0.0,0.0,2,15
"('h10', 'h3', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.194,0.0,-0.194,0.0,0.0,2,16
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.293,-0.127,-0.171,0.0,-0.015,2,17
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.293,-0.127,-0.171,0.0,-0.015,2,18
"('h1', 'h12', 'util2', 'active1', 'rtt2', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,19
"('h12', 'h1', 'util2', 'active1', 'rtt2', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,20
"('h3', 'h10', 'util3', 'active1', 'rtt2', 'loss0')",2,-0.152,0.042,-0.192,0.0,0.005,1,21
"('h10', 'h3', 'util3', 'active1', 'rtt2', 'loss0')",2,-0.152,0.042,-0.192,0.0,0.005,1,22
"('h2', 'h11', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.162,0.053,-0.213,0.0,0.006,1,23
"('h11', 'h2', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.162,0.053,-0.213,0.0,0.006,1,24
"('h2', 'h11', 'util2', 'active1', 'rtt2', 'loss0')",3,-0.257,0.0,-0.257,0.0,0.0,2,25
"('h11', 'h2', 'util2', 'active1', 'rtt2', 'loss0')",3,-0.257,0.0,-0.257,0.0,0.0,2,26
"('h1', 'h12', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.252,-0.033,-0.22,0.0,-0.004,1,27
"('h12', 'h1', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.252,-0.033,-0.22,0.0,-0.004,1,28
