episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward,complete_flow_groups,throughput_mbps_avg10,throughput_mbps_avg25,rtt_ms_avg10,rtt_ms_avg25,jitter_ms_avg10,jitter_ms_avg25,loss_pct_avg10,loss_pct_avg25,absolute_reward_avg10,absolute_reward_avg25
1,27.45,63.1575,0.067,0.9825,-0.1259329090909091,4,27.45,27.45,63.1575,63.1575,0.067,0.067,0.9825,0.9825,-0.1259329090909091,-0.1259329090909091
2,19.0,56.228125,0.08925,0.195,-0.08819629545454544,4,23.225,23.225,59.6928125,59.6928125,0.078125,0.078125,0.58875,0.58875,-0.10706460227272727,-0.10706460227272727
3,26.5125,64.348375,0.104,0.555,-0.10886620454545454,4,24.320833333333336,24.320833333333336,61.24466666666667,61.24466666666667,0.08675,0.08675,0.5775,0.5775,-0.10766513636363635,-0.10766513636363635
4,26.075,61.525625,0.06625,0.685,-0.11028965909090907,4,24.759375,24.759375,61.31490625,61.31490625,0.081625,0.081625,0.6043750000000001,0.6043750000000001,-0.10832126704545453,-0.10832126704545453
5,30.475,64.012875,0.0855,0.85425,-0.11584215909090909,4,25.902499999999996,25.902499999999996,61.85450000000001,61.85450000000001,0.0824,0.0824,0.65435,0.65435,-0.10982544545454545,-0.10982544545454545
6,23.4,63.878375,0.07425,0.7575000000000001,-0.12353179545454546,4,25.485416666666666,25.485416666666666,62.1918125,62.1918125,0.08104166666666666,0.08104166666666666,0.6715416666666667,0.6715416666666667,-0.1121098371212121,-0.1121098371212121
7,27.875,67.04362499999999,0.078,0.92525,-0.13013593181818178,4,25.826785714285712,25.826785714285712,62.884928571428574,62.884928571428574,0.08060714285714286,0.08060714285714286,0.7077857142857144,0.7077857142857144,-0.1146849935064935,-0.1146849935064935
8,29.025,74.825375,0.07025,0.9525000000000001,-0.14492452272727271,4,26.2265625,26.2265625,64.377484375,64.377484375,0.07931250000000001,0.07931250000000001,0.738375,0.738375,-0.1184649346590909,-0.1184649346590909
9,24.8825,66.55175,0.094,0.77,-0.12692659090909092,4,26.077222222222222,26.077222222222222,64.61906944444445,64.61906944444445,0.08094444444444444,0.08094444444444444,0.7418888888888889,0.7418888888888889,-0.11940511868686869,-0.11940511868686869
10,27.825000000000003,65.49012499999999,0.079,1.0275,-0.1322383409090909,4,26.252,26.252,64.706175,64.706175,0.08075,0.08075,0.7704500000000001,0.7704500000000001,-0.1206884409090909,-0.1206884409090909
11,19.38,60.423875,0.08675,0.41000000000000003,-0.10663188636363635,4,25.445,25.627272727272725,64.4328125,64.316875,0.08272499999999999,0.08129545454545455,0.7132000000000001,0.7376818181818181,-0.11875833863636362,-0.11941057231404958
12,13.26,59.385999999999996,0.08875,0.2625,-0.10832040909090908,4,24.871000000000002,24.596666666666668,64.7486,63.90596875,0.082675,0.08191666666666667,0.7199500000000001,0.6980833333333334,-0.12077075,-0.11848639204545454
13,29.255000000000003,60.52875,0.08175,0.3845,-0.0875820909090909,4,25.145249999999997,24.955000000000002,64.3666375,63.64618269230769,0.08045,0.08190384615384616,0.7029000000000001,0.6739615384615385,-0.11864233863636361,-0.1161091381118881
14,30.875,64.463875,0.08850000000000001,0.8325,-0.11494738636363634,4,25.62525,25.377857142857145,64.6604625,63.704589285714285,0.082675,0.082375,0.71765,0.6852857142857144,-0.11910811136363635,-0.11602615584415583
15,31.825,66.655125,0.08075,0.86,-0.11893111363636365,4,25.760250000000003,25.807666666666666,64.92468749999999,63.901291666666665,0.0822,0.08226666666666667,0.7182250000000001,0.6969333333333334,-0.11941700681818182,-0.11621981969696969
16,24.93,66.33775,0.067,0.6175,-0.11862522727272726,4,25.913249999999998,25.7528125,65.170625,64.0535703125,0.081475,0.0813125,0.704225,0.69196875,-0.11892635,-0.11637015767045454
17,36.875,64.7625,0.06275,0.6515,-0.09543104545454542,4,26.81325,26.40705882352941,64.94251249999999,64.09527205882353,0.07995,0.08022058823529411,0.6768500000000001,0.6895882352941177,-0.11545586136363635,-0.11513844518716576
