episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
1,e1-h1-h12-g0,h1,h12,24.9,60.7635,0.066,0.79,-0.11615027272727271
1,e1-h2-h11-g1,h2,h11,31.8,63.1165,0.066,1.0,-0.11881081818181818
1,e1-h3-h10-g2,h3,h10,35.6,65.8885,0.067,1.5,-0.14245172727272726
1,e1-h4-h9-g3,h4,h9,17.5,62.86150000000001,0.069,0.64,-0.12631881818181817
2,e2-h1-h12-g0,h1,h12,15.5,56.973,0.089,0.21,-0.09679818181818181
2,e2-h2-h11-g1,h2,h11,11.8,58.596000000000004,0.103,0.21,-0.10685545454545453
2,e2-h3-h10-g2,h3,h10,32.8,53.88249999999999,0.082,0.18,-0.05762063636363635
2,e2-h4-h9-g3,h4,h9,15.9,55.461,0.083,0.18,-0.09151090909090909
3,e3-h1-h12-g0,h1,h12,42.8,71.41,0.073,1.8,-0.15543981818181815
3,e3-h2-h11-g1,h2,h11,26.9,66.7045,0.113,0.14,-0.09217790909090907
3,e3-h3-h10-g2,h3,h10,26.6,61.8735,0.154,0.14,-0.08330736363636362
3,e3-h4-h9-g3,h4,h9,9.75,57.4055,0.076,0.14,-0.10453972727272727
4,e4-h1-h12-g0,h1,h12,18.6,59.0095,0.0,0.0,-0.08420081818181818
4,e4-h2-h11-g1,h2,h11,34.4,69.1275,0.081,1.4,-0.14619554545454544
4,e4-h3-h10-g2,h3,h10,27.9,60.437,0.067,1.1,-0.12554872727272726
4,e4-h4-h9-g3,h4,h9,23.4,57.528499999999994,0.117,0.24,-0.08521354545454543
5,e5-h1-h12-g0,h1,h12,22.9,61.7095,0.109,0.13,-0.08893663636363636
5,e5-h2-h11-g1,h2,h11,30.8,65.87549999999999,0.067,1.3,-0.14115299999999995
5,e5-h3-h10-g2,h3,h10,27.7,55.4225,0.098,0.087,-0.06541936363636364
5,e5-h4-h9-g3,h4,h9,40.5,73.04400000000001,0.068,1.9,-0.16785963636363638
6,e6-h1-h12-g0,h1,h12,15.8,63.276,0.074,0.55,-0.12576872727272728
6,e6-h2-h11-g1,h2,h11,17.7,55.589,0.087,0.13,-0.08601818181818181
6,e6-h3-h10-g2,h3,h10,44.3,79.075,0.068,1.8,-0.16801254545454544
6,e6-h4-h9-g3,h4,h9,15.8,57.573499999999996,0.068,0.55,-0.11432772727272726
7,e7-h1-h12-g0,h1,h12,10.8,60.08,0.095,0.091,-0.10564363636363634
7,e7-h2-h11-g1,h2,h11,16.7,56.1515,0.084,0.11,-0.08794336363636363
7,e7-h3-h10-g2,h3,h10,44.5,81.8175,0.067,1.9,-0.1781279090909091
7,e7-h4-h9-g3,h4,h9,39.5,70.1255,0.066,1.6,-0.14882881818181815
8,e8-h1-h12-g0,h1,h12,9.5,58.074,0.0,0.0,-0.09887527272727273
8,e8-h2-h11-g1,h2,h11,26.9,71.627,0.076,1.1,-0.1498009090909091
8,e8-h3-h10-g2,h3,h10,19.8,65.794,0.089,0.11,-0.10162199999999999
8,e8-h4-h9-g3,h4,h9,59.9,103.8065,0.116,2.6,-0.22939990909090907
9,e9-h1-h12-g0,h1,h12,18.1,61.357,0.067,0.61,-0.12070690909090907
9,e9-h2-h11-g1,h2,h11,50.9,84.95949999999999,0.067,2.2,-0.18777554545454544
9,e9-h3-h10-g2,h3,h10,9.13,59.309,0.088,0.14,-0.10954599999999999
9,e9-h4-h9-g3,h4,h9,21.4,60.581500000000005,0.154,0.13,-0.0896779090909091
10,e10-h1-h12-g0,h1,h12,34.2,65.8945,0.067,1.3,-0.1350091818181818
10,e10-h2-h11-g1,h2,h11,10.5,60.567499999999995,0.112,0.11,-0.10821609090909091
10,e10-h3-h10-g2,h3,h10,33.7,70.511,0.07,1.3,-0.1451692727272727
10,e10-h4-h9-g3,h4,h9,32.9,64.9875,0.067,1.4,-0.14055881818181815
11,e11-h1-h12-g0,h1,h12,32.5,67.1975,0.067,1.3,-0.1407060909090909
11,e11-h2-h11-g1,h2,h11,21.1,56.3725,0.088,0.1,-0.07990936363636364
11,e11-h3-h10-g2,h3,h10,14.3,59.1365,0.096,0.11,-0.09834899999999999
11,e11-h4-h9-g3,h4,h9,9.62,58.989000000000004,0.096,0.13,-0.10756309090909091
12,e12-h1-h12-g0,h1,h12,12.8,58.382999999999996,0.089,0.12,-0.10002727272727271
12,e12-h2-h11-g1,h2,h11,8.94,58.7825,0.088,0.15,-0.10933845454545453
12,e12-h3-h10-g2,h3,h10,17.2,59.846000000000004,0.068,0.65,-0.12132727272727271
12,e12-h4-h9-g3,h4,h9,14.1,60.5325,0.11,0.13,-0.10258863636363637
13,e13-h1-h12-g0,h1,h12,9.82,58.1815,0.092,0.11,-0.10456045454545454
13,e13-h2-h11-g1,h2,h11,50.0,57.513,0.083,0.088,-0.029014909090909063
13,e13-h3-h10-g2,h3,h10,23.6,59.3845,0.084,0.14,-0.0833639090909091
13,e13-h4-h9-g3,h4,h9,33.6,67.036,0.068,1.2,-0.1333890909090909
14,e14-h1-h12-g0,h1,h12,40.1,75.791,0.07,1.8,-0.16909290909090907
14,e14-h2-h11-g1,h2,h11,11.0,59.336,0.082,0.11,-0.10466400000000001
14,e14-h3-h10-g2,h3,h10,33.1,66.85149999999999,0.067,1.3,-0.13892318181818175
