episode,reward,reward_ma10,reward_ma25,throughput_mbps,throughput_ma10,rtt_ms,rtt_ma10,jitter_ms,loss_pct,loss_ma10,complete_groups
1,0.5454958,0.5454958,0.5454958,20.125,20.125,103.516,103.516,0.063,0.7475,0.7475,4
2,0.687430075,0.6164629374999999,0.6164629374999999,18.775,19.45,77.79525,90.655625,0.08875,0.084,0.41575,4
3,0.70457495,0.6458336083333333,0.6458336083333333,24.7325,21.210833333333333,89.3865,90.23258333333332,0.104,0.46275,0.4314166666666666,4
4,0.653292075,0.647698225,0.647698225,21.15,21.195625,92.279,90.7441875,0.08225,0.62475,0.47975,4
5,0.57849675,0.6338579299999999,0.6338579299999999,24.0,21.7565,90.16624999999999,90.62859999999999,0.0455,0.0395,0.39170000000000005,4
6,0.6352301999999999,0.6340866416666665,0.6340866416666665,19.35,21.355416666666667,93.67275,91.13595833333333,0.0825,0.60325,0.42695833333333333,4
7,0.5814638,0.6265690928571427,0.6265690928571427,20.112499999999997,21.177857142857142,96.73849999999999,91.93632142857142,0.07,0.374,0.4193928571428572,4
8,0.50237285,0.6110445624999998,0.6110445624999998,21.3625,21.200937500000002,97.60075,92.644375,0.042499999999999996,0.5924999999999999,0.44103125,4
9,0.63505175,0.6137120277777776,0.6137120277777776,19.745,21.03916666666667,92.16,92.59055555555555,0.09,0.68175,0.4677777777777778,4
10,0.6215189999999999,0.6144927249999999,0.6144927249999999,20.3175,20.967000000000002,98.405,93.172,0.08600000000000001,0.839,0.5048999999999999,4
11,0.62902685,0.6228458299999999,0.6158140090909089,16.19,20.573500000000003,85.837,91.40409999999999,0.09,0.38925,0.46907499999999996,4
12,0.59713765,0.6138165874999999,0.6142576458333332,11.575,19.853499999999997,86.20925,92.24549999999999,0.0915,0.193,0.4799749999999999,4
13,0.726615075,0.6160205999999999,0.6229005249999998,24.6825,19.848499999999998,78.47025,91.153875,0.08025,0.33925,0.46762499999999996,4
14,0.6867794,0.6193693324999999,0.6274633017857142,24.4025,20.173750000000002,89.038,90.829775,0.09,0.663,0.47145000000000004,4
15,0.68683835,0.6302034925,0.6314216383333332,24.575000000000003,20.23125,92.092,91.02234999999999,0.0835,0.637,0.5312000000000001,4
16,0.61980635,0.6286611075,0.6306956828124999,18.485,20.14475,95.1395,91.16902499999999,0.08600000000000001,0.66975,0.5378499999999999,4
17,0.6410025,0.6346149775000001,0.6313019661764705,26.55,20.788500000000006,92.35625,90.7308,0.061,0.5095,0.5513999999999999,4
18,0.581236425,0.6425013350000001,0.6285205472222222,18.217499999999998,20.474000000000004,86.55975000000001,89.6267,0.06725,0.2875,0.5208999999999999,4
19,0.602077275,0.6392038875,0.6271287960526315,17.37,20.236500000000003,99.333,90.34400000000001,0.08725,0.69025,0.5217499999999999,4
20,0.6129249999999999,0.6383444875,0.6264186062499999,17.65,19.96975,94.80625,89.98412499999999,0.0835,0.65575,0.503425,4
21,0.6277897,0.6382207725,0.6264838964285714,15.9175,19.942500000000003,87.894,90.189825,0.0925,0.33625000000000005,0.49812500000000004,4
22,0.5047309999999999,0.6289801075,0.6209496738636363,16.13,20.398,85.77,90.14589999999998,0.046,0.044,0.483225,4
23,0.68418,0.6247366,0.6236988184782607,25.785,20.508249999999997,91.60000000000001,91.458875,0.0875,0.8412499999999999,0.5334249999999999,4
24,0.668853025,0.6229439624999998,0.6255802437499999,27.025,20.7705,101.7355,92.728625,0.10275000000000001,1.04725,0.5718500000000001,4
25,0.6801102,0.6222711475,0.627761442,24.825,20.7955,93.67275000000001,92.88669999999999,0.0985,0.73325,0.581475,4
26,0.606112,0.6209017124999999,0.6301860899999999,15.025,20.4495,90.09625,92.382375,0.088,0.4715,0.56165,4
27,0.66130605,0.6229320675000001,0.629141129,17.325,19.526999999999997,80.321,91.17885,0.082,0.19925,0.530625,4
28,0.52575785,0.61738421,0.621988445,15.14,19.21925,92.36325000000001,91.7592,0.07,0.52375,0.55425,4
29,0.60681935,0.6178584175,0.620129536,21.125,19.594749999999998,85.7495,90.40085,0.0725,0.3465,0.519875,4
30,0.5162897,0.6081948875000001,0.6176412539999999,12.102500000000001,19.04,89.569,89.877125,0.0645,0.29025,0.48332499999999995,4
31,0.743218775,0.619737795,0.621960797,28.375,20.28575,79.638,89.051525,0.08375,0.46449999999999997,0.4961500000000001,4
32,0.6667035,0.6359350449999999,0.625370385,26.325,21.305249999999997,79.01375,88.3759,0.064,0.35,0.52675,4
33,0.69602345,0.63711939,0.633116409,27.2375,21.450499999999998,93.57525,88.573425,0.0865,0.8455,0.527175,4
34,0.5923611500000001,0.6294702025000001,0.6314087850000001,17.195,20.4675,99.67925,88.3678,0.08650000000000001,0.791,0.50155,4
35,0.6375171749999999,0.6252109,0.632048712,17.1,19.695,86.54350000000001,87.654875,0.08825,0.38625,0.46685,4
36,0.7034049499999999,0.6349401950000001,0.635023836,26.5,20.8425,84.799,87.12515,0.0865,0.6124999999999999,0.4809499999999999,4
37,0.65402615,0.6342122050000001,0.637299376,29.85,22.095,105.648,89.65785000000001,0.0845,1.5875,0.619775,4
38,0.5864151249999999,0.6402779325000001,0.631691378,17.252499999999998,22.30625,81.79625,88.60114999999999,0.06475,0.16625,0.5840249999999999,4
39,0.560575175,0.6356535150000001,0.626643209,18.2075,22.014499999999998,89.866,89.0128,0.06475,0.509,0.600275,4
40,0.6510153,0.6491260750000001,0.625210287,28.725,23.67675,105.54975,90.610875,0.085,1.4575,0.717,4
41,0.588801825,0.63368438,0.623970106,17.4975,22.589,81.81774999999999,90.82884999999999,0.06725,0.1665,0.6871999999999999,4
42,0.57345035,0.6243590649999999,0.62126802,18.942500000000003,21.850749999999998,98.357,92.763175,0.0645,0.2995,0.6821499999999999,4
