selection,src,dst,pair,path
1,h4,h9,h4->h9,s6 -> s1 -> s7
2,h2,h11,h2->h11,s5 -> s2 -> s8
3,h3,h10,h3->h10,s5 -> s3 -> s8
4,h1,h12,h1->h12,s5 -> s4 -> s8
5,h2,h11,h2->h11,s5 -> s1 -> s8
6,h3,h10,h3->h10,s5 -> s8
7,h1,h12,h1->h12,s5 -> s2 -> s8
8,h4,h9,h4->h9,s6 -> s3 -> s7
9,h2,h11,h2->h11,s5 -> s4 -> s8
10,h3,h10,h3->h10,s5 -> s1 -> s8
11,h1,h12,h1->h12,s5 -> s3 -> s8
12,h4,h9,h4->h9,s6 -> s2 -> s7
13,h4,h9,h4->h9,s6 -> s4 -> s7
14,h1,h12,h1->h12,s5 -> s8
15,h2,h11,h2->h11,s5 -> s3 -> s8
16,h3,h10,h3->h10,s5 -> s2 -> s8
17,h2,h11,h2->h11,s5 -> s8
18,h1,h12,h1->h12,s5 -> s1 -> s8
19,h4,h9,h4->h9,s6 -> s7
20,h3,h10,h3->h10,s5 -> s4 -> s8
21,h1,h12,h1->h12,s5 -> s3 -> s8
22,h3,h10,h3->h10,s5 -> s2 -> s8
23,h2,h11,h2->h11,s5 -> s8
24,h4,h9,h4->h9,s6 -> s1 -> s7
25,h3,h10,h3->h10,s5 -> s1 -> s8
26,h1,h12,h1->h12,s5 -> s4 -> s8
27,h4,h9,h4->h9,s6 -> s3 -> s7
28,h2,h11,h2->h11,s5 -> s3 -> s8
29,h4,h9,h4->h9,s6 -> s2 -> s7
30,h3,h10,h3->h10,s5 -> s8
31,h2,h11,h2->h11,s5 -> s2 -> s8
32,h1,h12,h1->h12,s5 -> s1 -> s8
33,h4,h9,h4->h9,s6 -> s4 -> s7
34,h2,h11,h2->h11,s5 -> s4 -> s8
35,h3,h10,h3->h10,s5 -> s3 -> s8
36,h1,h12,h1->h12,s5 -> s8
37,h2,h11,h2->h11,s5 -> s1 -> s8
38,h4,h9,h4->h9,s6 -> s7
39,h1,h12,h1->h12,s5 -> s2 -> s8
40,h3,h10,h3->h10,s5 -> s4 -> s8
41,h4,h9,h4->h9,s6 -> s1 -> s7
42,h2,h11,h2->h11,s5 -> s3 -> s8
43,h3,h10,h3->h10,s5 -> s1 -> s8
44,h1,h12,h1->h12,s5 -> s8
45,h4,h9,h4->h9,s6 -> s3 -> s7
46,h1,h12,h1->h12,s5 -> s2 -> s8
47,h2,h11,h2->h11,s5 -> s4 -> s8
48,h3,h10,h3->h10,s5 -> s3 -> s8
49,h4,h9,h4->h9,s6 -> s2 -> s7
50,h2,h11,h2->h11,s5 -> s1 -> s8
51,h3,h10,h3->h10,s5 -> s8
52,h1,h12,h1->h12,s5 -> s4 -> s8
53,h4,h9,h4->h9,s6 -> s4 -> s7
54,h1,h12,h1->h12,s5 -> s3 -> s8
55,h2,h11,h2->h11,s5 -> s2 -> s8
56,h3,h10,h3->h10,s5 -> s4 -> s8
57,h4,h9,h4->h9,s6 -> s7
58,h1,h12,h1->h12,s5 -> s1 -> s8
59,h3,h10,h3->h10,s5 -> s2 -> s8
60,h2,h11,h2->h11,s5 -> s8
61,h2,h11,h2->h11,s5 -> s3 -> s8
62,h3,h10,h3->h10,s5 -> s4 -> s8
63,h4,h9,h4->h9,s6 -> s2 -> s7
64,h1,h12,h1->h12,s5 -> s2 -> s8
65,h4,h9,h4->h9,s6 -> s1 -> s7
66,h3,h10,h3->h10,s5 -> s3 -> s8
67,h2,h11,h2->h11,s5 -> s8
68,h1,h12,h1->h12,s5 -> s4 -> s8
69,h2,h11,h2->h11,s5 -> s1 -> s8
70,h4,h9,h4->h9,s6 -> s4 -> s7
71,h3,h10,h3->h10,s5 -> s8
72,h1,h12,h1->h12,s5 -> s3 -> s8
73,h2,h11,h2->h11,s5 -> s2 -> s8
74,h1,h12,h1->h12,s5 -> s1 -> s8
75,h4,h9,h4->h9,s6 -> s1 -> s7
76,h3,h10,h3->h10,s5 -> s4 -> s8
77,h3,h10,h3->h10,s5 -> s3 -> s8
78,h4,h9,h4->h9,s6 -> s4 -> s7
79,h1,h12,h1->h12,s5 -> s2 -> s8
80,h2,h11,h2->h11,s5 -> s1 -> s8
81,h2,h11,h2->h11,s5 -> s4 -> s8
82,h1,h12,h1->h12,s5 -> s8
83,h3,h10,h3->h10,s5 -> s8
84,h4,h9,h4->h9,s6 -> s1 -> s7
85,h4,h9,h4->h9,s6 -> s4 -> s7
86,h3,h10,h3->h10,s5 -> s3 -> s8
87,h2,h11,h2->h11,s5 -> s2 -> s8
88,h1,h12,h1->h12,s5 -> s1 -> s8
89,h1,h12,h1->h12,s5 -> s4 -> s8
90,h2,h11,h2->h11,s5 -> s8
91,h4,h9,h4->h9,s6 -> s1 -> s7
92,h3,h10,h3->h10,s5 -> s1 -> s8
93,h2,h11,h2->h11,s5 -> s2 -> s8
94,h1,h12,h1->h12,s5 -> s3 -> s8
95,h4,h9,h4->h9,s6 -> s4 -> s7
96,h3,h10,h3->h10,s5 -> s1 -> s8
97,h3,h10,h3->h10,s5 -> s4 -> s8
98,h1,h12,h1->h12,s5 -> s8
99,h2,h11,h2->h11,s5 -> s2 -> s8
100,h4,h9,h4->h9,s6 -> s3 -> s7
101,h1,h12,h1->h12,s5 -> s3 -> s8
102,h4,h9,h4->h9,s6 -> s4 -> s7
103,h3,h10,h3->h10,s5 -> s1 -> s8
104,h2,h11,h2->h11,s5 -> s2 -> s8
105,h1,h12,h1->h12,s5 -> s4 -> s8
106,h4,h9,h4->h9,s6 -> s3 -> s7
107,h2,h11,h2->h11,s5 -> s1 -> s8
108,h3,h10,h3->h10,s5 -> s2 -> s8
109,h3,h10,h3->h10,s5 -> s3 -> s8
110,h1,h12,h1->h12,s5 -> s8
111,h2,h11,h2->h11,s5 -> s4 -> s8
112,h4,h9,h4->h9,s6 -> s1 -> s7
113,h3,h10,h3->h10,s5 -> s1 -> s8
114,h2,h11,h2->h11,s5 -> s2 -> s8
115,h4,h9,h4->h9,s6 -> s3 -> s7
116,h1,h12,h1->h12,s5 -> s3 -> s8
117,h3,h10,h3->h10,s5 -> s4 -> s8
118,h4,h9,h4->h9,s6 -> s2 -> s7
119,h2,h11,h2->h11,s5 -> s1 -> s8
120,h1,h12,h1->h12,s5 -> s8
121,h1,h12,h1->h12,s5 -> s2 -> s8
122,h2,h11,h2->h11,s5 -> s4 -> s8
123,h4,h9,h4->h9,s6 -> s3 -> s7
124,h3,h10,h3->h10,s5 -> s8
125,h3,h10,h3->h10,s5 -> s1 -> s8
126,h1,h12,h1->h12,s5 -> s3 -> s8
127,h2,h11,h2->h11,s5 -> s8
128,h4,h9,h4->h9,s6 -> s2 -> s7
129,h4,h9,h4->h9,s6 -> s1 -> s7
130,h3,h10,h3->h10,s5 -> s2 -> s8
131,h1,h12,h1->h12,s5 -> s4 -> s8
132,h2,h11,h2->h11,s5 -> s8
133,h3,h10,h3->h10,s5 -> s3 -> s8
134,h1,h12,h1->h12,s5 -> s1 -> s8
135,h2,h11,h2->h11,s5 -> s2 -> s8
136,h4,h9,h4->h9,s6 -> s4 -> s7
137,h3,h10,h3->h10,s5 -> s4 -> s8
138,h1,h12,h1->h12,s5 -> s2 -> s8
139,h4,h9,h4->h9,s6 -> s3 -> s7
140,h2,h11,h2->h11,s5 -> s1 -> s8
141,h1,h12,h1->h12,s5 -> s8
142,h3,h10,h3->h10,s5 -> s3 -> s8
143,h4,h9,h4->h9,s6 -> s7
144,h2,h11,h2->h11,s5 -> s4 -> s8
145,h3,h10,h3->h10,s5 -> s2 -> s8
146,h1,h12,h1->h12,s5 -> s1 -> s8
147,h4,h9,h4->h9,s6 -> s7
148,h2,h11,h2->h11,s5 -> s3 -> s8
