selection,src,dst,pair,path
1,h3,h10,h3->h10,s5 -> s1 -> s8
2,h1,h12,h1->h12,s5 -> s2 -> s8
3,h4,h9,h4->h9,s6 -> s3 -> s7
4,h2,h11,h2->h11,s5 -> s4 -> s8
5,h2,h11,h2->h11,s5 -> s3 -> s8
6,h4,h9,h4->h9,s6 -> s1 -> s7
7,h3,h10,h3->h10,s5 -> s8
8,h1,h12,h1->h12,s5 -> s1 -> s8
9,h4,h9,h4->h9,s6 -> s2 -> s7
10,h2,h11,h2->h11,s5 -> s2 -> s8
11,h3,h10,h3->h10,s5 -> s4 -> s8
12,h1,h12,h1->h12,s5 -> s3 -> s8
13,h2,h11,h2->h11,s5 -> s1 -> s8
14,h4,h9,h4->h9,s6 -> s4 -> s7
15,h3,h10,h3->h10,s5 -> s2 -> s8
16,h1,h12,h1->h12,s5 -> s4 -> s8
17,h1,h12,h1->h12,s5 -> s8
18,h4,h9,h4->h9,s6 -> s7
19,h2,h11,h2->h11,s5 -> s8
20,h3,h10,h3->h10,s5 -> s3 -> s8
21,h4,h9,h4->h9,s6 -> s3 -> s7
22,h3,h10,h3->h10,s5 -> s1 -> s8
23,h1,h12,h1->h12,s5 -> s2 -> s8
24,h2,h11,h2->h11,s5 -> s4 -> s8
25,h4,h9,h4->h9,s6 -> s1 -> s7
26,h2,h11,h2->h11,s5 -> s3 -> s8
27,h3,h10,h3->h10,s5 -> s8
28,h1,h12,h1->h12,s5 -> s1 -> s8
29,h2,h11,h2->h11,s5 -> s2 -> s8
30,h3,h10,h3->h10,s5 -> s4 -> s8
31,h1,h12,h1->h12,s5 -> s8
32,h4,h9,h4->h9,s6 -> s2 -> s7
33,h4,h9,h4->h9,s6 -> s4 -> s7
34,h2,h11,h2->h11,s5 -> s1 -> s8
35,h3,h10,h3->h10,s5 -> s3 -> s8
36,h1,h12,h1->h12,s5 -> s4 -> s8
37,h2,h11,h2->h11,s5 -> s8
38,h4,h9,h4->h9,s6 -> s7
39,h3,h10,h3->h10,s5 -> s2 -> s8
40,h1,h12,h1->h12,s5 -> s3 -> s8
41,h4,h9,h4->h9,s6 -> s2 -> s7
42,h3,h10,h3->h10,s5 -> s1 -> s8
43,h2,h11,h2->h11,s5 -> s4 -> s8
44,h1,h12,h1->h12,s5 -> s3 -> s8
45,h4,h9,h4->h9,s6 -> s1 -> s7
46,h3,h10,h3->h10,s5 -> s2 -> s8
47,h2,h11,h2->h11,s5 -> s3 -> s8
48,h1,h12,h1->h12,s5 -> s4 -> s8
49,h3,h10,h3->h10,s5 -> s1 -> s8
50,h1,h12,h1->h12,s5 -> s8
51,h4,h9,h4->h9,s6 -> s3 -> s7
52,h2,h11,h2->h11,s5 -> s2 -> s8
53,h4,h9,h4->h9,s6 -> s2 -> s7
54,h1,h12,h1->h12,s5 -> s4 -> s8
55,h3,h10,h3->h10,s5 -> s1 -> s8
56,h2,h11,h2->h11,s5 -> s3 -> s8
