state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h3', 'h10', 'util0', 'active0', 'rtt4', 'loss0')",3,-0.185,0.0,-0.185,0.0,0.0,1,1
"('h10', 'h3', 'util0', 'active0', 'rtt4', 'loss0')",3,-0.185,0.0,-0.185,0.0,0.0,1,2
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.194,0.0,-0.194,0.0,0.0,1,3
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.194,0.0,-0.194,0.0,0.0,1,4
"('h1', 'h12', 'util3', 'active1', 'rtt2', 'loss6')",3,-0.243,0.0,-0.243,0.0,0.0,1,5
"('h12', 'h1', 'util3', 'active1', 'rtt2', 'loss6')",3,-0.243,0.0,-0.243,0.0,0.0,1,6
"('h2', 'h11', 'util3', 'active1', 'rtt3', 'loss6')",3,-0.233,0.0,-0.233,0.0,0.0,1,7
"('h11', 'h2', 'util3', 'active1', 'rtt3', 'loss6')",3,-0.233,0.0,-0.233,0.0,0.0,1,8
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.252,-0.144,-0.199,0.0,-0.032,1,9
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.252,-0.144,-0.199,0.0,-0.032,1,10
"('h1', 'h12', 'util3', 'active1', 'rtt2', 'loss1')",3,-0.211,0.081,-0.241,0.0,0.018,2,11
"('h12', 'h1', 'util3', 'active1', 'rtt2', 'loss1')",3,-0.211,0.081,-0.241,0.0,0.018,2,12
"('h3', 'h10', 'util3', 'active1', 'rtt2', 'loss1')",2,-0.097,0.22,-0.178,0.0,0.048,1,13
"('h10', 'h3', 'util3', 'active1', 'rtt2', 'loss1')",2,-0.097,0.22,-0.178,0.0,0.048,1,14
"('h2', 'h11', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.154,0.197,-0.226,0.0,0.043,1,15
"('h11', 'h2', 'util0', 'active0', 'rtt2', 'loss1')",3,-0.154,0.197,-0.226,0.0,0.043,1,16
"('h3', 'h10', 'util3', 'active0', 'rtt2', 'loss0')",3,-0.168,0.026,-0.177,0.0,0.006,1,17
"('h10', 'h3', 'util3', 'active0', 'rtt2', 'loss0')",3,-0.168,0.026,-0.177,0.0,0.006,1,18
"('h1', 'h12', 'util3', 'active1', 'rtt2', 'loss0')",2,-0.251,-0.026,-0.241,0.0,-0.006,1,19
"('h12', 'h1', 'util3', 'active1', 'rtt2', 'loss0')",2,-0.251,-0.026,-0.241,0.0,-0.006,1,20
"('h2', 'h11', 'util2', 'active0', 'rtt2', 'loss0')",3,-0.29,-0.159,-0.231,0.0,-0.035,1,21
"('h11', 'h2', 'util2', 'active0', 'rtt2', 'loss0')",3,-0.29,-0.159,-0.231,0.0,-0.035,1,22
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.125,0.184,-0.193,0.0,0.041,1,23
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.125,0.184,-0.193,0.0,0.041,1,24
"('h4', 'h9', 'util2', 'active0', 'rtt2', 'loss1')",3,-0.2,-0.019,-0.193,0.0,-0.004,1,25
"('h9', 'h4', 'util2', 'active0', 'rtt2', 'loss1')",3,-0.2,-0.019,-0.193,0.0,-0.004,1,26
"('h1', 'h12', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.218,0.059,-0.24,0.0,0.013,1,27
"('h12', 'h1', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.218,0.059,-0.24,0.0,0.013,1,28
"('h3', 'h10', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.223,-0.114,-0.181,0.0,-0.025,1,29
"('h10', 'h3', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.223,-0.114,-0.181,0.0,-0.025,1,30
"('h2', 'h11', 'util0', 'active0', 'rtt3', 'loss3')",3,-0.171,0.15,-0.227,0.0,0.033,1,31
"('h11', 'h2', 'util0', 'active0', 'rtt3', 'loss3')",3,-0.171,0.15,-0.227,0.0,0.033,1,32
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",2,-0.132,0.154,-0.188,0.0,0.034,1,33
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",2,-0.132,0.154,-0.188,0.0,0.034,1,34
"('h3', 'h10', 'util3', 'active0', 'rtt2', 'loss0')",3,-0.107,0.184,-0.175,0.0,0.041,1,35
"('h10', 'h3', 'util3', 'active0', 'rtt2', 'loss0')",3,-0.107,0.184,-0.175,0.0,0.041,1,36
"('h1', 'h12', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.166,0.184,-0.234,0.0,0.041,1,37
"('h12', 'h1', 'util3', 'active1', 'rtt2', 'loss0')",3,-0.166,0.184,-0.234,0.0,0.041,1,38
"('h2', 'h11', 'util1', 'active0', 'rtt2', 'loss0')",2,-0.292,-0.163,-0.232,0.0,-0.036,1,39
"('h11', 'h2', 'util1', 'active0', 'rtt2', 'loss0')",2,-0.292,-0.163,-0.232,0.0,-0.036,1,40
"('h3', 'h10', 'util1', 'active0', 'rtt2', 'loss2')",3,-0.062,0.281,-0.166,0.0,0.062,1,41
"('h10', 'h3', 'util1', 'active0', 'rtt2', 'loss2')",3,-0.062,0.281,-0.166,0.0,0.062,1,42
"('h2', 'h11', 'util3', 'active1', 'rtt2', 'loss2')",3,-0.225,0.018,-0.231,0.0,0.004,1,43
"('h11', 'h2', 'util3', 'active1', 'rtt2', 'loss2')",3,-0.225,0.018,-0.231,0.0,0.004,1,44
"('h4', 'h9', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.249,-0.151,-0.193,0.041,-0.002,3,45
"('h9', 'h4', 'util0', 'active0', 'rtt2', 'loss0')",3,-0.249,-0.151,-0.193,0.041,-0.002,3,46
"('h1', 'h12', 'util0', 'active0', 'rtt3', 'loss2')",3,-0.07,0.41,-0.22,0.0,0.09,1,47
"('h12', 'h1', 'util0', 'active0', 'rtt3', 'loss2')",3,-0.07,0.41,-0.22,0.0,0.09,1,48
"('h4', 'h9', 'util0', 'active0', 'rtt3', 'loss2')",3,-0.218,-0.062,-0.195,0.0,-0.014,1,49
