state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.222,0.0,-0.222,0.0,0.0,1,1
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.222,0.0,-0.222,0.0,0.0,1,2
"('h3', 'h10', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,3
"('h10', 'h3', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,4
"('h1', 'h12', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.207,0.0,-0.207,0.0,0.0,1,5
"('h12', 'h1', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.207,0.0,-0.207,0.0,0.0,1,6
"('h2', 'h11', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,7
"('h11', 'h2', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.206,0.0,-0.206,0.0,0.0,1,8
"('h1', 'h12', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.207,0.0,-0.207,0.0,0.0,1,9
"('h12', 'h1', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.207,0.0,-0.207,0.0,0.0,1,10
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.207,0.039,-0.221,0.0,0.009,2,11
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.207,0.039,-0.221,0.0,0.009,2,12
"('h3', 'h10', 'util0', 'active0', 'rtt6', 'loss0')",2,-0.239,-0.082,-0.209,0.0,-0.018,2,13
"('h10', 'h3', 'util0', 'active0', 'rtt6', 'loss0')",2,-0.239,-0.082,-0.209,0.0,-0.018,2,14
"('h2', 'h11', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.206,-0.001,-0.206,0.0,-0.0,1,15
"('h11', 'h2', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.206,-0.001,-0.206,0.0,-0.0,1,16
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.209,0.03,-0.22,0.0,0.006,2,17
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.209,0.03,-0.22,0.0,0.006,2,18
"('h3', 'h10', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.206,0.007,-0.209,0.0,0.002,1,19
"('h10', 'h3', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.206,0.007,-0.209,0.0,0.002,1,20
"('h2', 'h11', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.212,-0.014,-0.207,0.0,-0.003,1,21
"('h11', 'h2', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.212,-0.014,-0.207,0.0,-0.003,1,22
"('h1', 'h12', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.203,0.008,-0.206,0.0,0.002,1,23
"('h12', 'h1', 'util0', 'active1', 'rtt6', 'loss0')",3,-0.203,0.008,-0.206,0.0,0.002,1,24
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.206,0.034,-0.219,0.0,0.008,2,25
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.206,0.034,-0.219,0.0,0.008,2,26
"('h3', 'h10', 'util3', 'active1', 'rtt6', 'loss0')",3,-0.208,0.003,-0.209,0.0,0.001,1,27
"('h10', 'h3', 'util3', 'active1', 'rtt6', 'loss0')",3,-0.208,0.003,-0.209,0.0,0.001,1,28
"('h2', 'h11', 'util1', 'active0', 'rtt6', 'loss0')",2,-0.213,-0.015,-0.207,0.0,-0.003,1,29
"('h11', 'h2', 'util1', 'active0', 'rtt6', 'loss0')",2,-0.213,-0.015,-0.207,0.0,-0.003,1,30
"('h1', 'h12', 'util3', 'active1', 'rtt6', 'loss0')",3,-0.207,-0.001,-0.206,0.0,-0.0,1,31
"('h12', 'h1', 'util3', 'active1', 'rtt6', 'loss0')",3,-0.207,-0.001,-0.206,0.0,-0.0,1,32
"('h2', 'h11', 'util3', 'active0', 'rtt6', 'loss0')",3,-0.209,-0.005,-0.207,0.0,-0.001,1,33
