episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h11-g1,h2,h11,2026-05-26 13:10:02.202339+00:00,95.5,252.25449999999998,0.008,0.0,0.125,1,0.125,h2,h11,0.125,-0.16227714999999998
1,e1-h1-h12-g0,h1,h12,2026-05-26 13:11:05.322463+00:00,95.5,254.066,0.008,0.0,-0.2,2,-0.037500000000000006,h1,h12,-0.2,-0.1635452
1,e1-h4-h9-g2,h4,h9,2026-05-26 13:12:08.438617+00:00,95.5,248.774,0.01,0.0,-0.2,3,-0.09166666666666667,h4,h9,-0.2,-0.15984679999999998
2,e2-h1-h12-g0,h1,h12,2026-05-26 13:15:14.134445+00:00,95.6,252.3545,0.009,0.0,-0.2,4,-0.11875000000000001,h1,h12,-0.2,-0.16233514999999998
2,e2-h2-h11-g1,h2,h11,2026-05-26 13:17:18.858762+00:00,95.6,251.204,0.009,0.0,0.126,5,-0.0698,h2,h11,0.126,-0.16152979999999997
2,e2-h4-h9-g2,h4,h9,2026-05-26 13:18:21.849543+00:00,95.6,251.1825,0.009,0.0,-0.2,6,-0.09150000000000001,h4,h9,-0.2,-0.16151475
3,e3-h1-h12-g0,h1,h12,2026-05-26 13:21:27.558274+00:00,95.6,252.47899999999998,0.009,0.0,0.125,7,-0.060571428571428575,h1,h12,0.125,-0.1624223
3,e3-h4-h9-g2,h4,h9,2026-05-26 13:22:30.615412+00:00,95.6,254.16000000000003,0.011,0.0,-0.2,8,-0.07800000000000001,h4,h9,-0.2,-0.16360500000000003
3,e3-h2-h11-g1,h2,h11,2026-05-26 13:24:35.545525+00:00,95.5,248.4125,0.013,0.0,-0.2,9,-0.09155555555555556,h2,h11,-0.2,-0.15960275
4,e4-h4-h9-g2,h4,h9,2026-05-26 13:28:44.984473+00:00,95.5,252.427,0.007,0.0,-0.2,10,-0.1024,h4,h9,-0.2,-0.16239489999999998
4,e4-h2-h11-g1,h2,h11,2026-05-26 13:29:46.824200+00:00,95.5,252.258,0.016,0.0,0.126,11,-0.08163636363636365,h2,h11,0.126,-0.16230359999999996
4,e4-h1-h12-g0,h1,h12,2026-05-26 13:30:48.661937+00:00,95.5,251.16400000000002,0.009,0.0,0.128,12,-0.06416666666666666,h1,h12,0.128,-0.1615168
