selection,src,dst,pair,path
1,h2,h11,h2->h11,s5 -> s1 -> s8
2,h4,h9,h4->h9,s6 -> s2 -> s7
3,h1,h12,h1->h12,s5 -> s3 -> s8
4,h1,h12,h1->h12,s5 -> s2 -> s8
5,h4,h9,h4->h9,s6 -> s1 -> s7
6,h2,h11,h2->h11,s5 -> s4 -> s8
7,h1,h12,h1->h12,s5 -> s1 -> s8
8,h4,h9,h4->h9,s6 -> s3 -> s7
9,h2,h11,h2->h11,s5 -> s3 -> s8
10,h4,h9,h4->h9,s6 -> s4 -> s7
11,h2,h11,h2->h11,s5 -> s2 -> s8
12,h1,h12,h1->h12,s5 -> s4 -> s8
13,h1,h12,h1->h12,s5 -> s8
14,h4,h9,h4->h9,s6 -> s7
15,h2,h11,h2->h11,s5 -> s8
16,h2,h11,h2->h11,s5 -> s1 -> s8
17,h4,h9,h4->h9,s6 -> s2 -> s7
18,h1,h12,h1->h12,s5 -> s3 -> s8
19,h1,h12,h1->h12,s5 -> s2 -> s8
20,h4,h9,h4->h9,s6 -> s1 -> s7
21,h2,h11,h2->h11,s5 -> s4 -> s8
22,h4,h9,h4->h9,s6 -> s3 -> s7
23,h1,h12,h1->h12,s5 -> s1 -> s8
24,h2,h11,h2->h11,s5 -> s3 -> s8
25,h4,h9,h4->h9,s6 -> s4 -> s7
26,h2,h11,h2->h11,s5 -> s2 -> s8
27,h1,h12,h1->h12,s5 -> s4 -> s8
28,h2,h11,h2->h11,s5 -> s8
29,h4,h9,h4->h9,s6 -> s7
30,h1,h12,h1->h12,s5 -> s8
31,h1,h12,h1->h12,s5 -> s1 -> s8
32,h2,h11,h2->h11,s5 -> s3 -> s8
33,h4,h9,h4->h9,s6 -> s7
34,h1,h12,h1->h12,s5 -> s8
35,h4,h9,h4->h9,s6 -> s4 -> s7
36,h2,h11,h2->h11,s5 -> s8
37,h1,h12,h1->h12,s5 -> s8
38,h4,h9,h4->h9,s6 -> s2 -> s7
39,h2,h11,h2->h11,s5 -> s1 -> s8
