state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h9', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.036,0.0,-0.036,0.0,0.0,2,1
"('h9', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.036,0.0,-0.036,0.0,0.0,2,2
"('h1', 'h12', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.038,0.0,-0.038,0.0,0.0,1,3
"('h12', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.038,0.0,-0.038,0.0,0.0,1,4
"('h2', 'h11', 'util0', 'active0', 'rtt6', 'loss0')",3,0.126,0.0,0.126,0.0,0.0,1,5
"('h11', 'h2', 'util0', 'active0', 'rtt6', 'loss0')",3,0.126,0.0,0.126,0.0,0.0,1,6
"('h1', 'h12', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.405,-0.051,0.0,-0.089,1,7
"('h12', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.405,-0.051,0.0,-0.089,1,8
"('h4', 'h9', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.41,-0.049,0.0,-0.09,1,9
"('h9', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.41,-0.049,0.0,-0.09,1,10
"('h2', 'h11', 'util0', 'active0', 'rtt0', 'loss0')",3,0.125,-0.003,0.126,0.0,-0.001,2,11
"('h11', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,0.125,-0.003,0.126,0.0,-0.001,2,12
"('h1', 'h12', 'util0', 'active0', 'rtt6', 'loss0')",3,0.125,0.441,-0.037,0.0,0.097,2,13
"('h12', 'h1', 'util0', 'active0', 'rtt6', 'loss0')",3,0.125,0.441,-0.037,0.0,0.097,2,14
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.2,-0.377,-0.061,0.0,-0.083,2,15
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.2,-0.377,-0.061,0.0,-0.083,2,16
"('h2', 'h11', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.816,0.1,0.0,-0.18,2,17
"('h11', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.2,-0.816,0.1,0.0,-0.18,2,18
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.2,-0.347,-0.072,0.0,-0.076,2,19
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.2,-0.347,-0.072,0.0,-0.076,2,20
"('h1', 'h12', 'util0', 'active1', 'rtt0', 'loss0')",3,0.127,0.409,-0.024,0.0,0.09,2,21
"('h12', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",3,0.127,0.409,-0.024,0.0,0.09,2,22
"('h2', 'h11', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.037,-0.344,0.089,0.0,-0.076,2,23
"('h11', 'h2', 'util0', 'active0', 'rtt6', 'loss0')",3,-0.037,-0.344,0.089,0.0,-0.076,2,24
"('h4', 'h9', 'util0', 'active0', 'rtt6', 'loss0')",2,-0.037,0.089,-0.07,0.0,0.02,2,25
"('h9', 'h4', 'util0', 'active0', 'rtt6', 'loss0')",2,-0.037,0.089,-0.07,0.0,0.02,2,26
"('h1', 'h12', 'util0', 'active0', 'rtt0', 'loss0')",2,0.125,0.373,-0.012,0.0,0.082,2,27
"('h12', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",2,0.125,0.373,-0.012,0.0,0.082,2,28
"('h2', 'h11', 'util1', 'active0', 'rtt6', 'loss0')",2,-0.2,-0.723,0.066,0.0,-0.159,1,29
"('h11', 'h2', 'util1', 'active0', 'rtt6', 'loss0')",2,-0.2,-0.723,0.066,0.0,-0.159,1,30
