episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h1-h12-g0,h1,h12,2026-05-26 14:35:38.781383+00:00,30.2,20.749000000000002,0.149,0.025,0.072,1,0.072,h1,h12,0.072,-0.011316300000000001
1,e1-h4-h9-g2,h4,h9,2026-05-26 14:35:39.353072+00:00,70.3,238.77100000000002,0.409,0.013,-0.209,2,-0.0685,h4,h9,-0.209,-0.15827670000000002
1,e1-h2-h11-g1,h2,h11,2026-05-26 14:35:39.354672+00:00,33.5,20.785,0.172,0.028,0.085,3,-0.017333333333333326,h2,h11,0.085,-0.0110205
2,e2-h2-h11-g1,h2,h11,2026-05-26 14:36:40.795658+00:00,34.1,18.567,0.149,0.029,0.09,4,0.009500000000000005,h2,h11,0.09,-0.009343899999999999
2,e2-h4-h9-g2,h4,h9,2026-05-26 14:36:42.582706+00:00,70.4,234.60750000000002,0.402,0.024,-0.212,5,-0.0348,h4,h9,-0.212,-0.15571125000000005
2,e2-h1-h12-g0,h1,h12,2026-05-26 14:36:42.583600+00:00,29.6,18.4195,0.131,0.061,0.067,6,-0.017833333333333326,h1,h12,0.067,-0.010981649999999996
3,e3-h4-h9-g2,h4,h9,2026-05-26 14:37:44.800590+00:00,70.4,234.776,0.401,0.013,-0.209,7,-0.04514285714285714,h4,h9,-0.209,-0.15544120000000003
3,e3-h2-h11-g1,h2,h11,2026-05-26 14:37:44.802501+00:00,39.7,18.823,0.162,0.036,0.109,8,-0.025874999999999995,h2,h11,0.109,-0.008967099999999999
3,e3-h1-h12-g0,h1,h12,2026-05-26 14:37:44.803407+00:00,24.0,18.906,0.144,0.031,0.053,9,-0.017111111111111105,h1,h12,0.053,-0.011151199999999998
4,e4-h2-h11-g1,h2,h11,2026-05-26 14:38:46.352104+00:00,36.3,19.265500000000003,0.16,0.019,0.1,10,-0.005399999999999993,h2,h11,0.1,-0.009185850000000002
4,e4-h1-h12-g0,h1,h12,2026-05-26 14:38:46.352741+00:00,27.4,18.2215,0.127,0.034,0.065,11,0.0010000000000000059,h1,h12,0.065,-0.010216049999999999
4,e4-h4-h9-g2,h4,h9,2026-05-26 14:38:46.892039+00:00,70.3,232.853,0.403,0.012,-0.209,12,-0.016499999999999994,h4,h9,-0.209,-0.1540811
