selection,src,dst,pair,path
1,h2,h11,h2->h11,s5 -> s1 -> s8
2,h1,h12,h1->h12,s5 -> s1 -> s8
3,h4,h9,h4->h9,s6 -> s2 -> s7
4,h4,h9,h4->h9,s6 -> s1 -> s7
5,h1,h12,h1->h12,s5 -> s2 -> s8
6,h2,h11,h2->h11,s5 -> s2 -> s8
7,h1,h12,h1->h12,s5 -> s3 -> s8
8,h4,h9,h4->h9,s6 -> s4 -> s7
9,h2,h11,h2->h11,s5 -> s3 -> s8
10,h2,h11,h2->h11,s5 -> s4 -> s8
11,h4,h9,h4->h9,s6 -> s3 -> s7
12,h1,h12,h1->h12,s5 -> s4 -> s8
13,h1,h12,h1->h12,s5 -> s8
14,h2,h11,h2->h11,s5 -> s8
15,h4,h9,h4->h9,s6 -> s7
16,h2,h11,h2->h11,s5 -> s1 -> s8
17,h4,h9,h4->h9,s6 -> s2 -> s7
18,h1,h12,h1->h12,s5 -> s1 -> s8
19,h4,h9,h4->h9,s6 -> s1 -> s7
20,h1,h12,h1->h12,s5 -> s2 -> s8
21,h2,h11,h2->h11,s5 -> s2 -> s8
22,h1,h12,h1->h12,s5 -> s3 -> s8
23,h4,h9,h4->h9,s6 -> s4 -> s7
24,h2,h11,h2->h11,s5 -> s3 -> s8
25,h1,h12,h1->h12,s5 -> s4 -> s8
26,h2,h11,h2->h11,s5 -> s4 -> s8
27,h4,h9,h4->h9,s6 -> s3 -> s7
28,h2,h11,h2->h11,s5 -> s8
29,h1,h12,h1->h12,s5 -> s8
30,h4,h9,h4->h9,s6 -> s7
31,h2,h11,h2->h11,s5 -> s3 -> s8
32,h4,h9,h4->h9,s6 -> s4 -> s7
33,h1,h12,h1->h12,s5 -> s2 -> s8
34,h1,h12,h1->h12,s5 -> s1 -> s8
35,h4,h9,h4->h9,s6 -> s2 -> s7
36,h2,h11,h2->h11,s5 -> s4 -> s8
37,h2,h11,h2->h11,s5 -> s3 -> s8
38,h4,h9,h4->h9,s6 -> s7
39,h1,h12,h1->h12,s5 -> s3 -> s8
40,h1,h12,h1->h12,s5 -> s1 -> s8
41,h2,h11,h2->h11,s5 -> s2 -> s8
42,h4,h9,h4->h9,s6 -> s4 -> s7
43,h2,h11,h2->h11,s5 -> s4 -> s8
44,h1,h12,h1->h12,s5 -> s8
45,h4,h9,h4->h9,s6 -> s2 -> s7
46,h1,h12,h1->h12,s5 -> s2 -> s8
47,h4,h9,h4->h9,s6 -> s3 -> s7
48,h2,h11,h2->h11,s5 -> s1 -> s8
49,h2,h11,h2->h11,s5 -> s3 -> s8
50,h4,h9,h4->h9,s6 -> s2 -> s7
51,h1,h12,h1->h12,s5 -> s4 -> s8
52,h2,h11,h2->h11,s5 -> s1 -> s8
53,h1,h12,h1->h12,s5 -> s2 -> s8
54,h4,h9,h4->h9,s6 -> s3 -> s7
55,h1,h12,h1->h12,s5 -> s3 -> s8
56,h4,h9,h4->h9,s6 -> s2 -> s7
57,h2,h11,h2->h11,s5 -> s8
58,h1,h12,h1->h12,s5 -> s1 -> s8
59,h4,h9,h4->h9,s6 -> s3 -> s7
60,h2,h11,h2->h11,s5 -> s4 -> s8
61,h1,h12,h1->h12,s5 -> s2 -> s8
62,h4,h9,h4->h9,s6 -> s7
63,h2,h11,h2->h11,s5 -> s8
64,h4,h9,h4->h9,s6 -> s1 -> s7
65,h2,h11,h2->h11,s5 -> s4 -> s8
66,h1,h12,h1->h12,s5 -> s3 -> s8
67,h4,h9,h4->h9,s6 -> s7
68,h1,h12,h1->h12,s5 -> s1 -> s8
69,h2,h11,h2->h11,s5 -> s2 -> s8
70,h1,h12,h1->h12,s5 -> s4 -> s8
71,h4,h9,h4->h9,s6 -> s2 -> s7
72,h2,h11,h2->h11,s5 -> s3 -> s8
73,h2,h11,h2->h11,s5 -> s1 -> s8
74,h1,h12,h1->h12,s5 -> s8
75,h4,h9,h4->h9,s6 -> s4 -> s7
76,h4,h9,h4->h9,s6 -> s7
77,h1,h12,h1->h12,s5 -> s3 -> s8
78,h2,h11,h2->h11,s5 -> s2 -> s8
79,h4,h9,h4->h9,s6 -> s1 -> s7
80,h2,h11,h2->h11,s5 -> s4 -> s8
81,h1,h12,h1->h12,s5 -> s8
82,h2,h11,h2->h11,s5 -> s1 -> s8
83,h1,h12,h1->h12,s5 -> s3 -> s8
84,h4,h9,h4->h9,s6 -> s7
85,h1,h12,h1->h12,s5 -> s3 -> s8
86,h2,h11,h2->h11,s5 -> s8
87,h4,h9,h4->h9,s6 -> s1 -> s7
88,h2,h11,h2->h11,s5 -> s8
89,h4,h9,h4->h9,s6 -> s3 -> s7
90,h1,h12,h1->h12,s5 -> s1 -> s8
91,h2,h11,h2->h11,s5 -> s3 -> s8
92,h1,h12,h1->h12,s5 -> s4 -> s8
93,h4,h9,h4->h9,s6 -> s2 -> s7
94,h1,h12,h1->h12,s5 -> s1 -> s8
95,h4,h9,h4->h9,s6 -> s7
96,h2,h11,h2->h11,s5 -> s2 -> s8
97,h2,h11,h2->h11,s5 -> s3 -> s8
98,h1,h12,h1->h12,s5 -> s4 -> s8
99,h4,h9,h4->h9,s6 -> s1 -> s7
100,h4,h9,h4->h9,s6 -> s3 -> s7
101,h1,h12,h1->h12,s5 -> s8
102,h2,h11,h2->h11,s5 -> s2 -> s8
103,h2,h11,h2->h11,s5 -> s3 -> s8
104,h4,h9,h4->h9,s6 -> s4 -> s7
105,h1,h12,h1->h12,s5 -> s1 -> s8
106,h4,h9,h4->h9,s6 -> s1 -> s7
107,h1,h12,h1->h12,s5 -> s4 -> s8
108,h2,h11,h2->h11,s5 -> s8
109,h4,h9,h4->h9,s6 -> s2 -> s7
110,h2,h11,h2->h11,s5 -> s1 -> s8
111,h1,h12,h1->h12,s5 -> s3 -> s8
112,h2,h11,h2->h11,s5 -> s2 -> s8
113,h1,h12,h1->h12,s5 -> s8
114,h4,h9,h4->h9,s6 -> s4 -> s7
115,h4,h9,h4->h9,s6 -> s3 -> s7
116,h1,h12,h1->h12,s5 -> s1 -> s8
117,h2,h11,h2->h11,s5 -> s4 -> s8
118,h2,h11,h2->h11,s5 -> s3 -> s8
119,h1,h12,h1->h12,s5 -> s2 -> s8
120,h4,h9,h4->h9,s6 -> s7
121,h1,h12,h1->h12,s5 -> s4 -> s8
122,h2,h11,h2->h11,s5 -> s8
123,h4,h9,h4->h9,s6 -> s3 -> s7
124,h4,h9,h4->h9,s6 -> s1 -> s7
125,h1,h12,h1->h12,s5 -> s3 -> s8
126,h2,h11,h2->h11,s5 -> s2 -> s8
127,h4,h9,h4->h9,s6 -> s4 -> s7
128,h1,h12,h1->h12,s5 -> s8
129,h2,h11,h2->h11,s5 -> s1 -> s8
130,h4,h9,h4->h9,s6 -> s7
131,h2,h11,h2->h11,s5 -> s4 -> s8
132,h1,h12,h1->h12,s5 -> s3 -> s8
133,h2,h11,h2->h11,s5 -> s1 -> s8
134,h4,h9,h4->h9,s6 -> s2 -> s7
135,h1,h12,h1->h12,s5 -> s8
136,h4,h9,h4->h9,s6 -> s4 -> s7
137,h1,h12,h1->h12,s5 -> s3 -> s8
138,h2,h11,h2->h11,s5 -> s2 -> s8
139,h1,h12,h1->h12,s5 -> s4 -> s8
140,h2,h11,h2->h11,s5 -> s1 -> s8
141,h4,h9,h4->h9,s6 -> s3 -> s7
142,h2,h11,h2->h11,s5 -> s3 -> s8
143,h1,h12,h1->h12,s5 -> s8
144,h4,h9,h4->h9,s6 -> s1 -> s7
145,h1,h12,h1->h12,s5 -> s1 -> s8
146,h4,h9,h4->h9,s6 -> s2 -> s7
147,h2,h11,h2->h11,s5 -> s4 -> s8
148,h1,h12,h1->h12,s5 -> s4 -> s8
149,h2,h11,h2->h11,s5 -> s3 -> s8
150,h4,h9,h4->h9,s6 -> s7
151,h4,h9,h4->h9,s6 -> s2 -> s7
152,h2,h11,h2->h11,s5 -> s8
153,h1,h12,h1->h12,s5 -> s1 -> s8
154,h4,h9,h4->h9,s6 -> s1 -> s7
155,h2,h11,h2->h11,s5 -> s2 -> s8
156,h1,h12,h1->h12,s5 -> s4 -> s8
157,h2,h11,h2->h11,s5 -> s1 -> s8
158,h1,h12,h1->h12,s5 -> s3 -> s8
159,h4,h9,h4->h9,s6 -> s7
160,h2,h11,h2->h11,s5 -> s2 -> s8
161,h1,h12,h1->h12,s5 -> s8
162,h4,h9,h4->h9,s6 -> s3 -> s7
163,h4,h9,h4->h9,s6 -> s4 -> s7
164,h1,h12,h1->h12,s5 -> s1 -> s8
165,h2,h11,h2->h11,s5 -> s8
166,h1,h12,h1->h12,s5 -> s2 -> s8
167,h4,h9,h4->h9,s6 -> s3 -> s7
168,h2,h11,h2->h11,s5 -> s3 -> s8
169,h2,h11,h2->h11,s5 -> s1 -> s8
170,h4,h9,h4->h9,s6 -> s4 -> s7
171,h1,h12,h1->h12,s5 -> s8
172,h1,h12,h1->h12,s5 -> s2 -> s8
173,h2,h11,h2->h11,s5 -> s3 -> s8
174,h4,h9,h4->h9,s6 -> s1 -> s7
175,h1,h12,h1->h12,s5 -> s1 -> s8
176,h4,h9,h4->h9,s6 -> s3 -> s7
177,h2,h11,h2->h11,s5 -> s8
178,h4,h9,h4->h9,s6 -> s2 -> s7
179,h1,h12,h1->h12,s5 -> s4 -> s8
180,h2,h11,h2->h11,s5 -> s3 -> s8
181,h1,h12,h1->h12,s5 -> s1 -> s8
182,h4,h9,h4->h9,s6 -> s7
183,h2,h11,h2->h11,s5 -> s2 -> s8
184,h2,h11,h2->h11,s5 -> s8
185,h1,h12,h1->h12,s5 -> s3 -> s8
186,h4,h9,h4->h9,s6 -> s4 -> s7
187,h2,h11,h2->h11,s5 -> s1 -> s8
188,h1,h12,h1->h12,s5 -> s4 -> s8
189,h4,h9,h4->h9,s6 -> s3 -> s7
190,h1,h12,h1->h12,s5 -> s8
191,h4,h9,h4->h9,s6 -> s1 -> s7
192,h2,h11,h2->h11,s5 -> s2 -> s8
193,h2,h11,h2->h11,s5 -> s3 -> s8
194,h1,h12,h1->h12,s5 -> s4 -> s8
195,h4,h9,h4->h9,s6 -> s2 -> s7
196,h2,h11,h2->h11,s5 -> s8
197,h4,h9,h4->h9,s6 -> s4 -> s7
198,h1,h12,h1->h12,s5 -> s2 -> s8
199,h2,h11,h2->h11,s5 -> s1 -> s8
200,h1,h12,h1->h12,s5 -> s3 -> s8
201,h4,h9,h4->h9,s6 -> s7
202,h4,h9,h4->h9,s6 -> s1 -> s7
203,h2,h11,h2->h11,s5 -> s8
204,h1,h12,h1->h12,s5 -> s2 -> s8
205,h4,h9,h4->h9,s6 -> s4 -> s7
206,h2,h11,h2->h11,s5 -> s1 -> s8
207,h1,h12,h1->h12,s5 -> s3 -> s8
208,h2,h11,h2->h11,s5 -> s4 -> s8
209,h4,h9,h4->h9,s6 -> s7
210,h1,h12,h1->h12,s5 -> s8
211,h4,h9,h4->h9,s6 -> s1 -> s7
212,h2,h11,h2->h11,s5 -> s2 -> s8
213,h1,h12,h1->h12,s5 -> s3 -> s8
214,h4,h9,h4->h9,s6 -> s2 -> s7
215,h2,h11,h2->h11,s5 -> s1 -> s8
