state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h11', 'util1', 'active0', 'rtt2', 'loss0')",3,0.092,0.0,0.092,0.0,0.0,1,1
"('h11', 'h2', 'util1', 'active0', 'rtt2', 'loss0')",3,0.092,0.0,0.092,0.0,0.0,1,2
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.209,0.0,-0.209,0.0,0.0,1,3
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.209,0.0,-0.209,0.0,0.0,1,4
"('h1', 'h12', 'util1', 'active1', 'rtt2', 'loss0')",3,0.065,0.0,0.065,0.0,0.0,1,5
"('h12', 'h1', 'util1', 'active1', 'rtt2', 'loss0')",3,0.065,0.0,0.065,0.0,0.0,1,6
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,0.065,-0.0,0.065,0.0,-0.0,2,7
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,0.065,-0.0,0.065,0.0,-0.0,2,8
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.21,-0.002,-0.209,0.0,-0.0,1,9
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.21,-0.002,-0.209,0.0,-0.0,1,10
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",3,0.089,-0.007,0.092,0.0,-0.002,2,11
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,0.089,-0.007,0.092,0.0,-0.002,2,12
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,0.075,0.025,0.066,0.0,0.005,1,13
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,0.075,0.025,0.066,0.0,0.005,1,14
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",3,0.079,-0.033,0.091,0.0,-0.007,1,15
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,0.079,-0.033,0.091,0.0,-0.007,1,16
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.002,-0.209,0.0,0.0,2,17
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.002,-0.209,0.0,0.0,2,18
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,0.054,-0.032,0.065,0.0,-0.007,1,19
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,0.054,-0.032,0.065,0.0,-0.007,1,20
"('h4', 'h9', 'util2', 'active1', 'rtt4', 'loss0')",3,-0.21,-0.002,-0.209,0.0,-0.0,1,21
"('h9', 'h4', 'util2', 'active1', 'rtt4', 'loss0')",3,-0.21,-0.002,-0.209,0.0,-0.0,1,22
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",3,0.088,-0.006,0.091,0.0,-0.001,2,23
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,0.088,-0.006,0.091,0.0,-0.001,2,24
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",2,-0.109,-0.435,0.051,0.0,-0.096,2,25
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",2,-0.109,-0.435,0.051,0.0,-0.096,2,26
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",2,-0.096,-0.466,0.076,0.0,-0.103,2,27
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",2,-0.096,-0.466,0.076,0.0,-0.103,2,28
"('h4', 'h9', 'util2', 'active0', 'rtt5', 'loss0')",2,-0.207,0.004,-0.209,0.0,0.001,1,29
"('h9', 'h4', 'util2', 'active0', 'rtt5', 'loss0')",2,-0.207,0.004,-0.209,0.0,0.001,1,30
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.056,-0.33,0.065,0.0,-0.073,1,31
"('h11', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.056,-0.33,0.065,0.0,-0.073,1,32
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.207,-0.646,0.031,0.0,-0.142,1,33
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.207,-0.646,0.031,0.0,-0.142,1,34
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,0.003,-0.209,0.0,0.001,1,35
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,0.003,-0.209,0.0,0.001,1,36
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.687,0.043,0.0,-0.151,1,37
"('h11', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.687,0.043,0.0,-0.151,1,38
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.209,0.0,0.0,1,39
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.209,0.0,0.0,1,40
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.596,0.012,0.0,-0.131,1,41
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.596,0.012,0.0,-0.131,1,42
"('h4', 'h9', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.001,-0.209,0.0,-0.0,1,43
"('h9', 'h4', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.001,-0.209,0.0,-0.0,1,44
"('h2', 'h11', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.204,-0.617,0.024,0.0,-0.136,1,45
"('h11', 'h2', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.204,-0.617,0.024,0.0,-0.136,1,46
"('h1', 'h12', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.087,-0.246,0.004,0.0,-0.054,1,47
"('h12', 'h1', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.087,-0.246,0.004,0.0,-0.054,1,48
"('h4', 'h9', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.209,0.0,0.0,1,49
"('h9', 'h4', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.209,0.0,0.0,1,50
"('h1', 'h12', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.204,-0.52,-0.013,0.0,-0.114,1,51
"('h12', 'h1', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.204,-0.52,-0.013,0.0,-0.114,1,52
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,0.002,-0.208,0.0,0.001,2,53
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,0.002,-0.208,0.0,0.001,2,54
"('h2', 'h11', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.58,0.005,0.0,-0.127,1,55
"('h11', 'h2', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.58,0.005,0.0,-0.127,1,56
"('h2', 'h11', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.534,-0.012,0.0,-0.118,1,57
"('h11', 'h2', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.534,-0.012,0.0,-0.118,1,58
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.488,-0.028,0.0,-0.107,1,59
"('h11', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.488,-0.028,0.0,-0.107,1,60
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.491,-0.029,0.0,-0.108,2,61
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.491,-0.029,0.0,-0.108,2,62
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.45,-0.043,0.0,-0.099,1,63
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.45,-0.043,0.0,-0.099,1,64
"('h2', 'h11', 'util1', 'active1', 'rtt4', 'loss0')",3,-0.21,-0.455,-0.042,0.0,-0.1,1,65
"('h11', 'h2', 'util1', 'active1', 'rtt4', 'loss0')",3,-0.21,-0.455,-0.042,0.0,-0.1,1,66
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.411,-0.056,0.0,-0.09,2,67
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.411,-0.056,0.0,-0.09,2,68
"('h1', 'h12', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.382,-0.068,0.0,-0.084,1,69
"('h12', 'h1', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.382,-0.068,0.0,-0.084,1,70
"('h4', 'h9', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,0.0,-0.208,0.0,0.0,1,71
"('h9', 'h4', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,0.0,-0.208,0.0,0.0,1,72
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,0.004,-0.208,0.0,0.001,1,73
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,0.004,-0.208,0.0,0.001,1,74
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.414,-0.056,0.0,-0.091,2,75
"('h11', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.414,-0.056,0.0,-0.091,2,76
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.349,-0.08,0.0,-0.077,3,77
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.349,-0.08,0.0,-0.077,3,78
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.207,0.002,-0.208,0.0,0.001,3,79
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.207,0.002,-0.208,0.0,0.001,3,80
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.207,-0.379,-0.068,0.0,-0.083,2,81
"('h11', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.207,-0.379,-0.068,0.0,-0.083,2,82
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.208,0.0,0.0,4,83
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,0.001,-0.208,0.0,0.0,4,84
"('h4', 'h9', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.0,-0.208,0.0,0.0,2,85
"('h9', 'h4', 'util2', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.0,-0.208,0.0,0.0,2,86
"('h2', 'h11', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.351,-0.079,0.0,-0.077,2,87
"('h11', 'h2', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.351,-0.079,0.0,-0.077,2,88
"('h1', 'h12', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.322,-0.09,0.0,-0.071,1,89
"('h12', 'h1', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.322,-0.09,0.0,-0.071,1,90
"('h1', 'h12', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.297,-0.099,0.0,-0.065,1,91
"('h12', 'h1', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.297,-0.099,0.0,-0.065,1,92
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.21,-0.003,-0.208,0.001,-0.0,2,93
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.21,-0.003,-0.208,0.001,-0.0,2,94
"('h2', 'h11', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.322,-0.089,0.0,-0.071,1,95
"('h11', 'h2', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.322,-0.089,0.0,-0.071,1,96
"('h1', 'h12', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.271,-0.108,-0.09,-0.13,3,97
"('h12', 'h1', 'util1', 'active0', 'rtt4', 'loss0')",2,-0.208,-0.271,-0.108,-0.09,-0.13,3,98
"('h4', 'h9', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.001,-0.208,0.0,0.0,4,99
"('h9', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.209,-0.001,-0.208,0.0,0.0,4,100
"('h2', 'h11', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.294,-0.099,0.0,-0.065,1,101
"('h11', 'h2', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.294,-0.099,0.0,-0.065,1,102
"('h4', 'h9', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.208,0.0,-0.208,0.0,0.0,2,103
"('h9', 'h4', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.208,0.0,-0.208,0.0,0.0,2,104
"('h2', 'h11', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.207,-0.272,-0.107,0.0,-0.06,2,105
"('h11', 'h2', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.207,-0.272,-0.107,0.0,-0.06,2,106
"('h1', 'h12', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.248,-0.116,0.0,-0.055,2,107
"('h12', 'h1', 'util3', 'active0', 'rtt4', 'loss0')",3,-0.207,-0.248,-0.116,0.0,-0.055,2,108
"('h2', 'h11', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.208,-0.252,-0.115,-0.073,-0.112,4,109
