episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h1-h12-g0,h1,h12,2026-05-26 17:41:03.609910+00:00,33.9,24.4025,0.165,0.0097,0.015,1,0.015,h1,h12,0.015,-0.0216335
1,e1-h4-h9-g2,h4,h9,2026-05-26 17:41:04.160587+00:00,70.3,238.927,0.409,0.011,-0.651,2,-0.318,h4,h9,-0.651,-0.233045
1,e1-h2-h11-g1,h2,h11,2026-05-26 17:41:04.162620+00:00,29.8,23.052500000000002,0.176,0.039,0.002,3,-0.21133333333333335,h2,h11,0.002,-0.021594500000000006
2,e2-h4-h9-g2,h4,h9,2026-05-26 17:42:05.583899+00:00,70.3,237.232,0.395,0.0022,-0.644,4,-0.3195,h4,h9,-0.644,-0.231058
2,e2-h2-h11-g1,h2,h11,2026-05-26 17:42:05.587972+00:00,28.1,17.183500000000002,0.125,0.028,0.016,5,-0.2524,h2,h11,0.016,-0.015463500000000002
2,e2-h1-h12-g0,h1,h12,2026-05-26 17:42:05.588976+00:00,35.5,17.485500000000002,0.137,0.029,0.035,6,-0.20450000000000002,h1,h12,0.035,-0.015079500000000001
3,e3-h2-h11-g1,h2,h11,2026-05-26 17:43:06.459723+00:00,25.7,26.9795,0.119,0.034,-0.017,7,-0.1777142857142857,h2,h11,-0.017,-0.0256675
3,e3-h1-h12-g0,h1,h12,2026-05-26 17:43:06.462418+00:00,38.0,26.308500000000002,0.181,0.032,0.015,8,-0.153625,h1,h12,0.015,-0.0238305
3,e3-h4-h9-g2,h4,h9,2026-05-26 17:43:06.965910+00:00,70.2,248.85649999999998,0.466,0.009,-0.683,9,-0.21244444444444444,h4,h9,-0.683,-0.24303849999999996
4,e4-h2-h11-g1,h2,h11,2026-05-26 17:44:07.983005+00:00,21.6,15.183,0.14,0.032,0.004,10,-0.19080000000000003,h2,h11,0.004,-0.014263000000000001
4,e4-h1-h12-g0,h1,h12,2026-05-26 17:44:07.984014+00:00,42.2,15.26,0.164,0.034,0.051,11,-0.1688181818181818,h1,h12,0.051,-0.012387999999999998
4,e4-h4-h9-g2,h4,h9,2026-05-26 17:44:08.639983+00:00,70.4,231.7545,0.401,0.003,-0.628,12,-0.20708333333333337,h4,h9,-0.628,-0.22560650000000002
5,e5-h4-h9-g2,h4,h9,2026-05-26 17:45:10.097892+00:00,70.3,236.16899999999998,0.402,0.011,-0.644,13,-0.2406923076923077,h4,h9,-0.644,-0.23027299999999998
5,e5-h2-h11-g1,h2,h11,2026-05-26 17:45:10.099360+00:00,24.7,138.5225,0.119,0.047,-0.335,14,-0.24742857142857141,h2,h11,-0.335,-0.1377005
5,e5-h1-h12-g0,h1,h12,2026-05-26 17:45:10.100278+00:00,39.1,139.106,0.163,0.033,-0.292,15,-0.2504,h1,h12,-0.292,-0.136512
6,e6-h2-h11-g1,h2,h11,2026-05-26 17:46:10.922231+00:00,41.3,16.9765,0.184,0.05,0.041,16,-0.23218750000000002,h2,h11,0.041,-0.014714500000000002
6,e6-h4-h9-g2,h4,h9,2026-05-26 17:46:11.795862+00:00,70.4,232.375,0.4,0.006,-0.63,17,-0.2555882352941176,h4,h9,-0.63,-0.22631500000000002
6,e6-h1-h12-g0,h1,h12,2026-05-26 17:46:11.797315+00:00,22.4,16.6995,0.154,0.036,0.003,18,-0.24122222222222225,h1,h12,0.003,-0.015847499999999997
7,e7-h2-h11-g1,h2,h11,2026-05-26 17:47:12.733476+00:00,28.4,22.368499999999997,0.13,0.027,0.002,19,-0.22842105263157894,h2,h11,0.002,-0.0205985
7,e7-h4-h9-g2,h4,h9,2026-05-26 17:47:13.190478+00:00,70.2,244.96499999999997,0.446,0.009,-0.671,20,-0.25055,h4,h9,-0.671,-0.239107
7,e7-h1-h12-g0,h1,h12,2026-05-26 17:47:13.191543+00:00,35.3,22.08,0.12,0.034,0.022,21,-0.2502,h1,h12,0.022,-0.019809999999999998
8,e8-h4-h9-g2,h4,h9,2026-05-26 17:48:14.891937+00:00,70.4,238.51549999999997,0.407,0.0045,-0.649,22,-0.2501,h4,h9,-0.649,-0.23242449999999998
8,e8-h2-h11-g1,h2,h11,2026-05-26 17:48:14.893233+00:00,40.1,19.8425,0.202,0.048,0.035,23,-0.24844999999999998,h2,h11,0.035,-0.017676500000000005
8,e8-h1-h12-g0,h1,h12,2026-05-26 17:48:14.894312+00:00,23.5,19.177,0.134,0.05,-0.005,24,-0.2165,h1,h12,-0.005,-0.018595
9,e9-h2-h11-g1,h2,h11,2026-05-26 17:49:15.800177+00:00,35.0,19.851,0.151,0.036,0.024,25,-0.21610000000000001,h2,h11,0.024,-0.017733000000000002
9,e9-h4-h9-g2,h4,h9,2026-05-26 17:49:16.526981+00:00,70.4,236.37,0.396,0.0045,-0.641,26,-0.24989999999999996,h4,h9,-0.641,-0.230257
9,e9-h1-h12-g0,h1,h12,2026-05-26 17:49:16.528976+00:00,28.7,20.016,0.167,0.019,0.013,27,-0.2484,h1,h12,0.013,-0.01805
10,e10-h2-h11-g1,h2,h11,2026-05-26 17:50:17.889245+00:00,27.2,137.341,0.131,0.039,-0.327,28,-0.26549999999999996,h2,h11,-0.327,-0.13605300000000004
10,e10-h1-h12-g0,h1,h12,2026-05-26 17:50:17.890512+00:00,36.6,137.978,0.0,0.0,-0.29,29,-0.24584999999999999,h1,h12,-0.29,-0.13431800000000002
10,e10-h4-h9-g2,h4,h9,2026-05-26 17:50:17.891138+00:00,70.2,252.297,0.452,0.0082,-0.693,30,-0.2807,h4,h9,-0.693,-0.24642699999999998
11,e11-h1-h12-g0,h1,h12,2026-05-26 17:51:19.571366+00:00,70.4,241.8285,0.402,0.0097,-0.661,31,-0.31629999999999997,h1,h12,-0.661,-0.23588350000000002
11,e11-h4-h9-g2,h4,h9,2026-05-26 17:51:19.574706+00:00,70.3,238.99099999999999,0.411,0.013,-0.653,32,-0.31755,h4,h9,-0.653,-0.23317299999999996
11,e11-h2-h11-g1,h2,h11,2026-05-26 17:51:19.575569+00:00,70.3,243.983,0.439,0.0082,-0.667,33,-0.3187,h2,h11,-0.667,-0.23807699999999998
12,e12-h1-h12-g0,h1,h12,2026-05-26 17:52:20.936642+00:00,70.3,234.3315,0.397,0.0,-0.635,34,-0.3337,h1,h12,-0.635,-0.22809549999999998
12,e12-h4-h9-g2,h4,h9,2026-05-26 17:52:21.283709+00:00,70.4,232.78949999999998,0.4,0.009,-0.633,35,-0.35075,h4,h9,-0.633,-0.22681949999999998
12,e12-h2-h11-g1,h2,h11,2026-05-26 17:52:21.284759+00:00,70.3,238.089,0.41,0.01,-0.648,36,-0.38520000000000004,h2,h11,-0.648,-0.23217899999999997
13,e13-h2-h11-g1,h2,h11,2026-05-26 17:53:22.958957+00:00,70.4,237.405,0.4,0.0067,-0.646,37,-0.386,h2,h11,-0.646,-0.23136600000000002
13,e13-h1-h12-g0,h1,h12,2026-05-26 17:53:22.961645+00:00,70.4,238.7505,0.413,0.0045,-0.651,38,-0.41869999999999996,h1,h12,-0.651,-0.23267149999999998
13,e13-h4-h9-g2,h4,h9,2026-05-26 17:53:22.962589+00:00,70.4,242.8065,0.425,0.01,-0.662,39,-0.4519,h4,h9,-0.662,-0.2369165
14,e14-h1-h12-g0,h1,h12,2026-05-26 17:54:24.583720+00:00,70.4,235.4115,0.403,0.01,-0.64,40,-0.4503500000000001,h1,h12,-0.64,-0.2294775
14,e14-h4-h9-g2,h4,h9,2026-05-26 17:54:24.652611+00:00,70.4,235.037,0.402,0.0037,-0.638,41,-0.48335,h4,h9,-0.638,-0.228912
14,e14-h2-h11-g1,h2,h11,2026-05-26 17:54:24.653877+00:00,70.3,236.6485,0.422,0.0052,-0.644,42,-0.48310000000000003,h2,h11,-0.644,-0.2306185
15,e15-h4-h9-g2,h4,h9,2026-05-26 17:55:26.113731+00:00,70.3,237.9155,0.402,0.0037,-0.647,43,-0.5172000000000001,h4,h9,-0.647,-0.2318005
15,e15-h2-h11-g1,h2,h11,2026-05-26 17:55:26.115148+00:00,70.2,237.63549999999998,0.41,0.0052,-0.646,44,-0.54925,h2,h11,-0.646,-0.23159149999999995
15,e15-h1-h12-g0,h1,h12,2026-05-26 17:55:26.375156+00:00,70.4,238.7505,0.413,0.013,-0.651,45,-0.583,h1,h12,-0.651,-0.23292649999999998
16,e16-h1-h12-g0,h1,h12,2026-05-26 17:56:27.761158+00:00,70.3,242.197,0.465,0.0097,-0.662,46,-0.5840500000000001,h1,h12,-0.662,-0.236388
16,e16-h4-h9-g2,h4,h9,2026-05-26 17:56:27.825473+00:00,70.3,238.8235,0.398,0.0082,-0.65,47,-0.6172000000000001,h4,h9,-0.65,-0.23283549999999997
16,e16-h2-h11-g1,h2,h11,2026-05-26 17:56:28.020723+00:00,70.4,240.42849999999999,0.455,0.0075,-0.655,48,-0.6336,h2,h11,-0.655,-0.2345235
17,e17-h4-h9-g2,h4,h9,2026-05-26 17:57:29.700595+00:00,70.4,243.92000000000002,0.437,0.0075,-0.667,49,-0.65245,h4,h9,-0.667,-0.23797900000000005
17,e17-h1-h12-g0,h1,h12,2026-05-26 17:57:29.702130+00:00,70.4,237.5115,0.4,0.011,-0.646,50,-0.6501,h1,h12,-0.646,-0.23160150000000002
17,e17-h2-h11-g1,h2,h11,2026-05-26 17:57:29.703521+00:00,70.3,241.36149999999998,0.419,0.0067,-0.657,51,-0.6499,h2,h11,-0.657,-0.23537049999999998
18,e18-h4-h9-g2,h4,h9,2026-05-26 17:58:31.117112+00:00,70.3,240.622,0.399,0.015,-0.658,52,-0.65015,h4,h9,-0.658,-0.23484
18,e18-h2-h11-g1,h2,h11,2026-05-26 17:58:31.405973+00:00,70.4,241.143,0.432,0.009,-0.658,53,-0.6496999999999999,h2,h11,-0.658,-0.235237
18,e18-h1-h12-g0,h1,h12,2026-05-26 17:58:31.406959+00:00,70.4,240.699,0.436,0.0082,-0.657,54,-0.6508,h1,h12,-0.657,-0.23477700000000004
19,e19-h2-h11-g1,h2,h11,2026-05-26 17:59:32.819301+00:00,70.3,233.0795,0.396,0.009,-0.633,55,-0.6508,h2,h11,-0.633,-0.22711149999999997
19,e19-h1-h12-g0,h1,h12,2026-05-26 17:59:33.090454+00:00,70.4,234.9515,0.403,0.013,-0.641,56,-0.65045,h1,h12,-0.641,-0.22910750000000002
19,e19-h4-h9-g2,h4,h9,2026-05-26 17:59:33.091443+00:00,70.4,234.62599999999998,0.404,0.006,-0.635,57,-0.6499,h4,h9,-0.635,-0.228574
20,e20-h4-h9-g2,h4,h9,2026-05-26 18:00:34.696940+00:00,70.4,236.3,0.399,0.0052,-0.641,58,-0.6494000000000001,h4,h9,-0.641,-0.230214
20,e20-h2-h11-g1,h2,h11,2026-05-26 18:00:34.700320+00:00,70.2,243.27100000000002,0.443,0.0052,-0.665,59,-0.64955,h2,h11,-0.665,-0.237293
