state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h11', 'util1', 'active1', 'rtt2', 'loss0')",3,0.021,0.0,0.021,0.0,0.0,1,1
"('h11', 'h2', 'util1', 'active1', 'rtt2', 'loss0')",3,0.021,0.0,0.021,0.0,0.0,1,2
"('h4', 'h9', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.64,-0.64,-0.64,0.0,-0.141,1,3
"('h9', 'h4', 'util2', 'active0', 'rtt4', 'loss0')",3,-0.64,-0.64,-0.64,0.0,-0.141,1,4
"('h1', 'h12', 'util1', 'active0', 'rtt2', 'loss0')",3,0.009,0.0,0.009,0.0,0.0,1,5
"('h12', 'h1', 'util1', 'active0', 'rtt2', 'loss0')",3,0.009,0.0,0.009,0.0,0.0,1,6
"('h2', 'h11', 'util2', 'active0', 'rtt0', 'loss0')",3,0.009,-0.03,0.02,0.0,-0.007,1,7
"('h11', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,0.009,-0.03,0.02,0.0,-0.007,1,8
"('h4', 'h9', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.658,-0.658,-0.642,0.0,-0.145,1,9
"('h9', 'h4', 'util3', 'active1', 'rtt4', 'loss0')",3,-0.658,-0.658,-0.642,0.0,-0.145,1,10
"('h1', 'h12', 'util2', 'active0', 'rtt0', 'loss0')",3,0.028,0.05,0.01,0.0,0.011,2,11
"('h12', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,0.028,0.05,0.01,0.0,0.011,2,12
"('h4', 'h9', 'util2', 'active1', 'rtt4', 'loss0')",3,-0.666,-0.666,-0.644,0.0,-0.147,1,13
"('h9', 'h4', 'util2', 'active1', 'rtt4', 'loss0')",3,-0.666,-0.666,-0.644,0.0,-0.147,1,14
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",3,0.009,-0.029,0.019,0.0,-0.006,1,15
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,0.009,-0.029,0.019,0.0,-0.006,1,16
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,0.005,-0.013,0.01,0.0,-0.003,1,17
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,0.005,-0.013,0.01,0.0,-0.003,1,18
"('h2', 'h11', 'util2', 'active1', 'rtt0', 'loss0')",3,0.014,-0.013,0.019,0.0,-0.003,1,19
