episode,flow_id,src,dst,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean
1,e1-h1-h12-g0,h1,h12,2026-05-26 20:24:22.152118+00:00,33.1,16.9655,0.167,0.12,-0.017589499999999997,1,-0.017589499999999997
1,e1-h4-h9-g2,h4,h9,2026-05-26 20:24:22.364562+00:00,64.4,16.3145,0.337,0.078,-0.012888499999999999,2,-0.015238999999999999
1,e1-h2-h11-g1,h2,h11,2026-05-26 20:24:22.366906+00:00,19.3,15.9205,0.167,0.023,-0.015014499999999998,3,-0.015164166666666664
2,e2-h4-h9-g2,h4,h9,2026-05-26 20:25:24.584840+00:00,64.4,14.488,0.324,0.13,-0.012596,4,-0.014522124999999999
2,e2-h2-h11-g1,h2,h11,2026-05-26 20:25:24.586509+00:00,27.1,14.6755,0.111,0.12,-0.0157875,5,-0.014775199999999999
2,e2-h1-h12-g0,h1,h12,2026-05-26 20:25:24.587296+00:00,25.1,13.5275,0.11,0.0093,-0.011516499999999999,6,-0.014232083333333333
3,e3-h2-h11-g1,h2,h11,2026-05-26 20:26:26.789375+00:00,27.7,18.0135,0.171,0.031,-0.016515500000000002,7,-0.014558285714285715
3,e3-h4-h9-g2,h4,h9,2026-05-26 20:26:26.792690+00:00,64.4,17.0515,0.336,0.13,-0.0151835,8,-0.0146364375
3,e3-h1-h12-g0,h1,h12,2026-05-26 20:26:26.793654+00:00,24.8,16.820999999999998,0.182,0.13,-0.018605,9,-0.015077388888888888
4,e4-h4-h9-g2,h4,h9,2026-05-26 20:27:29.359994+00:00,64.5,281.2365,0.354,0.12,-0.27909449999999997,10,-0.0414791
4,e4-h1-h12-g0,h1,h12,2026-05-26 20:27:29.360907+00:00,26.2,190.8735,0.117,0.031,-0.1894175,11,-0.054928045454545445
4,e4-h2-h11-g1,h2,h11,2026-05-26 20:27:29.361762+00:00,25.9,191.101,0.104,0.022,-0.189379,12,-0.06613229166666666
5,e5-h1-h12-g0,h1,h12,2026-05-26 20:28:31.707040+00:00,64.4,16.209,0.337,0.11,-0.013743,13,-0.06210234615384615
5,e5-h2-h11-g1,h2,h11,2026-05-26 20:28:31.707591+00:00,64.4,15.2335,0.336,0.098,-0.0124055,14,-0.05855257142857142
5,e5-h4-h9-g2,h4,h9,2026-05-26 20:28:31.799899+00:00,64.4,15.0535,0.329,0.089,-0.0119415,15,-0.05544516666666666
6,e6-h1-h12-g0,h1,h12,2026-05-26 20:29:34.131478+00:00,64.4,277.717,0.322,0.11,-0.275221,16,-0.06918115625
6,e6-h4-h9-g2,h4,h9,2026-05-26 20:29:34.134626+00:00,64.3,14.1675,0.339,0.17,-0.013515500000000001,17,-0.06590670588235294
6,e6-h2-h11-g1,h2,h11,2026-05-26 20:29:34.135679+00:00,64.4,276.47,0.326,0.11,-0.27398200000000006,18,-0.07746644444444445
7,e7-h1-h12-g0,h1,h12,2026-05-26 20:30:36.461827+00:00,64.4,16.448,0.335,0.095,-0.013528,19,-0.07410126315789474
7,e7-h4-h9-g2,h4,h9,2026-05-26 20:30:36.464129+00:00,64.4,16.3595,0.335,0.11,-0.013889499999999997,20,-0.071090675
7,e7-h2-h11-g1,h2,h11,2026-05-26 20:30:37.367622+00:00,63.3,15.688500000000001,0.331,0.1,-0.0130205,21,-0.070862225
8,e8-h1-h12-g0,h1,h12,2026-05-26 20:31:39.707211+00:00,64.4,284.11699999999996,0.327,0.1,-0.28133099999999994,22,-0.08428435
8,e8-h4-h9-g2,h4,h9,2026-05-26 20:31:39.707963+00:00,64.4,13.802499999999998,0.327,0.1,-0.011016499999999999,23,-0.08408445
8,e8-h2-h11-g1,h2,h11,2026-05-26 20:31:39.708686+00:00,64.4,277.531,0.33,0.18,-0.27715100000000004,24,-0.0973122
9,e9-h2-h11-g1,h2,h11,2026-05-26 20:32:42.010263+00:00,64.4,14.805,0.335,0.14,-0.013235000000000002,25,-0.097184575
9,e9-h1-h12-g0,h1,h12,2026-05-26 20:32:42.011536+00:00,64.4,15.382,0.327,0.14,-0.013796,26,-0.09729855
9,e9-h4-h9-g2,h4,h9,2026-05-26 20:32:42.236372+00:00,64.4,14.411999999999999,0.333,0.11,-0.011937999999999999,27,-0.097069675
10,e10-h1-h12-g0,h1,h12,2026-05-26 20:33:44.356962+00:00,64.3,277.2915,0.329,0.11,-0.2748195,28,-0.11005147500000001
10,e10-h2-h11-g1,h2,h11,2026-05-26 20:33:44.358389+00:00,64.4,271.6645,0.334,0.15,-0.2703925,29,-0.12264085
10,e10-h4-h9-g2,h4,h9,2026-05-26 20:33:44.597932+00:00,64.4,15.4465,0.334,0.17,-0.014774500000000001,30,-0.10942484999999999
11,e11-h1-h12-g0,h1,h12,2026-05-26 20:34:46.917190+00:00,64.4,15.426,0.332,0.12,-0.013250000000000001,31,-0.100616475
11,e11-h4-h9-g2,h4,h9,2026-05-26 20:34:46.918821+00:00,64.4,14.434,0.331,0.098,-0.011595999999999997,32,-0.091727325
11,e11-h2-h11-g1,h2,h11,2026-05-26 20:34:46.997134+00:00,64.4,14.504000000000001,0.327,0.087,-0.011328000000000001,33,-0.091606575
12,e12-h4-h9-g2,h4,h9,2026-05-26 20:35:48.964394+00:00,64.3,277.04949999999997,0.327,0.15,-0.27577349999999995,34,-0.10477497499999999
