selection,src,dst,pair,path
1,h1,h12,h1->h12,s5 -> s1 -> s8
2,h4,h9,h4->h9,s6 -> s2 -> s7
3,h2,h11,h2->h11,s5 -> s1 -> s8
4,h4,h9,h4->h9,s6 -> s1 -> s7
5,h2,h11,h2->h11,s5 -> s2 -> s8
6,h1,h12,h1->h12,s5 -> s2 -> s8
7,h2,h11,h2->h11,s5 -> s3 -> s8
8,h1,h12,h1->h12,s5 -> s3 -> s8
9,h4,h9,h4->h9,s6 -> s3 -> s7
10,h4,h9,h4->h9,s6 -> s7
11,h2,h11,h2->h11,s5 -> s8
12,h1,h12,h1->h12,s5 -> s8
13,h1,h12,h1->h12,s5 -> s3 -> s8
14,h4,h9,h4->h9,s6 -> s2 -> s7
15,h2,h11,h2->h11,s5 -> s1 -> s8
16,h4,h9,h4->h9,s6 -> s3 -> s7
17,h1,h12,h1->h12,s5 -> s2 -> s8
18,h2,h11,h2->h11,s5 -> s8
19,h4,h9,h4->h9,s6 -> s2 -> s7
20,h1,h12,h1->h12,s5 -> s3 -> s8
21,h2,h11,h2->h11,s5 -> s1 -> s8
22,h1,h12,h1->h12,s5 -> s2 -> s8
23,h4,h9,h4->h9,s6 -> s1 -> s7
24,h2,h11,h2->h11,s5 -> s8
25,h1,h12,h1->h12,s5 -> s3 -> s8
26,h2,h11,h2->h11,s5 -> s1 -> s8
27,h4,h9,h4->h9,s6 -> s2 -> s7
28,h4,h9,h4->h9,s6 -> s3 -> s7
29,h1,h12,h1->h12,s5 -> s2 -> s8
30,h2,h11,h2->h11,s5 -> s8
31,h1,h12,h1->h12,s5 -> s1 -> s8
32,h2,h11,h2->h11,s5 -> s3 -> s8
33,h4,h9,h4->h9,s6 -> s2 -> s7
34,h4,h9,h4->h9,s6 -> s7
35,h2,h11,h2->h11,s5 -> s2 -> s8
36,h1,h12,h1->h12,s5 -> s8
37,h2,h11,h2->h11,s5 -> s3 -> s8
38,h4,h9,h4->h9,s6 -> s2 -> s7
39,h1,h12,h1->h12,s5 -> s1 -> s8
40,h2,h11,h2->h11,s5 -> s8
41,h4,h9,h4->h9,s6 -> s3 -> s7
42,h1,h12,h1->h12,s5 -> s2 -> s8
43,h2,h11,h2->h11,s5 -> s1 -> s8
44,h1,h12,h1->h12,s5 -> s3 -> s8
45,h4,h9,h4->h9,s6 -> s2 -> s7
