state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h12', 'util1', 'active0', 'rtt3', 'loss0')",3,-0.029,0.0,-0.029,0.0,0.0,1,1
"('h12', 'h1', 'util1', 'active0', 'rtt3', 'loss0')",3,-0.029,0.0,-0.029,0.0,0.0,1,2
"('h2', 'h11', 'util1', 'active1', 'rtt3', 'loss0')",3,-0.014,0.0,-0.014,0.0,0.0,1,3
"('h11', 'h2', 'util1', 'active1', 'rtt3', 'loss0')",3,-0.014,0.0,-0.014,0.0,0.0,1,4
"('h4', 'h9', 'util2', 'active0', 'rtt5', 'loss0')",3,0.008,0.0,0.008,0.0,0.0,1,5
"('h9', 'h4', 'util2', 'active0', 'rtt5', 'loss0')",3,0.008,0.0,0.008,0.0,0.0,1,6
"('h1', 'h12', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.057,0.0,-0.15,1,7
"('h12', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.057,0.0,-0.15,1,8
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.013,-0.065,0.007,0.0,-0.019,1,9
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.013,-0.065,0.007,0.0,-0.019,1,10
"('h2', 'h11', 'util3', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.073,0.0,-0.3,1,11
"('h11', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.073,0.0,-0.3,1,12
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,0.004,-0.008,0.007,0.0,-0.003,1,13
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,0.004,-0.008,0.007,0.0,-0.003,1,14
"('h2', 'h11', 'util3', 'active0', 'rtt5', 'loss0')",3,-0.003,0.212,-0.069,0.0,0.064,1,15
"('h11', 'h2', 'util3', 'active0', 'rtt5', 'loss0')",3,-0.003,0.212,-0.069,0.0,0.064,1,16
"('h1', 'h12', 'util3', 'active0', 'rtt5', 'loss0')",3,-0.003,0.161,-0.054,0.0,0.048,1,17
"('h12', 'h1', 'util3', 'active0', 'rtt5', 'loss0')",3,-0.003,0.161,-0.054,0.0,0.048,1,18
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,-0.017,0.006,0.0,-0.005,1,19
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,-0.017,0.006,0.0,-0.005,1,20
"('h1', 'h12', 'util1', 'active0', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.11,0.0,-0.3,2,21
"('h12', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.11,0.0,-0.3,2,22
"('h2', 'h11', 'util1', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.125,0.0,-0.3,2,23
"('h11', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.125,0.0,-0.3,2,24
"('h1', 'h12', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.018,0.276,-0.105,0.0,0.083,1,25
"('h12', 'h1', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.018,0.276,-0.105,0.0,0.083,1,26
"('h2', 'h11', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.005,0.358,-0.118,0.0,0.107,1,27
"('h11', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.005,0.358,-0.118,0.0,0.107,1,28
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.054,0.0,-0.3,1,29
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.054,0.0,-0.3,1,30
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.518,-0.518,-0.142,0.0,-0.155,1,31
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.518,-0.518,-0.142,0.0,-0.155,1,32
"('h1', 'h12', 'util3', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.159,0.0,-0.3,1,33
"('h12', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.159,0.0,-0.3,1,34
"('h4', 'h9', 'util1', 'active0', 'rtt5', 'loss0')",3,0.004,0.173,-0.05,0.0,0.052,1,35
"('h9', 'h4', 'util1', 'active0', 'rtt5', 'loss0')",3,0.004,0.173,-0.05,0.0,0.052,1,36
