episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h1-h4-g2,h1,h4,2026-05-27 05:01:48.734785+00:00,42.7,22.7225,0.297,0.0093,-0.046,1,-0.046,h1,h4,-0.046,-0.019325500000000002
1,e1-h2-h4-g1,h2,h4,2026-05-27 05:01:48.735069+00:00,44.9,22.7055,0.289,0.13,-0.083,2,-0.0645,h2,h4,-0.083,-0.0226935
1,e1-h1-h5-g0,h1,h5,2026-05-27 05:01:48.735381+00:00,91.3,23.7255,0.602,0.13,-0.091,3,-0.07333333333333333,h1,h5,-0.091,-0.0196995
2,e2-h1-h4-g2,h1,h4,2026-05-27 05:02:20.933651+00:00,34.8,187.531,0.294,0.037,-0.718,4,-0.2345,h1,h4,-0.718,-0.185749
2,e2-h1-h5-g0,h1,h5,2026-05-27 05:02:20.934131+00:00,25.2,23.157,0.3,0.065,-0.096,5,-0.2068,h1,h5,-0.096,-0.023187
2,e2-h2-h4-g1,h2,h4,2026-05-27 05:02:20.934647+00:00,24.0,186.829,0.255,0.093,-0.766,6,-0.3,h2,h4,-0.766,-0.18772899999999998
3,e3-h2-h4-g1,h2,h4,2026-05-27 05:02:53.942728+00:00,45.9,24.438,0.37,0.14,-0.095,7,-0.27071428571428574,h2,h4,-0.095,-0.024787999999999998
3,e3-h1-h5-g0,h1,h5,2026-05-27 05:02:53.943928+00:00,42.1,23.672,0.399,0.065,-0.071,8,-0.24575,h1,h5,-0.071,-0.02221
3,e3-h1-h4-g2,h1,h4,2026-05-27 05:02:53.945042+00:00,91.4,386.79200000000003,0.578,0.14,-0.798,9,-0.3071111111111111,h1,h4,-0.798,-0.383008
4,e4-h1-h5-g0,h1,h5,2026-05-27 05:03:26.087622+00:00,91.5,424.9015,0.691,0.17,-0.808,10,-0.3572,h1,h5,-0.808,-0.4222335
4,e4-h1-h4-g2,h1,h4,2026-05-27 05:03:26.799848+00:00,46.1,253.0655,0.428,0.084,-0.779,11,-0.39554545454545453,h1,h4,-0.779,-0.2518315
4,e4-h2-h4-g1,h2,h4,2026-05-27 05:03:26.800926+00:00,41.9,252.926,0.405,0.075,-0.777,12,-0.42733333333333334,h2,h4,-0.777,-0.25179599999999996
5,e5-h2-h4-g1,h2,h4,2026-05-27 05:03:58.634154+00:00,91.4,25.0835,0.715,0.21,-0.123,13,-0.40392307692307694,h2,h4,-0.123,-0.0236735
5,e5-h1-h4-g2,h1,h4,2026-05-27 05:03:59.357857+00:00,54.5,259.71450000000004,0.382,0.084,-0.779,14,-0.4307142857142857,h1,h4,-0.779,-0.25754850000000007
5,e5-h1-h5-g0,h1,h5,2026-05-27 05:03:59.359085+00:00,33.2,23.1695,0.383,0.065,-0.068,15,-0.4065333333333333,h1,h5,-0.068,-0.0225655
6,e6-h1-h5-g0,h1,h5,2026-05-27 05:04:31.657145+00:00,91.5,395.201,0.606,0.18,-0.81,16,-0.43175,h1,h5,-0.81,-0.39266300000000004
6,e6-h2-h4-g1,h2,h4,2026-05-27 05:04:31.657609+00:00,91.4,23.6675,0.702,0.2,-0.112,17,-0.41294117647058826,h2,h4,-0.112,-0.0219315
6,e6-h1-h4-g2,h1,h4,2026-05-27 05:04:31.658089+00:00,91.4,400.203,0.588,0.1,-0.786,18,-0.43366666666666664,h1,h4,-0.786,-0.395239
7,e7-h2-h4-g1,h2,h4,2026-05-27 05:05:04.915093+00:00,60.1,223.7775,0.468,0.037,-0.766,19,-0.45115789473684215,h2,h4,-0.766,-0.2198135
7,e7-h1-h5-g0,h1,h5,2026-05-27 05:05:04.915969+00:00,59.9,24.521500000000003,0.423,0.037,-0.063,20,-0.43174999999999997,h1,h5,-0.063,-0.0204875
7,e7-h1-h4-g2,h1,h4,2026-05-27 05:05:04.916763+00:00,28.8,451.615,0.537,0.18,-0.827,21,-0.4708,h1,h4,-0.827,-0.45520900000000003
8,e8-h2-h4-g1,h2,h4,2026-05-27 05:05:37.099351+00:00,91.5,24.277,0.6,0.084,-0.079,22,-0.4706,h2,h4,-0.079,-0.018847000000000003
8,e8-h1-h5-g0,h1,h5,2026-05-27 05:05:37.100646+00:00,91.4,390.9455,0.6,0.13,-0.795,23,-0.5058,h1,h5,-0.795,-0.3869055
8,e8-h1-h4-g2,h1,h4,2026-05-27 05:05:37.101287+00:00,91.5,430.188,0.707,0.19,-0.814,24,-0.5105999999999999,h1,h4,-0.814,-0.42815200000000003
9,e9-h2-h4-g1,h2,h4,2026-05-27 05:06:09.314017+00:00,91.5,425.477,0.668,0.17,-0.808,25,-0.5462,h2,h4,-0.808,-0.422763
9,e9-h1-h4-g2,h1,h4,2026-05-27 05:06:09.314777+00:00,91.3,395.33000000000004,0.585,0.065,-0.775,26,-0.54665,h1,h4,-0.775,-0.38932
9,e9-h1-h5-g0,h1,h5,2026-05-27 05:06:09.315741+00:00,91.4,23.945,0.696,0.13,-0.092,27,-0.5465000000000001,h1,h5,-0.092,-0.020097
10,e10-h2-h4-g1,h2,h4,2026-05-27 05:06:41.347885+00:00,91.3,430.0245,0.714,0.27,-0.838,28,-0.5848500000000001,h2,h4,-0.838,-0.43042249999999993
10,e10-h1-h4-g2,h1,h4,2026-05-27 05:06:41.399378+00:00,91.4,394.3135,0.588,0.093,-0.784,29,-0.5841500000000001,h1,h4,-0.784,-0.3891395
10,e10-h1-h5-g0,h1,h5,2026-05-27 05:06:41.400619+00:00,91.5,426.394,0.71,0.19,-0.814,30,-0.58445,h1,h5,-0.814,-0.42436399999999996
11,e11-h2-h4-g1,h2,h4,2026-05-27 05:07:14.290519+00:00,35.7,23.189999999999998,0.391,0.14,-0.085,31,-0.54975,h2,h4,-0.085,-0.024602
11,e11-h1-h4-g2,h1,h4,2026-05-27 05:07:14.292004+00:00,52.2,22.3785,0.42,0.0093,-0.043,32,-0.51305,h1,h4,-0.043,-0.018277500000000002
11,e11-h1-h5-g0,h1,h5,2026-05-27 05:07:14.293940+00:00,91.4,426.28650000000005,0.687,0.11,-0.79,33,-0.5464,h1,h5,-0.79,-0.4218205000000001
12,e12-h2-h4-g1,h2,h4,2026-05-27 05:07:46.324246+00:00,91.3,396.63,0.606,0.13,-0.795,34,-0.5472,h2,h4,-0.795,-0.39261199999999996
12,e12-h1-h4-g2,h1,h4,2026-05-27 05:07:46.325319+00:00,91.4,432.4475,0.716,0.16,-0.805,35,-0.58405,h1,h4,-0.805,-0.4295395
12,e12-h1-h5-g0,h1,h5,2026-05-27 05:07:46.326201+00:00,91.3,23.354,0.711,0.21,-0.115,36,-0.5493,h1,h5,-0.115,-0.021946
13,e13-h1-h4-g2,h1,h4,2026-05-27 05:08:18.402378+00:00,91.3,385.5,0.592,0.093,-0.784,37,-0.5829000000000001,h1,h4,-0.784,-0.380344
13,e13-h2-h4-g1,h2,h4,2026-05-27 05:08:18.479569+00:00,91.5,425.94550000000004,0.706,0.16,-0.805,38,-0.58385,h2,h4,-0.805,-0.4230075000000001
13,e13-h1-h5-g0,h1,h5,2026-05-27 05:08:18.480957+00:00,91.4,431.0945,0.715,0.21,-0.82,39,-0.58655,h1,h5,-0.82,-0.42968449999999997
14,e14-h1-h5-g0,h1,h5,2026-05-27 05:08:51.539372+00:00,42.7,23.8915,0.252,0.075,-0.072,40,-0.587,h1,h5,-0.072,-0.0223755
14,e14-h1-h4-g2,h1,h4,2026-05-27 05:08:51.540218+00:00,45.5,290.70799999999997,0.254,0.21,-0.816,41,-0.58645,h1,h4,-0.816,-0.29296599999999995
14,e14-h2-h4-g1,h2,h4,2026-05-27 05:08:51.540542+00:00,91.4,416.317,0.697,0.2,-0.817,42,-0.6233500000000001,h2,h4,-0.817,-0.414571
15,e15-h1-h5-g0,h1,h5,2026-05-27 05:09:23.379185+00:00,91.3,23.500999999999998,0.712,0.23,-0.121,43,-0.58965,h1,h5,-0.121,-0.022694999999999996
15,e15-h1-h4-g2,h1,h4,2026-05-27 05:09:23.380116+00:00,91.4,392.7445,0.581,0.19,-0.813,44,-0.5896,h1,h4,-0.813,-0.3904665
15,e15-h2-h4-g1,h2,h4,2026-05-27 05:09:23.467919+00:00,91.4,22.6755,0.598,0.18,-0.099,45,-0.55415,h2,h4,-0.099,-0.0201315
16,e16-h1-h4-g2,h1,h4,2026-05-27 05:09:55.463640+00:00,90.4,353.4785,0.749,0.056,-0.774,46,-0.5540999999999999,h1,h4,-0.774,-0.3476165
