selection,src,dst,pair,path
1,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
2,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
3,h2,h4,h2->h4,s2 -> s3 -> s5 -> s6
4,h1,h4,h1->h4,s1 -> s3 -> s6
5,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
6,h2,h4,h2->h4,s2 -> s3 -> s6
7,h2,h4,h2->h4,s2 -> s5 -> s6
8,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
9,h1,h4,h1->h4,s1 -> s3 -> s6
10,h1,h5,h1->h5,s1 -> s4 -> s7
11,h1,h4,h1->h4,s1 -> s3 -> s6
12,h2,h4,h2->h4,s2 -> s5 -> s3 -> s6
13,h2,h4,h2->h4,s2 -> s5 -> s6
14,h1,h4,h1->h4,s1 -> s3 -> s6
15,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
16,h1,h4,h1->h4,s1 -> s3 -> s6
17,h2,h4,h2->h4,s2 -> s5 -> s6
18,h1,h5,h1->h5,s1 -> s4 -> s7
19,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
20,h2,h4,h2->h4,s2 -> s3 -> s6
21,h1,h4,h1->h4,s1 -> s3 -> s6
22,h2,h4,h2->h4,s2 -> s5 -> s6
23,h1,h5,h1->h5,s1 -> s4 -> s7
24,h1,h4,h1->h4,s1 -> s3 -> s6
25,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
26,h2,h4,h2->h4,s2 -> s3 -> s6
27,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
28,h2,h4,h2->h4,s2 -> s3 -> s5 -> s6
29,h1,h4,h1->h4,s1 -> s3 -> s6
30,h1,h5,h1->h5,s1 -> s4 -> s7
31,h2,h4,h2->h4,s2 -> s5 -> s6
32,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
33,h1,h5,h1->h5,s1 -> s4 -> s7
34,h1,h4,h1->h4,s1 -> s3 -> s6
35,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
36,h2,h4,h2->h4,s2 -> s3 -> s5 -> s6
37,h1,h5,h1->h5,s1 -> s4 -> s7
38,h2,h4,h2->h4,s2 -> s3 -> s6
39,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
40,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
41,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
42,h2,h4,h2->h4,s2 -> s3 -> s6
43,h1,h4,h1->h4,s1 -> s3 -> s6
44,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
45,h2,h4,h2->h4,s2 -> s5 -> s6
46,h2,h4,h2->h4,s2 -> s5 -> s3 -> s6
47,h1,h4,h1->h4,s1 -> s3 -> s5 -> s6
48,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
49,h1,h4,h1->h4,s1 -> s3 -> s6
50,h2,h4,h2->h4,s2 -> s5 -> s6
51,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
52,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
53,h2,h4,h2->h4,s2 -> s3 -> s6
