state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h4', 'util1', 'active1', 'rtt3', 'loss0')",3,-0.758,-0.758,-0.758,0.0,-0.212,1,1
"('h4', 'h1', 'util1', 'active1', 'rtt3', 'loss0')",3,-0.758,-0.758,-0.758,0.0,-0.212,1,2
"('h2', 'h4', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.109,0.0,-0.109,0.0,0.0,1,3
"('h4', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.109,0.0,-0.109,0.0,0.0,1,4
"('h1', 'h4', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.779,-0.779,-0.759,0.0,-0.218,1,5
"('h4', 'h1', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.779,-0.779,-0.759,0.0,-0.218,1,6
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.809,-0.809,-0.809,0.0,-0.227,1,7
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.809,-0.809,-0.809,0.0,-0.227,1,8
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.766,-0.766,-0.149,0.0,-0.214,1,9
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.766,-0.766,-0.149,0.0,-0.214,1,10
"('h1', 'h5', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.066,1.0,-0.764,0.0,0.28,1,11
"('h5', 'h1', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.066,1.0,-0.764,0.0,0.28,1,12
"('h1', 'h4', 'util2', 'active1', 'rtt6', 'loss0')",3,-0.806,-0.806,-0.762,0.0,-0.226,1,13
"('h4', 'h1', 'util2', 'active1', 'rtt6', 'loss0')",3,-0.806,-0.806,-0.762,0.0,-0.226,1,14
"('h2', 'h4', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.095,0.16,-0.146,0.0,0.045,1,15
"('h4', 'h2', 'util1', 'active0', 'rtt4', 'loss0')",3,-0.095,0.16,-0.146,0.0,0.045,1,16
"('h1', 'h4', 'util1', 'active1', 'rtt6', 'loss0')",4,-0.411,-0.411,-0.741,0.0,-0.115,1,17
"('h4', 'h1', 'util1', 'active1', 'rtt6', 'loss0')",4,-0.411,-0.411,-0.741,0.0,-0.115,1,18
"('h1', 'h5', 'util1', 'active0', 'rtt6', 'loss0')",4,-0.081,1.0,-0.723,0.0,0.28,1,19
"('h5', 'h1', 'util1', 'active0', 'rtt6', 'loss0')",4,-0.081,1.0,-0.723,0.0,0.28,1,20
"('h2', 'h4', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.461,-0.461,-0.164,0.0,-0.129,1,21
"('h4', 'h2', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.461,-0.461,-0.164,0.0,-0.129,1,22
"('h1', 'h4', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.799,-0.799,-0.744,0.0,-0.224,1,23
"('h4', 'h1', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.799,-0.799,-0.744,0.0,-0.224,1,24
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.805,-0.805,-0.728,0.0,-0.225,1,25
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.805,-0.805,-0.728,0.0,-0.225,1,26
"('h1', 'h4', 'util2', 'active1', 'rtt6', 'loss0')",4,-0.413,-0.413,-0.724,0.0,-0.116,1,27
"('h4', 'h1', 'util2', 'active1', 'rtt6', 'loss0')",4,-0.413,-0.413,-0.724,0.0,-0.116,1,28
"('h2', 'h4', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.806,-0.806,-0.203,0.0,-0.226,1,29
"('h4', 'h2', 'util2', 'active0', 'rtt6', 'loss0')",3,-0.806,-0.806,-0.203,0.0,-0.226,1,30
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.805,-0.805,-0.733,0.0,-0.225,1,31
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.805,-0.805,-0.733,0.0,-0.225,1,32
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.106,1.0,-0.695,0.0,0.28,1,33
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.106,1.0,-0.695,0.0,0.28,1,34
"('h1', 'h4', 'util2', 'active0', 'rtt5', 'loss0')",3,-0.809,-0.809,-0.729,0.0,-0.227,1,35
"('h4', 'h1', 'util2', 'active0', 'rtt5', 'loss0')",3,-0.809,-0.809,-0.729,0.0,-0.227,1,36
"('h2', 'h4', 'util2', 'active1', 'rtt6', 'loss0')",3,-0.092,0.334,-0.196,0.0,0.093,1,37
"('h4', 'h2', 'util2', 'active1', 'rtt6', 'loss0')",3,-0.092,0.334,-0.196,0.0,0.093,1,38
"('h1', 'h4', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.795,-0.795,-0.733,0.0,-0.223,3,39
"('h4', 'h1', 'util2', 'active0', 'rtt6', 'loss0')",4,-0.795,-0.795,-0.733,0.0,-0.223,3,40
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.421,-0.421,-0.21,0.0,-0.118,1,41
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.421,-0.421,-0.21,0.0,-0.118,1,42
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.095,1.0,-0.659,0.0,0.28,1,43
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",4,-0.095,1.0,-0.659,0.0,0.28,1,44
