episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-27 11:58:03.657774+00:00,95.4,26.234,0.016,0.023,-0.059,1,-0.059,h2,h4,-0.059,-0.017416
1,e1-h1-h4-g2,h1,h4,2026-05-27 11:59:41.867494+00:00,95.4,38.9825,0.033,0.049,-0.109,2,-0.08399999999999999,h1,h4,-0.109,-0.030978500000000003
1,e1-h1-h5-g0,h1,h5,2026-05-27 12:00:13.295925+00:00,95.3,29.4315,0.04,0.041,-0.075,3,-0.081,h1,h5,-0.075,-0.021211499999999998
2,e2-h1-h4-g2,h1,h4,2026-05-27 12:02:22.504820+00:00,95.3,26.7315,0.022,0.028,-0.052,4,-0.07375,h1,h4,-0.052,-0.0180855
2,e2-h2-h4-g1,h2,h4,2026-05-27 12:02:54.930870+00:00,95.4,27.8185,0.022,0.031,-0.06,5,-0.071,h2,h4,-0.06,-0.019252499999999995
2,e2-h1-h5-g0,h1,h5,2026-05-27 12:03:26.649142+00:00,95.4,40.7735,0.029,0.043,-0.118,6,-0.07883333333333332,h1,h5,-0.118,-0.0325815
3,e3-h1-h4-g2,h1,h4,2026-05-27 12:05:34.055586+00:00,95.3,25.5775,0.024,0.032,-0.046,7,-0.07414285714285715,h1,h4,-0.046,-0.017055499999999998
3,e3-h1-h5-g0,h1,h5,2026-05-27 12:06:06.486121+00:00,95.3,27.289,0.025,0.033,-0.055,8,-0.07175,h1,h5,-0.055,-0.018799000000000003
3,e3-h2-h4-g1,h2,h4,2026-05-27 12:06:38.069636+00:00,95.4,38.417,0.03,0.04,-0.107,9,-0.07566666666666666,h2,h4,-0.107,-0.030137
4,e4-h1-h4-g2,h1,h4,2026-05-27 12:08:46.582348+00:00,95.3,26.275,0.014,0.01,-0.056,10,-0.0737,h1,h4,-0.056,-0.017073
4,e4-h2-h4-g1,h2,h4,2026-05-27 12:09:19.727930+00:00,95.4,30.6825,0.058,0.069,-0.084,11,-0.07463636363636363,h2,h4,-0.084,-0.023328500000000002
4,e4-h1-h5-g0,h1,h5,2026-05-27 12:09:53.801195+00:00,95.3,28.829,0.041,0.043,-0.075,12,-0.07466666666666667,h1,h5,-0.075,-0.020671
5,e5-h1-h5-g0,h1,h5,2026-05-27 12:12:00.759213+00:00,95.3,27.561999999999998,0.021,0.024,-0.052,13,-0.07292307692307692,h1,h5,-0.052,-0.018793999999999995
5,e5-h1-h4-g2,h1,h4,2026-05-27 12:12:33.755682+00:00,95.3,27.73,0.02,0.024,-0.055,14,-0.07164285714285713,h1,h4,-0.055,-0.018959999999999998
5,e5-h2-h4-g1,h2,h4,2026-05-27 12:13:06.875098+00:00,95.4,28.2275,0.029,0.041,-0.07,15,-0.07153333333333332,h2,h4,-0.07,-0.019975499999999993
6,e6-h1-h5-g0,h1,h5,2026-05-27 12:15:16.187034+00:00,95.3,28.506500000000003,0.036,0.038,-0.073,16,-0.071625,h1,h5,-0.073,-0.0201885
6,e6-h1-h4-g2,h1,h4,2026-05-27 12:15:48.777536+00:00,95.3,27.665,0.016,0.021,-0.059,17,-0.07088235294117648,h1,h4,-0.059,-0.018796999999999998
