state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.051,0.0,-0.051,0.0,0.0,1,1
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.051,0.0,-0.051,0.0,0.0,1,2
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.072,0.0,-0.072,0.0,0.0,2,3
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.072,0.0,-0.072,0.0,0.0,2,4
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.065,0.0,-0.065,0.0,0.0,1,5
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.065,0.0,-0.065,0.0,0.0,1,6
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.054,-0.008,-0.051,0.0,-0.002,1,7
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.054,-0.008,-0.051,0.0,-0.002,1,8
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.064,0.024,-0.072,0.0,0.007,1,9
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.064,0.024,-0.072,0.0,0.007,1,10
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.009,-0.065,0.0,0.002,1,11
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.009,-0.065,0.0,0.002,1,12
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.058,-0.021,-0.052,0.0,-0.006,1,13
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.058,-0.021,-0.052,0.0,-0.006,1,14
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.113,-0.113,-0.068,0.0,-0.032,1,15
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.113,-0.113,-0.068,0.0,-0.032,1,16
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.064,0.012,-0.068,0.0,0.003,1,17
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.064,0.012,-0.068,0.0,0.003,1,18
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.109,-0.109,-0.074,0.0,-0.031,1,19
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.109,-0.109,-0.074,0.0,-0.031,1,20
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.116,-0.116,-0.055,0.0,-0.033,1,21
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.116,-0.116,-0.055,0.0,-0.033,1,22
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.062,0.037,-0.073,0.0,0.01,1,23
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.062,0.037,-0.073,0.0,0.01,1,24
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.066,0.004,-0.067,0.002,0.003,3,25
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.066,0.004,-0.067,0.002,0.003,3,26
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.066,-0.031,-0.056,0.0,-0.009,2,27
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.066,-0.031,-0.056,0.0,-0.009,2,28
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.083,-0.083,-0.074,0.0,-0.023,1,29
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.083,-0.083,-0.074,0.0,-0.023,1,30
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.053,-0.073,0.0,0.015,2,31
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.053,-0.073,0.0,0.015,2,32
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.062,-0.017,-0.056,0.0,-0.005,2,33
