episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-27 19:18:58.112309+00:00,95.3,29.438499999999998,0.029,0.033,-0.077,1,-0.077,h2,h4,-0.077,-0.0209565
1,e1-h1-h4-g2,h1,h4,2026-05-27 19:20:36.292400+00:00,95.4,26.2085,0.029,0.036,-0.05,2,-0.0635,h1,h4,-0.05,-0.017806499999999996
1,e1-h1-h5-g0,h1,h5,2026-05-27 19:21:07.719470+00:00,95.3,29.185499999999998,0.04,0.039,-0.073,3,-0.06666666666666667,h1,h5,-0.073,-0.020905499999999997
2,e2-h1-h4-g2,h1,h4,2026-05-27 19:23:16.833171+00:00,95.3,27.271,0.039,0.047,-0.051,4,-0.06275,h1,h4,-0.051,-0.019229000000000003
2,e2-h2-h4-g1,h2,h4,2026-05-27 19:23:49.251633+00:00,95.4,28.429499999999997,0.027,0.038,-0.067,5,-0.0636,h2,h4,-0.067,-0.020083499999999994
2,e2-h1-h5-g0,h1,h5,2026-05-27 19:24:21.019714+00:00,95.3,27.887500000000003,0.026,0.032,-0.052,6,-0.06166666666666667,h1,h5,-0.052,-0.0193695
3,e3-h1-h4-g2,h1,h4,2026-05-27 19:26:28.370365+00:00,95.3,26.799500000000002,0.028,0.029,-0.051,7,-0.060142857142857144,h1,h4,-0.051,-0.0181955
3,e3-h1-h5-g0,h1,h5,2026-05-27 19:27:00.713961+00:00,95.4,38.814,0.026,0.034,-0.113,8,-0.06675,h1,h5,-0.113,-0.030346
3,e3-h2-h4-g1,h2,h4,2026-05-27 19:27:32.383556+00:00,95.4,36.0085,0.014,0.016,-0.105,9,-0.07100000000000001,h2,h4,-0.105,-0.0269765
4,e4-h1-h4-g2,h1,h4,2026-05-27 19:29:40.826000+00:00,95.3,27.474,0.034,0.039,-0.052,10,-0.0691,h1,h4,-0.052,-0.019182
4,e4-h2-h4-g1,h2,h4,2026-05-27 19:30:13.969663+00:00,95.4,27.064500000000002,0.026,0.036,-0.065,11,-0.06872727272727273,h2,h4,-0.065,-0.0186565
4,e4-h1-h5-g0,h1,h5,2026-05-27 19:30:47.070921+00:00,95.3,28.4425,0.036,0.038,-0.072,12,-0.06899999999999999,h1,h5,-0.072,-0.020124499999999997
5,e5-h1-h5-g0,h1,h5,2026-05-27 19:32:54.091695+00:00,95.3,26.2165,0.021,0.02,-0.051,13,-0.06761538461538462,h1,h5,-0.051,-0.0173285
5,e5-h1-h4-g2,h1,h4,2026-05-27 19:33:27.091285+00:00,95.4,38.4955,0.026,0.04,-0.112,14,-0.07078571428571429,h1,h4,-0.112,-0.0302075
5,e5-h2-h4-g1,h2,h4,2026-05-27 19:34:00.211782+00:00,95.3,28.3565,0.034,0.036,-0.071,15,-0.0708,h2,h4,-0.071,-0.0199745
6,e6-h1-h5-g0,h1,h5,2026-05-27 19:36:09.357949+00:00,95.3,27.384,0.029,0.033,-0.069,16,-0.0706875,h1,h5,-0.069,-0.018902
6,e6-h1-h4-g2,h1,h4,2026-05-27 19:36:41.941626+00:00,95.3,27.1025,0.023,0.03,-0.053,17,-0.06964705882352941,h1,h4,-0.053,-0.0185185
6,e6-h2-h4-g1,h2,h4,2026-05-27 19:37:14.362805+00:00,95.4,26.924500000000002,0.026,0.039,-0.067,18,-0.06949999999999999,h2,h4,-0.067,-0.018606499999999998
7,e7-h1-h4-g2,h1,h4,2026-05-27 19:38:17.020154+00:00,95.4,36.7965,0.031,0.045,-0.101,19,-0.07115789473684211,h1,h4,-0.101,-0.028668500000000003
7,e7-h2-h4-g1,h2,h4,2026-05-27 19:39:53.917064+00:00,95.3,27.886499999999998,0.022,0.025,-0.069,20,-0.07105,h2,h4,-0.069,-0.019150499999999997
7,e7-h1-h5-g0,h1,h5,2026-05-27 19:40:26.818817+00:00,95.3,27.070999999999998,0.026,0.028,-0.051,21,-0.06975,h1,h5,-0.051,-0.018432999999999998
8,e8-h1-h4-g2,h1,h4,2026-05-27 19:42:03.470083+00:00,95.4,38.498999999999995,0.019,0.028,-0.06,22,-0.07025,h1,h4,-0.06,-0.029837
8,e8-h1-h5-g0,h1,h5,2026-05-27 19:43:08.078896+00:00,95.3,28.177500000000002,0.029,0.039,-0.054,23,-0.0693,h1,h5,-0.054,-0.0198755
8,e8-h2-h4-g1,h2,h4,2026-05-27 19:43:39.690207+00:00,95.4,25.692,0.018,0.027,-0.051,24,-0.0693,h2,h4,-0.051,-0.016998000000000003
9,e9-h1-h4-g2,h1,h4,2026-05-27 19:45:13.490408+00:00,95.3,27.223999999999997,0.027,0.034,-0.052,25,-0.06855,h1,h4,-0.052,-0.018767999999999996
9,e9-h2-h4-g1,h2,h4,2026-05-27 19:46:16.649151+00:00,95.4,25.679000000000002,0.013,0.012,-0.054,26,-0.06865,h2,h4,-0.054,-0.016525
9,e9-h1-h5-g0,h1,h5,2026-05-27 19:46:50.014537+00:00,95.3,28.512,0.037,0.037,-0.054,27,-0.0688,h1,h5,-0.054,-0.020166
10,e10-h2-h4-g1,h2,h4,2026-05-27 19:48:58.711041+00:00,95.4,26.573,0.02,0.027,-0.058,28,-0.06605,h2,h4,-0.058,-0.017883
10,e10-h1-h5-g0,h1,h5,2026-05-27 19:49:30.501539+00:00,95.3,29.637,0.043,0.042,-0.072,29,-0.0644,h1,h5,-0.072,-0.021453
10,e10-h1-h4-g2,h1,h4,2026-05-27 19:50:03.158941+00:00,95.4,37.012,0.028,0.039,-0.116,30,-0.0676,h1,h4,-0.116,-0.028698000000000005
11,e11-h2-h4-g1,h2,h4,2026-05-27 19:52:10.714936+00:00,95.4,39.2685,0.019,0.033,-0.067,31,-0.06770000000000001,h2,h4,-0.067,-0.030756500000000006
11,e11-h1-h5-g0,h1,h5,2026-05-27 19:52:42.347839+00:00,95.4,40.071,0.029,0.035,-0.115,32,-0.06985,h1,h5,-0.115,-0.031638999999999994
11,e11-h1-h4-g2,h1,h4,2026-05-27 19:53:16.302433+00:00,95.3,28.3425,0.03,0.031,-0.069,33,-0.07075000000000001,h1,h4,-0.069,-0.0198025
12,e12-h2-h4-g1,h2,h4,2026-05-27 19:54:51.306828+00:00,95.4,38.9975,0.014,0.016,-0.118,34,-0.07104999999999999,h2,h4,-0.118,-0.029965500000000006
12,e12-h1-h5-g0,h1,h5,2026-05-27 19:55:23.235325+00:00,95.4,38.2425,0.022,0.027,-0.063,35,-0.07065,h1,h5,-0.063,-0.0295565
12,e12-h1-h4-g2,h1,h4,2026-05-27 19:56:28.347570+00:00,95.3,28.424500000000002,0.044,0.054,-0.053,36,-0.06985,h1,h4,-0.053,-0.020602500000000003
13,e13-h1-h5-g0,h1,h5,2026-05-27 19:57:31.852221+00:00,95.3,25.914,0.017,0.016,-0.054,37,-0.0699,h1,h5,-0.054,-0.016898000000000003
13,e13-h2-h4-g1,h2,h4,2026-05-27 19:59:08.660538+00:00,95.4,27.316,0.034,0.052,-0.053,38,-0.0692,h2,h4,-0.053,-0.019403999999999998
