selection,src,dst,pair,path
1,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
2,h1,h4,h1->h4,s1 -> s4 -> s6
3,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
4,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
5,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
6,h2,h4,h2->h4,s2 -> s5 -> s6
7,h1,h5,h1->h5,s1 -> s4 -> s7
8,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
9,h2,h4,h2->h4,s2 -> s3 -> s6
10,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
11,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
12,h2,h4,h2->h4,s2 -> s4 -> s6
13,h2,h4,h2->h4,s2 -> s1 -> s4 -> s6
14,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
15,h1,h4,h1->h4,s1 -> s3 -> s6
16,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
17,h2,h4,h2->h4,s2 -> s4 -> s6
18,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
19,h1,h4,h1->h4,s1 -> s3 -> s6
20,h2,h4,h2->h4,s2 -> s1 -> s4 -> s6
21,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
22,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
23,h1,h4,h1->h4,s1 -> s3 -> s6
24,h2,h4,h2->h4,s2 -> s5 -> s6
25,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
26,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
27,h2,h4,h2->h4,s2 -> s5 -> s6
28,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
29,h1,h4,h1->h4,s1 -> s3 -> s6
30,h2,h4,h2->h4,s2 -> s4 -> s6
31,h1,h5,h1->h5,s1 -> s4 -> s7
32,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
33,h2,h4,h2->h4,s2 -> s3 -> s6
34,h1,h5,h1->h5,s1 -> s4 -> s7
35,h2,h4,h2->h4,s2 -> s3 -> s6
36,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
37,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
38,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
39,h2,h4,h2->h4,s2 -> s5 -> s6
40,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
41,h2,h4,h2->h4,s2 -> s4 -> s6
42,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
43,h1,h4,h1->h4,s1 -> s4 -> s6
44,h2,h4,h2->h4,s2 -> s3 -> s6
45,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
46,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
47,h1,h4,h1->h4,s1 -> s4 -> s6
48,h2,h4,h2->h4,s2 -> s5 -> s6
49,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
50,h1,h4,h1->h4,s1 -> s4 -> s6
51,h2,h4,h2->h4,s2 -> s5 -> s6
52,h1,h4,h1->h4,s1 -> s4 -> s6
53,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
54,h1,h5,h1->h5,s1 -> s4 -> s7
55,h2,h4,h2->h4,s2 -> s4 -> s6
56,h1,h4,h1->h4,s1 -> s3 -> s6
57,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
58,h1,h4,h1->h4,s1 -> s4 -> s6
59,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
60,h2,h4,h2->h4,s2 -> s3 -> s6
61,h1,h4,h1->h4,s1 -> s4 -> s6
62,h2,h4,h2->h4,s2 -> s5 -> s6
63,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
64,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
65,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
66,h2,h4,h2->h4,s2 -> s4 -> s6
67,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
68,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
69,h2,h4,h2->h4,s2 -> s4 -> s6
70,h4,h2,h4->h2,s6 -> s3 -> s5 -> s2
71,h1,h5,h1->h5,s1 -> s4 -> s7
72,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
73,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
74,h2,h4,h2->h4,s2 -> s4 -> s6
75,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
76,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
77,h2,h4,h2->h4,s2 -> s4 -> s6
78,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
79,h2,h4,h2->h4,s2 -> s5 -> s6
80,h1,h4,h1->h4,s1 -> s4 -> s6
81,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
82,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
83,h2,h4,h2->h4,s2 -> s4 -> s6
84,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
85,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
86,h1,h4,h1->h4,s1 -> s3 -> s6
87,h2,h4,h2->h4,s2 -> s5 -> s6
88,h1,h4,h1->h4,s1 -> s4 -> s6
89,h2,h4,h2->h4,s2 -> s5 -> s6
90,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
91,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
92,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
93,h2,h4,h2->h4,s2 -> s5 -> s6
94,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
95,h2,h4,h2->h4,s2 -> s4 -> s6
96,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
97,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
98,h2,h4,h2->h4,s2 -> s5 -> s6
99,h1,h5,h1->h5,s1 -> s4 -> s7
100,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
101,h2,h4,h2->h4,s2 -> s5 -> s6
102,h1,h5,h1->h5,s1 -> s4 -> s7
103,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
104,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
105,h2,h4,h2->h4,s2 -> s5 -> s6
106,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
107,h1,h4,h1->h4,s1 -> s4 -> s6
108,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
109,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
110,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
111,h2,h4,h2->h4,s2 -> s5 -> s6
112,h2,h4,h2->h4,s2 -> s3 -> s6
113,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
114,h1,h4,h1->h4,s1 -> s4 -> s6
115,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
116,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
117,h2,h4,h2->h4,s2 -> s5 -> s6
118,h1,h4,h1->h4,s1 -> s3 -> s6
119,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
120,h2,h4,h2->h4,s2 -> s3 -> s6
121,h1,h4,h1->h4,s1 -> s4 -> s6
122,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
123,h2,h4,h2->h4,s2 -> s4 -> s6
124,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
125,h2,h4,h2->h4,s2 -> s4 -> s6
126,h1,h4,h1->h4,s1 -> s3 -> s6
127,h2,h4,h2->h4,s2 -> s4 -> s6
128,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
129,h1,h5,h1->h5,s1 -> s4 -> s7
130,h2,h4,h2->h4,s2 -> s4 -> s6
131,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
132,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
133,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
134,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
135,h2,h4,h2->h4,s2 -> s5 -> s6
136,h5,h1,h5->h1,s7 -> s5 -> s4 -> s1
137,h2,h4,h2->h4,s2 -> s3 -> s6
138,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
139,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
140,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
141,h2,h4,h2->h4,s2 -> s5 -> s6
142,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
143,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
144,h2,h4,h2->h4,s2 -> s5 -> s6
145,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
146,h2,h4,h2->h4,s2 -> s5 -> s6
147,h1,h4,h1->h4,s1 -> s3 -> s6
148,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
149,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
150,h2,h4,h2->h4,s2 -> s4 -> s6
151,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
152,h1,h4,h1->h4,s1 -> s4 -> s6
153,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
154,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
155,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
156,h2,h4,h2->h4,s2 -> s5 -> s6
157,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
158,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
159,h2,h4,h2->h4,s2 -> s5 -> s6
160,h1,h5,h1->h5,s1 -> s4 -> s7
161,h2,h4,h2->h4,s2 -> s5 -> s6
162,h1,h4,h1->h4,s1 -> s3 -> s6
163,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
164,h1,h4,h1->h4,s1 -> s3 -> s6
165,h2,h4,h2->h4,s2 -> s5 -> s6
166,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
167,h2,h4,h2->h4,s2 -> s4 -> s6
168,h1,h4,h1->h4,s1 -> s4 -> s6
169,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
170,h1,h5,h1->h5,s1 -> s4 -> s7
171,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
172,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
173,h1,h4,h1->h4,s1 -> s4 -> s6
174,h2,h4,h2->h4,s2 -> s5 -> s6
175,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
176,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
177,h2,h4,h2->h4,s2 -> s5 -> s6
178,h2,h4,h2->h4,s2 -> s5 -> s6
179,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
180,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
181,h2,h4,h2->h4,s2 -> s4 -> s6
182,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
183,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
184,h1,h4,h1->h4,s1 -> s4 -> s6
185,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
186,h2,h4,h2->h4,s2 -> s4 -> s6
187,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
188,h1,h4,h1->h4,s1 -> s4 -> s6
189,h2,h4,h2->h4,s2 -> s5 -> s6
190,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
191,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
192,h2,h4,h2->h4,s2 -> s5 -> s6
193,h2,h4,h2->h4,s2 -> s5 -> s6
194,h1,h4,h1->h4,s1 -> s4 -> s6
195,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
196,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
197,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
198,h2,h4,h2->h4,s2 -> s4 -> s6
199,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
200,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
201,h2,h4,h2->h4,s2 -> s5 -> s6
202,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
203,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
204,h2,h4,h2->h4,s2 -> s4 -> s6
205,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
206,h2,h4,h2->h4,s2 -> s5 -> s6
207,h1,h4,h1->h4,s1 -> s4 -> s6
208,h2,h4,h2->h4,s2 -> s1 -> s4 -> s6
209,h1,h4,h1->h4,s1 -> s3 -> s6
210,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
211,h2,h4,h2->h4,s2 -> s5 -> s6
212,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
213,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
214,h1,h4,h1->h4,s1 -> s3 -> s6
215,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
216,h2,h4,h2->h4,s2 -> s5 -> s6
217,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
218,h1,h4,h1->h4,s1 -> s4 -> s6
219,h2,h4,h2->h4,s2 -> s5 -> s6
220,h2,h4,h2->h4,s2 -> s1 -> s3 -> s6
221,h1,h4,h1->h4,s1 -> s4 -> s6
222,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
223,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
224,h2,h4,h2->h4,s2 -> s4 -> s6
225,h1,h4,h1->h4,s1 -> s3 -> s6
226,h2,h4,h2->h4,s2 -> s4 -> s6
227,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
228,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
229,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
230,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
231,h2,h4,h2->h4,s2 -> s5 -> s6
232,h2,h4,h2->h4,s2 -> s5 -> s6
233,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
234,h1,h4,h1->h4,s1 -> s4 -> s6
235,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
236,h1,h4,h1->h4,s1 -> s4 -> s6
237,h2,h4,h2->h4,s2 -> s5 -> s6
238,h1,h4,h1->h4,s1 -> s2 -> s5 -> s6
239,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
240,h2,h4,h2->h4,s2 -> s4 -> s6
241,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
242,h1,h4,h1->h4,s1 -> s4 -> s6
243,h2,h4,h2->h4,s2 -> s5 -> s6
244,h1,h4,h1->h4,s1 -> s4 -> s6
245,h2,h4,h2->h4,s2 -> s5 -> s6
246,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
247,h2,h4,h2->h4,s2 -> s4 -> s6
248,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
249,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
250,h1,h5,h1->h5,s1 -> s3 -> s5 -> s7
251,h1,h4,h1->h4,s1 -> s2 -> s4 -> s6
252,h2,h4,h2->h4,s2 -> s5 -> s6
253,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
254,h2,h4,h2->h4,s2 -> s5 -> s6
255,h1,h4,h1->h4,s1 -> s4 -> s6
256,h1,h5,h1->h5,s1 -> s3 -> s6 -> s7
257,h2,h4,h2->h4,s2 -> s5 -> s6
258,h1,h4,h1->h4,s1 -> s4 -> s6
