episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-28 00:01:35.817437+00:00,1.4,32.7755,0.092,60.0,-0.557,1,-0.557,h2,h4,-0.557,-0.3328195
1,e1-h1-h4-g2,h1,h4,2026-05-28 00:01:36.266308+00:00,2.59,24.528,0.098,36.0,-0.44,2,-0.49850000000000005,h1,h4,-0.44,-0.324465
1,e1-h1-h5-g0,h1,h5,2026-05-28 00:01:36.266960+00:00,5.22,23.3115,0.116,0.96,-0.166,3,-0.38766666666666666,h1,h5,-0.166,-0.05182149999999999
2,e2-h1-h4-g2,h1,h4,2026-05-28 00:02:08.495838+00:00,0.318,26.512999999999998,0.09,36.0,-0.451,4,-0.4035,h1,h4,-0.451,-0.3266612
2,e2-h2-h4-g1,h2,h4,2026-05-28 00:02:08.496428+00:00,0.417,24.0085,0.054,59.0,-0.472,5,-0.41720000000000007,h2,h4,-0.472,-0.3240748
2,e2-h1-h5-g0,h1,h5,2026-05-28 00:02:08.496959+00:00,3.63,26.334,0.129,0.5,-0.159,6,-0.3741666666666667,h1,h5,-0.159,-0.041229
3,e3-h1-h4-g2,h1,h4,2026-05-28 00:02:40.995760+00:00,0.463,26.461,0.077,52.0,-0.444,7,-0.3841428571428572,h1,h4,-0.444,-0.3265687
3,e3-h1-h5-g0,h1,h5,2026-05-28 00:02:40.996665+00:00,3.62,22.128999999999998,0.108,0.58,-0.144,8,-0.354125,h1,h5,-0.144,-0.039383
3,e3-h2-h4-g1,h2,h4,2026-05-28 00:02:41.246478+00:00,0.053,22.628999999999998,0.076,45.0,-0.425,9,-0.362,h2,h4,-0.425,-0.3227757
4,e4-h1-h4-g2,h1,h4,2026-05-28 00:03:15.747769+00:00,0.459,26.201999999999998,0.078,36.0,-0.448,10,-0.3706,h1,h4,-0.448,-0.3263121
4,e4-h2-h4-g1,h2,h4,2026-05-28 00:03:15.748318+00:00,0.4,22.738,0.063,57.0,-0.442,11,-0.3770909090909091,h2,h4,-0.442,-0.322824
4,e4-h1-h5-g0,h1,h5,2026-05-28 00:03:15.748866+00:00,8.96,22.6645,0.113,1.3,-0.183,12,-0.3609166666666667,h1,h5,-0.183,-0.0609945
5,e5-h1-h5-g0,h1,h5,2026-05-28 00:03:54.381939+00:00,0.786,25.027,0.093,49.0,-0.443,13,-0.36723076923076925,h1,h5,-0.443,-0.3251344
5,e5-h1-h4-g2,h1,h4,2026-05-28 00:03:54.382436+00:00,0.248,24.8485,0.099,60.0,-0.429,14,-0.37164285714285716,h1,h4,-0.429,-0.32502169999999997
5,e5-h2-h4-g1,h2,h4,2026-05-28 00:03:54.382920+00:00,2.54,23.512,0.077,35.0,-0.462,15,-0.37766666666666665,h2,h4,-0.462,-0.323412
6,e6-h1-h5-g0,h1,h5,2026-05-28 00:04:28.171323+00:00,7.19,26.127499999999998,0.119,0.71,-0.195,16,-0.36625,h1,h5,-0.195,-0.04694649999999999
