state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss6')",4,-0.169,-0.169,-0.169,0.0,-0.047,1,1
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss6')",4,-0.169,-0.169,-0.169,0.0,-0.047,1,2
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss6')",3,-0.308,-0.308,-0.308,0.0,-0.086,1,3
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss6')",3,-0.308,-0.308,-0.308,0.0,-0.086,1,4
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss6')",3,-0.294,-0.294,-0.294,0.0,-0.082,1,5
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss6')",3,-0.294,-0.294,-0.294,0.0,-0.082,1,6
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.308,-0.308,-0.295,0.0,-0.086,1,7
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.308,-0.308,-0.295,0.0,-0.086,1,8
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.16,-0.16,-0.169,0.0,-0.045,1,9
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.16,-0.16,-0.169,0.0,-0.045,1,10
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.312,-0.312,-0.308,0.0,-0.087,1,11
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.312,-0.312,-0.308,0.0,-0.087,1,12
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.161,-0.161,-0.168,0.0,-0.045,1,13
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.161,-0.161,-0.168,0.0,-0.045,1,14
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.48,-0.48,-0.319,0.0,-0.135,1,15
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.48,-0.48,-0.319,0.0,-0.135,1,16
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.333,-0.333,-0.297,0.0,-0.093,1,17
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss1')",3,-0.333,-0.333,-0.297,0.0,-0.093,1,18
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.341,-0.341,-0.179,0.0,-0.095,1,19
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.341,-0.341,-0.179,0.0,-0.095,1,20
"('h1', 'h4', 'util1', 'active0', 'rtt2', 'loss1')",4,-0.284,-0.284,-0.317,0.0,-0.08,1,21
"('h4', 'h1', 'util1', 'active0', 'rtt2', 'loss1')",4,-0.284,-0.284,-0.317,0.0,-0.08,1,22
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.29,0.0,-0.048,1,23
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.29,0.0,-0.048,1,24
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.31,-0.31,-0.316,0.0,-0.087,1,25
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.31,-0.31,-0.316,0.0,-0.087,1,26
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.31,-0.31,-0.291,0.0,-0.087,1,27
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.31,-0.31,-0.291,0.0,-0.087,1,28
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.173,-0.173,-0.178,0.0,-0.048,1,29
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.173,-0.173,-0.178,0.0,-0.048,1,30
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.178,-0.178,-0.178,0.0,-0.05,2,31
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.178,-0.178,-0.178,0.0,-0.05,2,32
"('h2', 'h4', 'util1', 'active0', 'rtt2', 'loss1')",3,-0.168,-0.168,-0.284,0.0,-0.047,1,33
"('h4', 'h2', 'util1', 'active0', 'rtt2', 'loss1')",3,-0.168,-0.168,-0.284,0.0,-0.047,1,34
"('h1', 'h4', 'util1', 'active0', 'rtt1', 'loss1')",3,-0.168,-0.168,-0.307,0.0,-0.047,1,35
"('h4', 'h1', 'util1', 'active0', 'rtt1', 'loss1')",3,-0.168,-0.168,-0.307,0.0,-0.047,1,36
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.352,-0.352,-0.189,0.0,-0.098,2,37
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.352,-0.352,-0.189,0.0,-0.098,2,38
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.162,-0.162,-0.187,0.0,-0.045,1,39
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.162,-0.162,-0.187,0.0,-0.045,1,40
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss3')",4,-0.191,-0.191,-0.3,0.0,-0.053,1,41
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss3')",4,-0.191,-0.191,-0.3,0.0,-0.053,1,42
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.158,-0.158,-0.276,0.0,-0.044,1,43
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.158,-0.158,-0.276,0.0,-0.044,1,44
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.172,-0.172,-0.27,0.0,-0.048,1,45
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.172,-0.172,-0.27,0.0,-0.048,1,46
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.161,-0.161,-0.292,0.0,-0.045,2,47
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.161,-0.161,-0.292,0.0,-0.045,2,48
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.35,-0.35,-0.295,0.0,-0.098,1,49
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.35,-0.35,-0.295,0.0,-0.098,1,50
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.332,-0.332,-0.274,0.0,-0.093,1,51
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.332,-0.332,-0.274,0.0,-0.093,1,52
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.491,-0.491,-0.287,0.0,-0.137,1,53
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.491,-0.491,-0.287,0.0,-0.137,1,54
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss1')",4,-0.325,-0.325,-0.195,0.0,-0.091,1,55
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss1')",4,-0.325,-0.325,-0.195,0.0,-0.091,1,56
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss6')",3,-0.176,-0.176,-0.194,0.0,-0.049,1,57
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss6')",3,-0.176,-0.176,-0.194,0.0,-0.049,1,58
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.169,-0.169,-0.28,0.0,-0.047,1,59
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.169,-0.169,-0.28,0.0,-0.047,1,60
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",4,-0.183,-0.183,-0.289,0.0,-0.051,1,61
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss2')",4,-0.183,-0.183,-0.289,0.0,-0.051,1,62
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.33,-0.33,-0.202,0.0,-0.092,1,63
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.33,-0.33,-0.202,0.0,-0.092,1,64
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.316,-0.316,-0.29,0.0,-0.089,1,65
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.316,-0.316,-0.29,0.0,-0.089,1,66
