episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-28 08:49:49.881098+00:00,6.11,27.287,0.124,1.6,-0.243,1,-0.243,h2,h4,-0.243,-0.0383002
1,e1-h1-h4-g2,h1,h4,2026-05-28 08:49:52.629508+00:00,0.043,23.037,0.087,32.0,-0.452,2,-0.34750000000000003,h1,h4,-0.452,-0.164066
1,e1-h1-h5-g0,h1,h5,2026-05-28 08:49:52.630764+00:00,0.287,23.047,0.07,60.0,-0.47,3,-0.38833333333333336,h1,h5,-0.47,-0.1639234
2,e2-h1-h4-g2,h1,h4,2026-05-28 08:50:37.376124+00:00,0.027,24.636,0.074,59.0,-0.453,4,-0.40449999999999997,h1,h4,-0.453,-0.1649928
2,e2-h2-h4-g1,h2,h4,2026-05-28 08:50:37.377699+00:00,8.03,23.4685,0.118,1.0,-0.192,5,-0.362,h2,h4,-0.192,-0.0262231
2,e2-h1-h5-g0,h1,h5,2026-05-28 08:50:37.378796+00:00,6.35,26.994,0.126,36.0,-0.449,6,-0.3765,h1,h5,-0.449,-0.1640344
3,e3-h1-h4-g2,h1,h4,2026-05-28 08:51:09.639772+00:00,3.93,22.7145,0.112,0.97,-0.18,7,-0.3484285714285714,h1,h4,-0.18,-0.0269427
3,e3-h1-h5-g0,h1,h5,2026-05-28 08:51:10.007719+00:00,4.01,24.8185,0.124,0.55,-0.157,8,-0.3245,h1,h5,-0.157,-0.0219091
3,e3-h2-h4-g1,h2,h4,2026-05-28 08:51:10.034408+00:00,3.71,21.463,0.114,0.72,-0.162,9,-0.30644444444444446,h2,h4,-0.162,-0.022535799999999998
4,e4-h1-h4-g2,h1,h4,2026-05-28 08:51:45.896456+00:00,4.84,25.7095,0.129,0.74,-0.17,10,-0.2928,h1,h4,-0.17,-0.024976699999999998
4,e4-h2-h4-g1,h2,h4,2026-05-28 08:51:45.897215+00:00,8.93,23.403,0.117,1.1,-0.191,11,-0.28354545454545454,h2,h4,-0.191,-0.0273208
4,e4-h1-h5-g0,h1,h5,2026-05-28 08:51:45.897977+00:00,12.6,22.1865,0.116,0.99,-0.175,12,-0.2745,h1,h5,-0.175,-0.0234699
5,e5-h1-h5-g0,h1,h5,2026-05-28 08:52:20.490243+00:00,3.88,21.5235,0.144,0.78,-0.171,13,-0.2665384615384615,h1,h5,-0.171,-0.023494099999999997
5,e5-h1-h4-g2,h1,h4,2026-05-28 08:52:20.491006+00:00,4.6,21.7895,0.113,0.97,-0.178,14,-0.2602142857142857,h1,h4,-0.178,-0.0261227
5,e5-h2-h4-g1,h2,h4,2026-05-28 08:52:20.491726+00:00,11.6,22.249000000000002,0.118,0.96,-0.185,15,-0.2552,h2,h4,-0.185,-0.023463400000000002
6,e6-h1-h5-g0,h1,h5,2026-05-28 08:52:55.484350+00:00,10.2,26.1315,0.12,0.99,-0.217,16,-0.2528125,h1,h5,-0.217,-0.026808899999999997
6,e6-h1-h4-g2,h1,h4,2026-05-28 08:52:55.485053+00:00,4.26,22.936500000000002,0.117,0.76,-0.167,17,-0.24776470588235291,h1,h4,-0.167,-0.0238089
6,e6-h2-h4-g1,h2,h4,2026-05-28 08:52:55.485755+00:00,11.6,23.0385,0.116,0.98,-0.174,18,-0.24366666666666667,h2,h4,-0.174,-0.0242311
7,e7-h1-h4-g2,h1,h4,2026-05-28 08:53:26.667073+00:00,3.61,23.2635,0.12,0.75,-0.177,19,-0.2401578947368421,h1,h4,-0.177,-0.0241241
7,e7-h2-h4-g1,h2,h4,2026-05-28 08:53:29.189708+00:00,7.67,21.9365,0.116,0.98,-0.192,20,-0.23775,h2,h4,-0.192,-0.0251419
7,e7-h1-h5-g0,h1,h5,2026-05-28 08:53:29.190464+00:00,3.9,25.539,0.127,0.62,-0.171,21,-0.23415,h1,h5,-0.171,-0.023444399999999997
8,e8-h1-h4-g2,h1,h4,2026-05-28 08:54:02.523994+00:00,5.89,22.622,0.118,1.2,-0.19,22,-0.22104999999999997,h1,h4,-0.19,-0.0295712
8,e8-h1-h5-g0,h1,h5,2026-05-28 08:54:02.526024+00:00,5.43,27.595,0.126,0.73,-0.179,23,-0.2065,h1,h5,-0.179,-0.025713
8,e8-h2-h4-g1,h2,h4,2026-05-28 08:54:02.526884+00:00,3.69,22.954,0.124,0.75,-0.164,24,-0.19205,h2,h4,-0.164,-0.0239184
9,e9-h1-h4-g2,h1,h4,2026-05-28 08:54:33.654733+00:00,3.86,31.28,0.133,1.1,-0.255,25,-0.19519999999999998,h1,h4,-0.255,-0.034123
