state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.183,-0.183,-0.183,0.0,-0.04,1,1
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.183,-0.183,-0.183,0.0,-0.04,1,2
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.263,-0.263,-0.263,0.0,-0.058,1,3
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.263,-0.263,-0.263,0.0,-0.058,1,4
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.203,-0.203,-0.203,0.0,-0.045,1,5
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.203,-0.203,-0.203,0.0,-0.045,1,6
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.18,-0.18,-0.202,0.0,-0.04,1,7
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.18,-0.18,-0.202,0.0,-0.04,1,8
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.183,-0.183,-0.26,0.0,-0.04,1,9
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.183,-0.183,-0.26,0.0,-0.04,1,10
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.273,-0.273,-0.186,0.0,-0.06,1,11
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.273,-0.273,-0.186,0.0,-0.06,1,12
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.275,-0.275,-0.19,0.0,-0.06,1,13
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.275,-0.275,-0.19,0.0,-0.06,1,14
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.175,-0.175,-0.256,0.0,-0.038,1,15
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.175,-0.175,-0.256,0.0,-0.038,1,16
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.187,-0.187,-0.201,0.0,-0.041,1,17
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.187,-0.187,-0.201,0.0,-0.041,1,18
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.164,-0.164,-0.189,0.0,-0.036,3,19
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",4,-0.164,-0.164,-0.189,0.0,-0.036,3,20
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.164,-0.164,-0.2,0.0,-0.036,1,21
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.164,-0.164,-0.2,0.0,-0.036,1,22
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.199,-0.199,-0.254,0.0,-0.044,2,23
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.199,-0.199,-0.254,0.0,-0.044,2,24
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.203,-0.203,-0.252,0.0,-0.045,1,25
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.203,-0.203,-0.252,0.0,-0.045,1,26
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.207,-0.207,-0.2,-0.04,-0.076,2,27
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.207,-0.207,-0.2,-0.04,-0.076,2,28
"('h1', 'h5', 'util4', 'active1', 'rtt0', 'loss1')",4,-0.167,-0.167,-0.188,0.0,-0.037,2,29
"('h5', 'h1', 'util4', 'active1', 'rtt0', 'loss1')",4,-0.167,-0.167,-0.188,0.0,-0.037,2,30
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.244,-0.244,-0.202,0.0,-0.054,1,31
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.244,-0.244,-0.202,0.0,-0.054,1,32
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.23,-0.23,-0.19,0.0,-0.051,1,33
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss1')",4,-0.23,-0.23,-0.19,0.0,-0.051,1,34
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.249,0.0,-0.038,2,35
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.173,-0.173,-0.249,0.0,-0.038,2,36
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.19,-0.19,-0.201,-0.036,-0.07,3,37
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.19,-0.19,-0.201,-0.036,-0.07,3,38
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.191,-0.191,-0.19,0.0,-0.042,2,39
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.191,-0.191,-0.19,0.0,-0.042,2,40
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.199,-0.199,-0.247,0.0,-0.044,1,41
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.199,-0.199,-0.247,0.0,-0.044,1,42
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.191,-0.191,-0.19,0.0,-0.042,4,43
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.191,-0.191,-0.19,0.0,-0.042,4,44
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.189,-0.189,-0.201,0.0,-0.042,1,45
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.189,-0.189,-0.201,0.0,-0.042,1,46
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.186,-0.186,-0.244,0.0,-0.041,2,47
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.186,-0.186,-0.244,0.0,-0.041,2,48
