episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-28 13:55:26.421651+00:00,64.6,27.1765,0.328,0.23,-0.145,1,-0.145,h2,h4,-0.145,-0.0282725
1,e1-h1-h4-g2,h1,h4,2026-05-28 13:55:28.453839+00:00,16.9,23.392,0.137,0.43,-0.158,2,-0.1515,h1,h4,-0.158,-0.034876
1,e1-h1-h5-g0,h1,h5,2026-05-28 13:55:28.454621+00:00,18.8,24.1495,0.133,0.15,-0.154,3,-0.15233333333333332,h1,h5,-0.154,-0.0270355
2,e2-h1-h4-g2,h1,h4,2026-05-28 13:56:00.902301+00:00,65.4,26.747,0.32,0.052,-0.121,4,-0.1445,h1,h4,-0.121,-0.022407
2,e2-h2-h4-g1,h2,h4,2026-05-28 13:56:01.373768+00:00,65.9,24.075000000000003,0.32,0.15,-0.103,5,-0.1362,h2,h4,-0.103,-0.022625000000000003
2,e2-h1-h5-g0,h1,h5,2026-05-28 13:56:01.662754+00:00,66.1,25.305,0.318,0.08,-0.109,6,-0.13166666666666668,h1,h5,-0.109,-0.021731000000000004
3,e3-h1-h4-g2,h1,h4,2026-05-28 13:56:33.943754+00:00,18.6,22.3585,0.121,0.11,-0.146,7,-0.1337142857142857,h1,h4,-0.146,-0.0240405
3,e3-h1-h5-g0,h1,h5,2026-05-28 13:56:34.292520+00:00,16.1,21.9455,0.128,0.54,-0.153,8,-0.136125,h1,h5,-0.153,-0.036791500000000005
3,e3-h2-h4-g1,h2,h4,2026-05-28 13:56:34.340074+00:00,64.5,22.2265,0.325,0.083,-0.089,9,-0.1308888888888889,h2,h4,-0.089,-0.018916500000000003
4,e4-h1-h4-g2,h1,h4,2026-05-28 13:57:06.771631+00:00,66.4,22.3095,0.315,0.06,-0.089,10,-0.12669999999999998,h1,h4,-0.089,-0.018099499999999998
