state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.139,0.0,-0.031,2,1
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.139,0.0,-0.031,2,2
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.113,0.0,-0.113,0.0,0.0,1,3
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.113,0.0,-0.113,0.0,0.0,1,4
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.134,0.0,-0.029,1,5
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.134,0.0,-0.029,1,6
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.117,0.042,-0.133,0.0,0.009,1,7
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.117,0.042,-0.133,0.0,0.009,1,8
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.136,-0.136,-0.114,0.0,-0.03,1,9
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.136,-0.136,-0.114,0.0,-0.03,1,10
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.095,0.11,-0.137,0.0,0.024,2,11
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.095,0.11,-0.137,0.0,0.024,2,12
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.103,0.085,-0.136,0.0,0.019,2,13
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.103,0.085,-0.136,0.0,0.019,2,14
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.134,0.0,-0.03,1,15
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.138,-0.138,-0.134,0.0,-0.03,1,16
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.115,0.0,-0.03,1,17
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.115,0.0,-0.03,1,18
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.101,0.088,-0.134,0.0,0.019,1,19
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.101,0.088,-0.134,0.0,0.019,1,20
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.096,0.095,-0.132,0.0,0.021,1,21
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.096,0.095,-0.132,0.0,0.021,1,22
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.112,0.008,-0.115,0.0,0.002,2,23
