episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
1,e1-h2-h4-g1,h2,h4,2026-05-28 17:32:25.426775+00:00,65.1,27.6715,0.332,0.27,-0.174,1,-0.174,h2,h4,-0.174,-0.029925500000000008
1,e1-h1-h4-g2,h1,h4,2026-05-28 17:32:26.457664+00:00,17.6,22.6265,0.135,0.52,-0.186,2,-0.18,h1,h4,-0.186,-0.0367365
1,e1-h1-h5-g0,h1,h5,2026-05-28 17:32:26.459140+00:00,18.1,24.8765,0.132,0.12,-0.183,3,-0.18099999999999997,h1,h5,-0.183,-0.0269305
2,e2-h1-h4-g2,h1,h4,2026-05-28 17:32:58.891865+00:00,65.3,26.741,0.323,0.077,-0.164,4,-0.17675,h1,h4,-0.164,-0.023167
2,e2-h2-h4-g1,h2,h4,2026-05-28 17:32:59.380894+00:00,65.0,22.4585,0.314,0.15,-0.134,5,-0.1682,h2,h4,-0.134,-0.0210865
2,e2-h1-h5-g0,h1,h5,2026-05-28 17:32:59.671498+00:00,65.8,22.038,0.297,0.049,-0.117,6,-0.15966666666666665,h1,h5,-0.117,-0.017522
3,e3-h1-h4-g2,h1,h4,2026-05-28 17:33:31.962729+00:00,17.6,23.7695,0.128,0.49,-0.176,7,-0.16199999999999998,h1,h4,-0.176,-0.0369655
3,e3-h1-h5-g0,h1,h5,2026-05-28 17:33:32.357764+00:00,16.8,23.799999999999997,0.129,0.13,-0.178,8,-0.164,h1,h5,-0.178,-0.026278
3,e3-h2-h4-g1,h2,h4,2026-05-28 17:33:32.360370+00:00,64.4,22.235,0.325,0.075,-0.116,9,-0.15866666666666665,h2,h4,-0.116,-0.018694999999999996
4,e4-h1-h4-g2,h1,h4,2026-05-28 17:34:04.821609+00:00,66.5,22.1235,0.316,0.079,-0.114,10,-0.1542,h1,h4,-0.114,-0.018475500000000002
4,e4-h2-h4-g1,h2,h4,2026-05-28 17:34:05.652224+00:00,66.3,25.945500000000003,0.318,0.23,-0.154,11,-0.15418181818181817,h2,h4,-0.154,-0.026851500000000004
4,e4-h1-h5-g0,h1,h5,2026-05-28 17:34:06.588651+00:00,67.4,27.487000000000002,0.299,0.14,-0.162,12,-0.15483333333333335,h1,h5,-0.162,-0.025545000000000005
5,e5-h1-h5-g0,h1,h5,2026-05-28 17:34:38.427734+00:00,65.3,28.363500000000002,0.324,0.07,-0.159,13,-0.15515384615384614,h1,h5,-0.159,-0.024581500000000003
5,e5-h1-h4-g2,h1,h4,2026-05-28 17:34:39.148029+00:00,16.8,25.1065,0.136,0.47,-0.196,14,-0.15807142857142858,h1,h4,-0.196,-0.0377985
5,e5-h2-h4-g1,h2,h4,2026-05-28 17:34:39.973064+00:00,21.7,24.677500000000002,0.132,0.16,-0.193,15,-0.16040000000000001,h2,h4,-0.193,-0.0275715
6,e6-h1-h5-g0,h1,h5,2026-05-28 17:35:12.843649+00:00,66.3,22.3295,0.31,0.18,-0.128,16,-0.158375,h1,h5,-0.128,-0.021719499999999996
6,e6-h1-h4-g2,h1,h4,2026-05-28 17:35:13.445401+00:00,65.4,25.183,0.318,0.1,-0.145,17,-0.15758823529411764,h1,h4,-0.145,-0.022279
6,e6-h2-h4-g1,h2,h4,2026-05-28 17:35:13.942135+00:00,67.4,23.0565,0.308,0.18,-0.138,18,-0.1565,h2,h4,-0.138,-0.022332499999999998
7,e7-h1-h4-g2,h1,h4,2026-05-28 17:35:44.988187+00:00,64.3,22.13,0.321,0.067,-0.116,19,-0.15436842105263157,h1,h4,-0.116,-0.018352
7,e7-h2-h4-g1,h2,h4,2026-05-28 17:35:46.323471+00:00,65.2,21.832500000000003,0.317,0.12,-0.12,20,-0.15265,h2,h4,-0.12,-0.0195465
7,e7-h1-h5-g0,h1,h5,2026-05-28 17:35:47.166888+00:00,65.2,26.4225,0.318,0.057,-0.155,21,-0.1517,h1,h5,-0.155,-0.022248499999999997
8,e8-h1-h4-g2,h1,h4,2026-05-28 17:36:19.004709+00:00,64.7,26.277500000000003,0.328,0.28,-0.163,22,-0.15055000000000002,h1,h4,-0.163,-0.028863500000000004
