selection,src,dst,pair,path
1,h2,h4,h2->h4,s2 -> s3 -> s6
2,h1,h4,h1->h4,s1 -> s4 -> s6
3,h1,h5,h1->h5,s1 -> s4 -> s7
4,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
5,h1,h4,h1->h4,s1 -> s3 -> s6
6,h2,h4,h2->h4,s2 -> s4 -> s6
7,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
8,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
9,h2,h4,h2->h4,s2 -> s5 -> s6
10,h1,h4,h1->h4,s1 -> s4 -> s6
11,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
12,h2,h4,h2->h4,s2 -> s3 -> s6
13,h2,h4,h2->h4,s2 -> s3 -> s6
14,h1,h5,h1->h5,s1 -> s4 -> s7
15,h1,h4,h1->h4,s1 -> s3 -> s6
16,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
17,h2,h4,h2->h4,s2 -> s4 -> s6
18,h1,h4,h1->h4,s1 -> s3 -> s6
19,h1,h4,h1->h4,s1 -> s4 -> s6
20,h2,h4,h2->h4,s2 -> s5 -> s6
21,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
22,h1,h5,h1->h5,s1 -> s4 -> s7
23,h1,h4,h1->h4,s1 -> s3 -> s6
24,h2,h4,h2->h4,s2 -> s5 -> s6
25,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
26,h1,h4,h1->h4,s1 -> s3 -> s6
27,h2,h4,h2->h4,s2 -> s4 -> s6
28,h1,h5,h1->h5,s1 -> s4 -> s7
29,h1,h4,h1->h4,s1 -> s3 -> s6
30,h2,h4,h2->h4,s2 -> s5 -> s6
31,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
32,h1,h4,h1->h4,s1 -> s4 -> s6
33,h2,h4,h2->h4,s2 -> s5 -> s6
34,h1,h5,h1->h5,s1 -> s4 -> s7
35,h2,h4,h2->h4,s2 -> s3 -> s6
36,h1,h4,h1->h4,s1 -> s4 -> s6
37,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
38,h1,h4,h1->h4,s1 -> s3 -> s6
39,h2,h4,h2->h4,s2 -> s4 -> s6
40,h1,h5,h1->h5,s1 -> s4 -> s7
41,h2,h4,h2->h4,s2 -> s5 -> s6
42,h1,h4,h1->h4,s1 -> s3 -> s6
43,h1,h4,h1->h4,s1 -> s4 -> s6
44,h2,h4,h2->h4,s2 -> s3 -> s6
45,h1,h5,h1->h5,s1 -> s2 -> s5 -> s7
46,h1,h5,h1->h5,s1 -> s2 -> s4 -> s7
47,h1,h4,h1->h4,s1 -> s3 -> s6
48,h2,h4,h2->h4,s2 -> s5 -> s6
49,h1,h5,h1->h5,s1 -> s4 -> s7
50,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
51,h2,h4,h2->h4,s2 -> s5 -> s6
52,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
53,h2,h4,h2->h4,s2 -> s4 -> s6
54,h1,h5,h1->h5,s1 -> s4 -> s7
55,h2,h4,h2->h4,s2 -> s5 -> s6
56,h1,h4,h1->h4,s1 -> s3 -> s6
57,h1,h5,h1->h5,s1 -> s4 -> s7
58,h1,h4,h1->h4,s1 -> s2 -> s3 -> s6
59,h1,h5,h1->h5,s1 -> s4 -> s7
