state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.174,-0.174,-0.174,0.0,-0.038,1,1
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.174,-0.174,-0.174,0.0,-0.038,1,2
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.135,-0.135,-0.135,0.0,-0.03,2,3
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.135,-0.135,-0.135,0.0,-0.03,2,4
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.168,0.0,-0.037,1,5
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.168,0.0,-0.037,1,6
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.167,0.0,-0.031,2,7
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.139,-0.139,-0.167,0.0,-0.031,2,8
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.167,-0.167,-0.137,0.0,-0.037,1,9
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.167,-0.167,-0.137,0.0,-0.037,1,10
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.119,0.135,-0.171,0.0,0.03,2,11
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.119,0.135,-0.171,0.0,0.03,2,12
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.17,0.0,-0.029,1,13
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.134,-0.134,-0.17,0.0,-0.029,1,14
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.167,0.0,-0.035,2,15
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.167,0.0,-0.035,2,16
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.163,-0.163,-0.138,0.0,-0.036,1,17
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.163,-0.163,-0.138,0.0,-0.036,1,18
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.173,-0.173,-0.139,0.0,-0.038,1,19
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.173,-0.173,-0.139,0.0,-0.038,1,20
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.168,0.0,-0.028,1,21
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.168,0.0,-0.028,1,22
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.147,-0.147,-0.166,-0.031,-0.056,3,23
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.147,-0.147,-0.166,-0.031,-0.056,3,24
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.139,0.0,-0.03,1,25
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.139,0.0,-0.03,1,26
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.166,-0.035,-0.061,3,27
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.157,-0.157,-0.166,-0.035,-0.061,3,28
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.151,-0.151,-0.165,0.0,-0.033,2,29
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.151,-0.151,-0.165,0.0,-0.033,2,30
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.123,-0.123,-0.166,0.0,-0.027,2,31
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.123,-0.123,-0.166,0.0,-0.027,2,32
"('h1', 'h5', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.165,-0.165,-0.14,0.0,-0.036,1,33
"('h5', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.165,-0.165,-0.14,0.0,-0.036,1,34
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.165,0.0,-0.029,2,35
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.165,0.0,-0.029,2,36
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.165,0.0,-0.037,1,37
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.169,-0.169,-0.165,0.0,-0.037,1,38
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.148,-0.148,-0.14,0.0,-0.033,1,39
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.148,-0.148,-0.14,0.0,-0.033,1,40
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.156,-0.156,-0.165,0.0,-0.034,2,41
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.156,-0.156,-0.165,0.0,-0.034,2,42
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.16,-0.16,-0.141,0.0,-0.035,5,43
