episode,flow_id,src,dst,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean
1,e1-h2-h4-g1,h2,h4,2026-05-28 21:05:44.991396+00:00,19.5,17.427999999999997,0.129,0.42,-0.028335999999999993,1,-0.028335999999999993
1,e1-h1-h4-g2,h1,h4,2026-05-28 21:05:46.021372+00:00,17.8,17.762999999999998,0.128,0.16,-0.021038999999999995,2,-0.024687499999999994
1,e1-h1-h5-g0,h1,h5,2026-05-28 21:05:46.022880+00:00,64.9,20.104999999999997,0.323,0.096,-0.017141,3,-0.022171999999999997
2,e2-h1-h4-g2,h1,h4,2026-05-28 21:06:18.447078+00:00,16.9,18.023,0.129,0.49,-0.031291,4,-0.024451749999999998
2,e2-h2-h4-g1,h2,h4,2026-05-28 21:06:18.923889+00:00,18.8,17.406,0.133,0.14,-0.019991999999999996,5,-0.0235598
2,e2-h1-h5-g0,h1,h5,2026-05-28 21:06:19.140567+00:00,66.9,19.3495,0.306,0.032,-0.014231499999999998,6,-0.02200508333333333
3,e3-h1-h4-g2,h1,h4,2026-05-28 21:06:51.442136+00:00,17.5,17.447499999999998,0.121,0.47,-0.030039499999999997,7,-0.02315285714285714
3,e3-h1-h5-g0,h1,h5,2026-05-28 21:06:51.777898+00:00,66.6,19.560000000000002,0.311,0.05,-0.015022,8,-0.022136499999999996
3,e3-h2-h4-g1,h2,h4,2026-05-28 21:06:51.779289+00:00,17.0,17.813499999999998,0.134,0.18,-0.021781499999999995,9,-0.022097055555555554
4,e4-h1-h4-g2,h1,h4,2026-05-28 21:07:24.236744+00:00,16.8,17.345,0.124,0.28,-0.024313,10,-0.02231865
4,e4-h2-h4-g1,h2,h4,2026-05-28 21:07:25.075068+00:00,19.6,17.2635,0.12,0.14,-0.019743500000000004,11,-0.022084545454545454
4,e4-h1-h5-g0,h1,h5,2026-05-28 21:07:26.000334+00:00,67.6,20.808,0.299,0.097,-0.017556000000000002,12,-0.021707166666666666
5,e5-h1-h5-g0,h1,h5,2026-05-28 21:07:57.967094+00:00,65.3,19.726,0.319,0.075,-0.016083999999999998,13,-0.021274615384615385
5,e5-h1-h4-g2,h1,h4,2026-05-28 21:07:58.648544+00:00,18.6,18.4075,0.136,0.52,-0.032419500000000004,14,-0.02207067857142857
5,e5-h2-h4-g1,h2,h4,2026-05-28 21:07:59.397933+00:00,20.1,17.6935,0.133,0.14,-0.0201495,15,-0.021942599999999996
6,e6-h1-h5-g0,h1,h5,2026-05-28 21:08:32.271071+00:00,66.9,20.862499999999997,0.312,0.12,-0.018396499999999993,16,-0.02172096875
6,e6-h1-h4-g2,h1,h4,2026-05-28 21:08:32.903366+00:00,18.8,18.195,0.151,0.27,-0.024717000000000003,17,-0.02189720588235294
6,e6-h2-h4-g1,h2,h4,2026-05-28 21:08:33.375344+00:00,20.6,17.8535,0.118,0.39,-0.027729500000000004,18,-0.022221222222222222
7,e7-h1-h4-g2,h1,h4,2026-05-28 21:09:04.600609+00:00,17.4,17.2815,0.123,0.23,-0.022687500000000003,19,-0.022245763157894737
7,e7-h2-h4-g1,h2,h4,2026-05-28 21:09:05.768074+00:00,17.6,17.496000000000002,0.117,0.14,-0.02017,20,-0.022141975
7,e7-h1-h5-g0,h1,h5,2026-05-28 21:09:07.562386+00:00,65.5,20.264000000000003,0.32,0.05,-0.015854000000000004,21,-0.021517875
8,e8-h1-h4-g2,h1,h4,2026-05-28 21:09:40.119390+00:00,17.9,18.0205,0.125,0.34,-0.0266805,22,-0.02179995
8,e8-h1-h5-g0,h1,h5,2026-05-28 21:09:40.408593+00:00,66.0,20.258499999999998,0.307,0.065,-0.016222499999999997,23,-0.021754025000000003
8,e8-h2-h4-g1,h2,h4,2026-05-28 21:09:40.438440+00:00,18.0,17.728,0.125,0.16,-0.020978,24,-0.021238375
9,e9-h1-h4-g2,h1,h4,2026-05-28 21:10:11.615688+00:00,16.4,17.4155,0.134,0.24,-0.0232435,25,-0.02140095
9,e9-h2-h4-g1,h2,h4,2026-05-28 21:10:11.854880+00:00,17.2,17.485999999999997,0.122,0.46,-0.02981,26,-0.022179874999999998
9,e9-h1-h5-g0,h1,h5,2026-05-28 21:10:12.640398+00:00,65.6,19.5985,0.313,0.051,-0.015194500000000001,27,-0.021437625
10,e10-h2-h4-g1,h2,h4,2026-05-28 21:10:45.184858+00:00,18.0,17.596,0.121,0.48,-0.030438,28,-0.022208425
