episode,flow_id,src,dst,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean
1,e1-h2-h4-g1,h2,h4,2026-05-29 15:42:42.595901+00:00,19.6,17.381999999999998,0.127,0.54,-0.031876,1,-0.031876
1,e1-h1-h4-g2,h1,h4,2026-05-29 15:42:43.733558+00:00,18.4,18.1015,0.136,0.16,-0.021333500000000002,2,-0.026604750000000003
1,e1-h1-h5-g0,h1,h5,2026-05-29 15:42:43.735128+00:00,65.1,20.4435,0.324,0.16,-0.0193815,3,-0.024197
2,e2-h1-h4-g2,h1,h4,2026-05-29 15:43:16.128714+00:00,17.8,17.8035,0.133,0.17,-0.0213895,4,-0.023495125
2,e2-h2-h4-g1,h2,h4,2026-05-29 15:43:16.646876+00:00,17.6,17.4845,0.118,0.29,-0.0246605,5,-0.023728199999999998
2,e2-h1-h5-g0,h1,h5,2026-05-29 15:43:16.826815+00:00,65.9,19.9735,0.303,0.062,-0.015849500000000002,6,-0.022415083333333335
3,e3-h1-h4-g2,h1,h4,2026-05-29 15:43:49.174451+00:00,16.8,17.773,0.122,0.46,-0.030137,7,-0.023518214285714288
3,e3-h1-h5-g0,h1,h5,2026-05-29 15:43:49.453653+00:00,66.0,19.716,0.305,0.064,-0.015646,8,-0.0225341875
3,e3-h2-h4-g1,h2,h4,2026-05-29 15:43:49.495663+00:00,17.7,17.9345,0.136,0.2,-0.022436499999999998,9,-0.022523333333333333
4,e4-h1-h4-g2,h1,h4,2026-05-29 15:44:21.986844+00:00,17.7,17.669,0.123,0.39,-0.027845,10,-0.0230555
4,e4-h2-h4-g1,h2,h4,2026-05-29 15:44:22.785030+00:00,19.0,17.627000000000002,0.13,0.13,-0.019887000000000005,11,-0.022767454545454546
4,e4-h1-h5-g0,h1,h5,2026-05-29 15:44:23.719388+00:00,67.6,20.664,0.297,0.15,-0.018998000000000004,12,-0.022453333333333336
5,e5-h1-h5-g0,h1,h5,2026-05-29 15:44:55.562529+00:00,64.7,19.1405,0.315,0.062,-0.015160499999999999,13,-0.021892346153846158
5,e5-h1-h4-g2,h1,h4,2026-05-29 15:44:56.226631+00:00,18.3,18.113500000000002,0.153,0.28,-0.0249895,14,-0.02211357142857143
5,e5-h2-h4-g1,h2,h4,2026-05-29 15:44:57.092777+00:00,20.4,17.680500000000002,0.117,0.39,-0.027574500000000002,15,-0.022477633333333337
6,e6-h1-h5-g0,h1,h5,2026-05-29 15:45:29.958642+00:00,66.6,20.4835,0.309,0.13,-0.0183415,16,-0.022219125
6,e6-h1-h4-g2,h1,h4,2026-05-29 15:45:30.566133+00:00,17.7,17.9445,0.146,0.25,-0.0239665,17,-0.022321911764705882
6,e6-h2-h4-g1,h2,h4,2026-05-29 15:45:31.050470+00:00,21.3,17.817,0.118,0.35,-0.026423,18,-0.02254975
7,e7-h1-h4-g2,h1,h4,2026-05-29 15:46:02.237144+00:00,18.7,17.895,0.14,0.15,-0.020805,19,-0.022457921052631582
7,e7-h2-h4-g1,h2,h4,2026-05-29 15:46:03.438787+00:00,16.6,17.683,0.116,0.37,-0.027355,20,-0.022702775
7,e7-h1-h5-g0,h1,h5,2026-05-29 15:46:04.200229+00:00,65.3,19.9055,0.316,0.1,-0.0170075,21,-0.02195935
8,e8-h1-h4-g2,h1,h4,2026-05-29 15:46:36.472117+00:00,19.7,17.4895,0.131,0.36,-0.026581499999999994,22,-0.02222175
8,e8-h1-h5-g0,h1,h5,2026-05-29 15:46:37.066969+00:00,66.6,19.602,0.306,0.1,-0.016554000000000003,23,-0.022080375
8,e8-h2-h4-g1,h2,h4,2026-05-29 15:46:37.187702+00:00,16.0,17.596,0.124,0.34,-0.026444000000000002,24,-0.0223331
9,e9-h1-h4-g2,h1,h4,2026-05-29 15:47:08.414712+00:00,16.0,17.769,0.136,0.2,-0.022441000000000003,25,-0.022222125000000002
9,e9-h2-h4-g1,h2,h4,2026-05-29 15:47:08.499975+00:00,17.6,17.5505,0.122,0.45,-0.029534499999999998,26,-0.022906375
9,e9-h1-h5-g0,h1,h5,2026-05-29 15:47:09.389490+00:00,65.8,19.55,0.314,0.049,-0.015068000000000002,27,-0.022152925
10,e10-h2-h4-g1,h2,h4,2026-05-29 15:47:41.937976+00:00,17.7,17.880000000000003,0.124,0.46,-0.030158000000000004,28,-0.022878525
