episode,flow_id,src,dst,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean
1,e1-h1-h4-g10,h1,h4,2026-05-29 23:02:46.623960+00:00,0.93,27.681,0.015,24.0,-0.32761799999999996,1,-0.32761799999999996
1,e1-h2-h4-g5,h2,h4,2026-05-29 23:02:46.720460+00:00,0.306,17.0305,0.009,57.0,-0.31701789999999996,2,-0.32231794999999996
1,e1-h1-h5-g3,h1,h5,2026-05-29 23:02:48.839115+00:00,0.323,28.599,0.014,25.0,-0.3285947,3,-0.3244102
1,e1-h1-h5-g0,h1,h5,2026-05-29 23:02:48.840013+00:00,62.7,27.904,0.014,23.0,-0.321662,4,-0.32372314999999996
1,e1-h1-h4-g8,h1,h4,2026-05-29 23:02:48.841577+00:00,0.346,27.912,0.015,27.0,-0.32790739999999996,5,-0.32455999999999996
1,e1-h2-h4-g6,h2,h4,2026-05-29 23:02:53.641045+00:00,0.077,17.2835,0.007,59.0,-0.3172898,6,-0.3233483
1,e1-h1-h4-g11,h1,h4,2026-05-29 23:02:53.642349+00:00,0.369,27.987000000000002,0.015,26.0,-0.3279801,7,-0.3240099857142857
1,e1-h2-h4-g7,h2,h4,2026-05-29 23:02:53.644192+00:00,0.148,17.5885,0.009,56.0,-0.3175917,8,-0.3232077
1,e1-h2-h4-g4,h2,h4,2026-05-29 23:02:53.645806+00:00,0.07,17.22,0.008,58.0,-0.317229,9,-0.32254340000000004
1,e1-h1-h5-g1,h1,h5,2026-05-29 23:02:53.646619+00:00,0.221,28.563,0.015,23.0,-0.3285709,10,-0.32314615
1,e1-h1-h4-g9,h1,h4,2026-05-29 23:02:53.647425+00:00,0.326,28.323,0.015,27.0,-0.3283204,11,-0.32361653636363635
1,e1-h1-h5-g2,h1,h5,2026-05-29 23:02:53.647914+00:00,0.342,29.267,0.02,23.0,-0.3292728,12,-0.3240878916666667
2,e2-h1-h5-g2,h1,h5,2026-05-29 23:03:25.189848+00:00,0.81,27.817,0.016,24.0,-0.327768,13,-0.3243709769230769
