episode,flow_id,src,dst,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean
1,e1-h2-h4-g1,h2,h4,2026-05-02 09:11:31.534617+00:00,72.4,348.6685,0.131,16.0,0.4,1,0.4
1,e1-h1-h5-g0,h1,h5,2026-05-02 09:12:03.419041+00:00,68.0,474.17150000000004,0.132,18.0,-0.09999999999999998,2,0.15000000000000002
2,e2-h2-h4-g1,h2,h4,2026-05-02 09:13:38.199278+00:00,74.6,747.8335,0.126,33.0,-0.05597014925373148,3,0.08134328358208952
2,e2-h1-h5-g0,h1,h5,2026-05-02 09:14:10.154398+00:00,74.7,397.5525,6.836,11.0,0.13314860999338665,4,0.0942946151849138
3,e3-h2-h4-g1,h2,h4,2026-05-02 09:15:46.358981+00:00,71.4,432.615,0.132,18.0,0.08001489577424631,5,0.0914386713027803
3,e3-h1-h5-g0,h1,h5,2026-05-02 09:16:18.484449+00:00,68.1,327.92150000000004,0.112,12.0,-0.0008480325644511294,6,0.011269064789890076
4,e4-h1-h5-g0,h1,h5,2026-05-02 09:17:24.605231+00:00,72.4,499.355,1.23,26.0,0.01299516620010932,7,0.03386809802991193
4,e4-h2-h4-g1,h2,h4,2026-05-02 09:18:34.128003+00:00,72.7,370.9695,0.243,21.0,0.1787378137686976,8,0.08080969063439776
5,e5-h1-h5-g0,h1,h5,2026-05-02 09:20:09.985821+00:00,73.8,421.786,4.19,16.0,0.1541449901685734,9,0.08500896666943511
5,e5-h2-h4-g1,h2,h4,2026-05-02 09:20:43.558974+00:00,73.9,561.1325,0.107,24.0,0.0969882469785686,10,0.08840363691029957
6,e6-h2-h4-g1,h2,h4,2026-05-02 09:21:47.400749+00:00,74.1,434.6975,0.69,18.0,0.24137056327527356,11,0.1368473560782445
6,e6-h1-h5-g0,h1,h5,2026-05-02 09:22:52.272150+00:00,63.6,400.5425,0.443,25.0,-0.15482752783014064,12,0.1032828172721945
7,e7-h2-h4-g1,h2,h4,2026-05-02 09:24:28.191060+00:00,75.5,427.142,0.089,28.0,0.20542915132092843,13,0.10862108478264068
7,e7-h1-h5-g0,h1,h5,2026-05-02 09:25:00.477001+00:00,74.4,365.90599999999995,0.089,4.5,0.36205171752846055,14,0.1502024302546181
8,e8-h1-h5-g0,h1,h5,2026-05-02 09:26:04.787546+00:00,75.3,336.915,0.128,3.1,0.38598498408176224,15,0.20800177767525682
8,e8-h2-h4-g1,h2,h4,2026-05-02 09:27:09.228827+00:00,75.3,351.354,0.079,2.5,0.3765363032846737,16,0.23503492567713685
9,e9-h2-h4-g1,h2,h4,2026-05-02 09:28:46.518524+00:00,75.1,371.77250000000004,0.17,5.7,0.3374680826881147,17,0.33349404778078795
9,e9-h1-h5-g0,h1,h5,2026-05-02 09:29:18.664430+00:00,75.4,342.66,0.132,4.1,0.3770635391350827,18,0.36782092534361877
10,e10-h1-h5-g0,h1,h5,2026-05-02 09:30:21.197483+00:00,73.9,358.93149999999997,0.154,2.9,0.32043169229307167,19,0.359496920296541
10,e10-h2-h4-g1,h2,h4,2026-05-02 09:31:25.970159+00:00,73.4,353.45750000000004,0.11,2.5,0.31047976696499713,20,0.34439587687318796
11,e11-h2-h4-g1,h2,h4,2026-05-02 09:33:01.241999+00:00,71.0,350.15299999999996,0.087,1.6,0.2326789314740148,21,0.31562440251105617
11,e11-h1-h5-g0,h1,h5,2026-05-02 09:33:33.798467+00:00,73.5,360.801,0.095,3.0,0.3064686267214121,22,0.3094245113177157
12,e12-h1-h5-g0,h1,h5,2026-05-02 09:34:37.215370+00:00,73.2,358.442,0.12,5.2,0.2821907112289668,23,0.2904499457364925
12,e12-h2-h4-g1,h2,h4,2026-05-02 09:35:42.568432+00:00,73.5,337.36650000000003,0.145,2.9,0.3108286309441505,24,0.2885293334667082
13,e13-h2-h4-g1,h2,h4,2026-05-02 09:36:47.041070+00:00,73.4,358.796,0.166,2.5,0.29184723445171584,25,0.284802826964052
13,e13-h1-h5-g0,h1,h5,2026-05-02 09:37:51.522786+00:00,73.4,355.4555,0.112,2.4,0.29885528387323707,26,0.2980380974438965
14,e14-h1-h5-g0,h1,h5,2026-05-02 09:39:26.984064+00:00,73.2,314.2335,0.136,2.9,0.31322292605372803,27,0.29938895731035964
14,e14-h2-h4-g1,h2,h4,2026-05-02 09:39:59.362320+00:00,73.5,348.507,0.112,3.3,0.2802651701144976,28,0.2990038490874658
15,e15-h1-h5-g0,h1,h5,2026-05-02 09:41:35.063684+00:00,73.4,344.446,0.093,2.0,0.28699169364330657,29,0.29423646162729705
15,e15-h2-h4-g1,h2,h4,2026-05-02 09:42:07.950612+00:00,73.1,319.4285,0.08,2.8,0.2993265749962914,30,0.2957323297362121
16,e16-h1-h5-g0,h1,h5,2026-05-02 09:43:10.666230+00:00,72.3,323.5425,0.103,3.4,0.07625344285870815,31,0.2512119615333063
16,e16-h2-h4-g1,h2,h4,2026-05-02 09:44:15.416231+00:00,75.6,386.0015,0.075,4.3,0.19397017023438523,32,0.22736141036943777
17,e17-h1-h5-g0,h1,h5,2026-05-02 09:45:51.201827+00:00,75.2,318.924,0.161,2.8,0.21014698941882257,33,0.21333777423030278
17,e17-h2-h4-g1,h2,h4,2026-05-02 09:46:23.114450+00:00,75.1,312.6125,0.085,3.4,0.27487860690963895,34,0.21091515688356927
18,e18-h1-h5-g0,h1,h5,2026-05-02 09:47:26.320744+00:00,75.3,359.01349999999996,0.148,3.4,0.003117937384999825,35,0.15167342936131095
18,e18-h2-h4-g1,h2,h4,2026-05-02 09:48:31.034088+00:00,75.5,330.5505,0.14,3.3,0.15315058156347977,36,0.16705285710226528
19,e19-h1-h5-g0,h1,h5,2026-05-02 09:49:34.349238+00:00,75.2,353.2935,0.141,3.0,0.04349131387752296,37,0.1369570858308928
19,e19-h2-h4-g1,h2,h4,2026-05-02 09:50:39.201415+00:00,73.7,318.1795,0.082,2.9,0.1463206640738951,38,0.12419182076190731
20,e20-h1-h5-g0,h1,h5,2026-05-02 09:51:42.088018+00:00,73.1,353.90950000000004,0.076,3.0,-0.046187116787304396,39,0.05997867602251865
20,e20-h2-h4-g1,h2,h4,2026-05-02 09:52:46.760296+00:00,72.1,293.0865,0.109,3.7,-0.04789178213091239,40,0.04977673211933621
