timestamp,episode,src,dst,flow_id,protocol,port,duration_s,throughput_mbps,jitter_ms,loss_pct,rtt_ms,stderr
2026-05-02T19:22:29.508693Z,1,h2,h4,e1-h2-h4-g1,tcp,5002,30,71.0,,,538.644,
2026-05-02T19:23:01.353452Z,1,h1,h5,e1-h1-h5-g0,udp,6001,30,,0.078,0.16,118.131,
2026-05-02T19:23:33.086689Z,1,h2,h4,e1-h2-h4-g1,udp,6002,30,,0.167,0.0,44.5,
2026-05-02T19:24:05.271558Z,1,h1,h5,e1-h1-h5-g0,tcp,5001,30,71.1,,,500.821,
2026-05-02T19:24:35.992129Z,2,h2,h4,e2-h2-h4-g1,udp,6002,30,,0.065,0.72,133.535,
2026-05-02T19:25:07.766151Z,2,h1,h5,e2-h1-h5-g0,udp,6001,30,,0.09,1.2,150.536,
2026-05-02T19:25:39.971002Z,2,h2,h4,e2-h2-h4-g1,tcp,5002,30,75.0,,,555.899,
2026-05-02T19:26:12.056015Z,2,h1,h5,e2-h1-h5-g0,tcp,5001,30,74.5,,,465.849,
2026-05-02T19:26:42.785892Z,3,h1,h5,e3-h1-h5-g0,udp,6001,30,,0.108,3.0,231.998,
2026-05-02T19:27:15.233623Z,3,h2,h4,e3-h2-h4-g1,udp,6002,30,,0.084,0.47,128.951,
2026-05-02T19:27:47.630927Z,3,h2,h4,e3-h2-h4-g1,tcp,5002,30,72.6,,,567.067,
2026-05-02T19:28:19.684641Z,3,h1,h5,e3-h1-h5-g0,tcp,5001,30,72.4,,,492.778,
2026-05-02T19:28:51.497581Z,4,h1,h5,e4-h1-h5-g0,tcp,5001,30,71.2,,,525.891,
2026-05-02T19:29:23.993767Z,4,h1,h5,e4-h1-h5-g0,udp,6001,30,,0.138,0.11,124.931,
2026-05-02T19:29:56.090559Z,4,h2,h4,e4-h2-h4-g1,tcp,5002,30,71.8,,,582.418,
2026-05-02T19:30:28.497187Z,4,h2,h4,e4-h2-h4-g1,udp,6002,30,,0.082,0.0,66.5,
2026-05-02T19:30:59.194794Z,5,h1,h5,e5-h1-h5-g0,tcp,5001,30,72.7,,,570.212,
2026-05-02T19:31:31.462763Z,5,h2,h4,e5-h2-h4-g1,tcp,5002,30,71.3,,,455.808,
2026-05-02T19:32:04.158899Z,5,h1,h5,e5-h1-h5-g0,udp,6001,30,,0.092,0.96,152.533,
2026-05-02T19:32:36.244925Z,5,h2,h4,e5-h2-h4-g1,udp,6002,30,,0.078,0.33,120.461,
2026-05-02T19:33:06.873358Z,6,h2,h4,e6-h2-h4-g1,tcp,5002,30,71.7,,,583.459,
2026-05-02T19:33:38.908429Z,6,h2,h4,e6-h2-h4-g1,udp,6002,30,,0.09,0.31,143.667,
2026-05-02T19:34:10.973649Z,6,h1,h5,e6-h1-h5-g0,udp,6001,30,,0.073,1.2,148.305,
2026-05-02T19:34:43.049156Z,6,h1,h5,e6-h1-h5-g0,tcp,5001,30,72.1,,,467.43,
2026-05-02T19:35:13.776859Z,7,h2,h4,e7-h2-h4-g1,udp,6002,30,,0.1,0.84,138.813,
2026-05-02T19:35:46.074022Z,7,h1,h5,e7-h1-h5-g0,udp,6001,30,,0.146,0.32,112.02,
2026-05-02T19:36:18.973105Z,7,h2,h4,e7-h2-h4-g1,tcp,5002,30,72.3,,,518.208,
2026-05-02T19:36:51.145763Z,7,h1,h5,e7-h1-h5-g0,tcp,5001,30,72.6,,,492.317,
2026-05-02T19:37:23.151875Z,8,h1,h5,e8-h1-h5-g0,tcp,5001,30,71.4,,,561.892,
2026-05-02T19:37:55.455974Z,8,h1,h5,e8-h1-h5-g0,udp,6001,30,,0.163,0.58,133.072,
2026-05-02T19:38:27.924895Z,8,h2,h4,e8-h2-h4-g1,udp,6002,30,,0.074,0.51,115.126,
2026-05-02T19:39:00.008779Z,8,h2,h4,e8-h2-h4-g1,tcp,5002,30,72.3,,,564.32,
